epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.33455381522307526,0.19244327275334178,0.9256756756756757,0.929519071310116,0.9290322580645162
2,0.17705243654750488,0.17641523812670964,0.9324324324324325,0.9356919108162889,0.9358974358974359
3,0.14263070639021494,0.18995564159106565,0.9391891891891891,0.9418647503224618,0.9426751592356688
4,0.11587503439167866,0.19522007232582247,0.9256756756756757,0.9269393771881334,0.9308176100628931
5,0.0920156887354883,0.2072364446279165,0.9391891891891891,0.9418647503224618,0.9426751592356688
6,0.07552946277743054,0.20221543678309065,0.9324324324324325,0.9344020637552976,0.9367088607594937
7,0.05153207017763241,0.22548354623486866,0.9324324324324325,0.9331122166943062,0.9375
8,0.05716652504948748,0.2105624447073284,0.9391891891891891,0.9418647503224618,0.9426751592356688
9,0.03323833820271633,0.2310979577234468,0.9391891891891891,0.9379952091394878,0.9447852760736196
10,0.017237689975347067,0.25917092171447303,0.9256756756756757,0.9243596830661507,0.9325153374233128
11,0.008189629865621493,0.28413431726890065,0.9459459459459459,0.9467477427676432,0.95
12,0.008921498763123276,0.2969081657309387,0.9324324324324325,0.9318223696333149,0.9382716049382716
