epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.5478983795320665,0.4059719765508497,0.8986486486486487,0.8957987838584853,0.9090909090909091
2,0.3281828521473988,0.24950276234665433,0.9256756756756757,0.9282292242491248,0.9299363057324841
3,0.23859888415884328,0.20415016847687797,0.9256756756756757,0.929519071310116,0.9290322580645162
4,0.20251347839429573,0.1859560816271885,0.9324324324324325,0.9356919108162889,0.9358974358974359
5,0.17575213897067146,0.17465461407964294,0.9324324324324325,0.9356919108162889,0.9358974358974359
6,0.1653874979631321,0.16885373630636447,0.9324324324324325,0.9356919108162889,0.9358974358974359
7,0.1486853670228172,0.16871137816358256,0.9324324324324325,0.9356919108162889,0.9358974358974359
8,0.1393692825694342,0.1650521961619725,0.9324324324324325,0.9356919108162889,0.9358974358974359
9,0.13355582922294335,0.16620462941559586,0.9324324324324325,0.9356919108162889,0.9358974358974359
10,0.1302555500454194,0.16429026384611387,0.9324324324324325,0.9356919108162889,0.9358974358974359
11,0.11275095935608889,0.16435854952480342,0.9391891891891891,0.9418647503224618,0.9426751592356688
12,0.11150359576316299,0.17004002701189067,0.9324324324324325,0.9344020637552976,0.9367088607594937
13,0.10489128399136904,0.16871318422459267,0.9256756756756757,0.9269393771881334,0.9308176100628931
14,0.0989264819670368,0.17350466398371234,0.9324324324324325,0.9344020637552976,0.9367088607594937
15,0.0926780883927603,0.17664995416998863,0.9256756756756757,0.9269393771881334,0.9308176100628931
16,0.08051226421485881,0.17388140390048157,0.9324324324324325,0.9344020637552976,0.9367088607594937
17,0.0813314514234662,0.1737761433060105,0.9256756756756757,0.9269393771881334,0.9308176100628931
18,0.07070663538635583,0.17424875190733252,0.9256756756756757,0.9269393771881334,0.9308176100628931
19,0.06393820988769466,0.1792866015001326,0.9324324324324325,0.9344020637552976,0.9367088607594937
20,0.05612450067860049,0.17809307591586904,0.9459459459459459,0.9467477427676432,0.95
