,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7516 ± 0.0333,0.6158 ± 0.0310,0.6130 ± 0.0321,0.6127 ± 0.0317,0.7431 ± 0.0231,0.7593 ± 0.0213,0.7516 ± 0.0333,0.7539 ± 0.0270,0.8099 ± 0.0220,0.7399 ± 0.0188,0.5983 ± 0.0196,0.5969 ± 0.0208,0.5972 ± 0.0203,0.7316 ± 0.0144,0.7461 ± 0.0154,0.7399 ± 0.0188,0.7427 ± 0.0166,0.7994 ± 0.0140
random_forest,0.8586 ± 0.0072,0.7455 ± 0.1591,0.6506 ± 0.0105,0.6236 ± 0.0192,0.8947 ± 0.0126,0.8223 ± 0.0537,0.8586 ± 0.0072,0.8139 ± 0.0091,0.9408 ± 0.0075,0.8511 ± 0.0030,0.7136 ± 0.1298,0.6419 ± 0.0068,0.6133 ± 0.0142,0.8903 ± 0.0073,0.8078 ± 0.0423,0.8511 ± 0.0030,0.8065 ± 0.0046,0.9366 ± 0.0042
extra_trees,0.8571 ± 0.0085,0.7058 ± 0.1749,0.6453 ± 0.0094,0.6130 ± 0.0144,0.8884 ± 0.0173,0.8084 ± 0.0607,0.8571 ± 0.0085,0.8099 ± 0.0094,0.9386 ± 0.0091,0.8502 ± 0.0066,0.6816 ± 0.1433,0.6387 ± 0.0078,0.6066 ± 0.0120,0.8819 ± 0.0059,0.7966 ± 0.0500,0.8502 ± 0.0066,0.8039 ± 0.0079,0.9334 ± 0.0035
xgboost,0.8414 ± 0.0127,0.6771 ± 0.0543,0.6544 ± 0.0210,0.6452 ± 0.0300,0.8876 ± 0.0155,0.8003 ± 0.0224,0.8414 ± 0.0127,0.8129 ± 0.0144,0.9363 ± 0.0108,0.8390 ± 0.0080,0.6763 ± 0.0395,0.6496 ± 0.0131,0.6400 ± 0.0190,0.8786 ± 0.0097,0.7975 ± 0.0152,0.8390 ± 0.0080,0.8097 ± 0.0088,0.9298 ± 0.0053
adaboost,0.8209 ± 0.0156,0.6217 ± 0.0473,0.6323 ± 0.0241,0.6191 ± 0.0319,0.8466 ± 0.0196,0.7746 ± 0.0201,0.8209 ± 0.0156,0.7942 ± 0.0155,0.9171 ± 0.0080,0.8175 ± 0.0088,0.6394 ± 0.0119,0.6370 ± 0.0075,0.6300 ± 0.0104,0.8301 ± 0.0101,0.7812 ± 0.0071,0.8175 ± 0.0088,0.7960 ± 0.0068,0.9080 ± 0.0038
svm,0.8549 ± 0.0095,0.6370 ± 0.1436,0.6419 ± 0.0095,0.6072 ± 0.0132,0.8865 ± 0.0176,0.7835 ± 0.0509,0.8549 ± 0.0095,0.8064 ± 0.0103,0.9367 ± 0.0093,0.8513 ± 0.0038,0.5843 ± 0.0539,0.6369 ± 0.0034,0.6009 ± 0.0047,0.8775 ± 0.0065,0.7646 ± 0.0190,0.8513 ± 0.0038,0.8028 ± 0.0041,0.9299 ± 0.0037
logistic_regression,0.7777 ± 0.0148,0.6597 ± 0.0118,0.6609 ± 0.0125,0.6557 ± 0.0110,0.8619 ± 0.0142,0.8026 ± 0.0126,0.7777 ± 0.0148,0.7864 ± 0.0119,0.9212 ± 0.0085,0.7734 ± 0.0108,0.6492 ± 0.0174,0.6496 ± 0.0215,0.6465 ± 0.0189,0.8474 ± 0.0087,0.7978 ± 0.0107,0.7734 ± 0.0108,0.7837 ± 0.0105,0.9116 ± 0.0054
knn,0.6799 ± 0.0188,0.5820 ± 0.0384,0.5278 ± 0.0247,0.5112 ± 0.0320,0.7719 ± 0.0206,0.7164 ± 0.0194,0.6799 ± 0.0188,0.6471 ± 0.0232,0.8369 ± 0.0178,0.6769 ± 0.0127,0.5911 ± 0.0186,0.5299 ± 0.0115,0.5157 ± 0.0143,0.7752 ± 0.0092,0.7183 ± 0.0085,0.6769 ± 0.0127,0.6449 ± 0.0134,0.8399 ± 0.0071
gaussian_nb,0.7267 ± 0.0554,0.6621 ± 0.0236,0.6569 ± 0.0319,0.6326 ± 0.0344,0.8562 ± 0.0139,0.8139 ± 0.0224,0.7267 ± 0.0554,0.7514 ± 0.0426,0.9117 ± 0.0095,0.7022 ± 0.0492,0.6440 ± 0.0082,0.6353 ± 0.0148,0.6114 ± 0.0282,0.8371 ± 0.0094,0.7967 ± 0.0094,0.7022 ± 0.0492,0.7299 ± 0.0405,0.8959 ± 0.0054
