,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.4370 ± 0.0418,0.3502 ± 0.0324,0.3481 ± 0.0333,0.3482 ± 0.0330,0.5105 ± 0.0277,0.4383 ± 0.0366,0.4370 ± 0.0418,0.4367 ± 0.0393,0.5203 ± 0.0339,0.4417 ± 0.0164,0.3614 ± 0.0162,0.3613 ± 0.0168,0.3611 ± 0.0165,0.5207 ± 0.0130,0.4455 ± 0.0174,0.4417 ± 0.0164,0.4434 ± 0.0168,0.5275 ± 0.0158
random_forest,0.5293 ± 0.0207,0.3789 ± 0.0509,0.3981 ± 0.0167,0.3789 ± 0.0179,0.5665 ± 0.0222,0.4835 ± 0.0260,0.5293 ± 0.0207,0.5018 ± 0.0200,0.6021 ± 0.0248,0.5129 ± 0.0215,0.3554 ± 0.0224,0.3846 ± 0.0165,0.3663 ± 0.0160,0.5533 ± 0.0159,0.4665 ± 0.0204,0.5129 ± 0.0215,0.4874 ± 0.0200,0.5822 ± 0.0206
extra_trees,0.5253 ± 0.0229,0.4649 ± 0.0903,0.4001 ± 0.0174,0.3867 ± 0.0178,0.5688 ± 0.0248,0.5080 ± 0.0258,0.5253 ± 0.0229,0.5001 ± 0.0224,0.5951 ± 0.0254,0.5003 ± 0.0223,0.3488 ± 0.0282,0.3753 ± 0.0168,0.3571 ± 0.0164,0.5451 ± 0.0212,0.4550 ± 0.0213,0.5003 ± 0.0223,0.4749 ± 0.0211,0.5694 ± 0.0237
xgboost,0.4985 ± 0.0252,0.3618 ± 0.0230,0.3775 ± 0.0190,0.3657 ± 0.0192,0.5475 ± 0.0211,0.4661 ± 0.0247,0.4985 ± 0.0252,0.4800 ± 0.0247,0.5751 ± 0.0288,0.4789 ± 0.0191,0.3475 ± 0.0235,0.3624 ± 0.0165,0.3516 ± 0.0177,0.5429 ± 0.0271,0.4483 ± 0.0196,0.4789 ± 0.0191,0.4619 ± 0.0185,0.5616 ± 0.0288
adaboost,0.5480 ± 0.0120,0.3662 ± 0.0076,0.4103 ± 0.0089,0.3859 ± 0.0086,0.5824 ± 0.0118,0.4889 ± 0.0101,0.5480 ± 0.0120,0.5152 ± 0.0115,0.6125 ± 0.0122,0.5392 ± 0.0158,0.3595 ± 0.0107,0.4029 ± 0.0118,0.3793 ± 0.0110,0.5775 ± 0.0192,0.4808 ± 0.0143,0.5392 ± 0.0158,0.5074 ± 0.0147,0.6002 ± 0.0171
svm,0.5473 ± 0.0204,0.3666 ± 0.0141,0.4096 ± 0.0153,0.3835 ± 0.0145,0.6173 ± 0.0271,0.4895 ± 0.0188,0.5473 ± 0.0204,0.5122 ± 0.0193,0.6376 ± 0.0236,0.5456 ± 0.0141,0.3645 ± 0.0093,0.4075 ± 0.0106,0.3827 ± 0.0104,0.6067 ± 0.0155,0.4874 ± 0.0124,0.5456 ± 0.0141,0.5120 ± 0.0139,0.6254 ± 0.0148
logistic_regression,0.4245 ± 0.0279,0.3993 ± 0.0220,0.3871 ± 0.0320,0.3721 ± 0.0263,0.5621 ± 0.0260,0.4957 ± 0.0223,0.4245 ± 0.0279,0.4439 ± 0.0253,0.5875 ± 0.0216,0.4151 ± 0.0142,0.3897 ± 0.0128,0.3775 ± 0.0238,0.3650 ± 0.0142,0.5523 ± 0.0172,0.4864 ± 0.0142,0.4151 ± 0.0142,0.4383 ± 0.0130,0.5776 ± 0.0125
knn,0.4824 ± 0.0275,0.3846 ± 0.0475,0.3750 ± 0.0279,0.3595 ± 0.0303,0.5628 ± 0.0259,0.4647 ± 0.0312,0.4824 ± 0.0275,0.4533 ± 0.0274,0.5782 ± 0.0268,0.4640 ± 0.0131,0.3620 ± 0.0193,0.3598 ± 0.0134,0.3443 ± 0.0167,0.5347 ± 0.0166,0.4460 ± 0.0162,0.4640 ± 0.0131,0.4363 ± 0.0157,0.5508 ± 0.0174
gaussian_nb,0.4505 ± 0.0516,0.3937 ± 0.0211,0.3773 ± 0.0178,0.3659 ± 0.0223,0.5830 ± 0.0251,0.4934 ± 0.0272,0.4505 ± 0.0516,0.4532 ± 0.0352,0.6024 ± 0.0270,0.4387 ± 0.0473,0.3831 ± 0.0103,0.3717 ± 0.0189,0.3611 ± 0.0151,0.5625 ± 0.0123,0.4817 ± 0.0099,0.4387 ± 0.0473,0.4456 ± 0.0289,0.5837 ± 0.0101
