,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
STACKING_decision_tree,0.4527 ± 0.0291,0.3778 ± 0.0314,0.3757 ± 0.0340,0.3651 ± 0.0499,0.5208 ± 0.0281,0.4620 ± 0.0221,0.4527 ± 0.0291,0.4425 ± 0.0560,0.5322 ± 0.0237,0.4187 ± 0.0269,0.3468 ± 0.0254,0.3472 ± 0.0266,0.3447 ± 0.0271,0.5119 ± 0.0161,0.4263 ± 0.0266,0.4187 ± 0.0269,0.4199 ± 0.0286,0.5164 ± 0.0183
STACKING_random_forest,0.4828 ± 0.0234,0.3744 ± 0.0261,0.3750 ± 0.0207,0.3697 ± 0.0217,0.5342 ± 0.0169,0.4610 ± 0.0225,0.4828 ± 0.0234,0.4694 ± 0.0223,0.5503 ± 0.0180,0.4781 ± 0.0076,0.3693 ± 0.0179,0.3705 ± 0.0081,0.3648 ± 0.0114,0.5222 ± 0.0093,0.4557 ± 0.0083,0.4781 ± 0.0076,0.4642 ± 0.0074,0.5360 ± 0.0116
STACKING_extra_trees,0.5055 ± 0.0179,0.4031 ± 0.0563,0.3887 ± 0.0121,0.3797 ± 0.0123,0.5360 ± 0.0219,0.4805 ± 0.0171,0.5055 ± 0.0179,0.4862 ± 0.0155,0.5504 ± 0.0184,0.4774 ± 0.0169,0.3610 ± 0.0276,0.3648 ± 0.0145,0.3549 ± 0.0163,0.5208 ± 0.0113,0.4486 ± 0.0167,0.4774 ± 0.0169,0.4589 ± 0.0150,0.5310 ± 0.0149
STACKING_xgboost,0.4886 ± 0.0330,0.3770 ± 0.0289,0.3801 ± 0.0247,0.3753 ± 0.0239,0.5492 ± 0.0195,0.4698 ± 0.0260,0.4886 ± 0.0330,0.4772 ± 0.0289,0.5631 ± 0.0230,0.4678 ± 0.0233,0.3586 ± 0.0189,0.3635 ± 0.0171,0.3593 ± 0.0176,0.5312 ± 0.0122,0.4496 ± 0.0219,0.4678 ± 0.0233,0.4578 ± 0.0225,0.5427 ± 0.0228
STACKING_adaboost,0.4315 ± 0.0211,0.3967 ± 0.0250,0.3797 ± 0.0320,0.3663 ± 0.0248,0.5578 ± 0.0186,0.4973 ± 0.0281,0.4315 ± 0.0211,0.4443 ± 0.0293,0.5793 ± 0.0205,0.4055 ± 0.0206,0.3906 ± 0.0149,0.3716 ± 0.0183,0.3523 ± 0.0158,0.5337 ± 0.0140,0.4894 ± 0.0186,0.4055 ± 0.0206,0.4232 ± 0.0229,0.5525 ± 0.0187
STACKING_svm,0.4835 ± 0.0315,0.4004 ± 0.0350,0.3988 ± 0.0359,0.3960 ± 0.0363,0.5603 ± 0.0158,0.4979 ± 0.0325,0.4835 ± 0.0315,0.4872 ± 0.0338,0.5813 ± 0.0155,0.4643 ± 0.0166,0.3862 ± 0.0141,0.3828 ± 0.0173,0.3823 ± 0.0158,0.5442 ± 0.0168,0.4828 ± 0.0125,0.4643 ± 0.0166,0.4719 ± 0.0150,0.5602 ± 0.0182
STACKING_knn,0.4125 ± 0.0324,0.3600 ± 0.0229,0.3589 ± 0.0249,0.3497 ± 0.0249,0.5183 ± 0.0259,0.4420 ± 0.0234,0.4125 ± 0.0324,0.4186 ± 0.0277,0.5219 ± 0.0168,0.4017 ± 0.0166,0.3553 ± 0.0146,0.3524 ± 0.0149,0.3408 ± 0.0167,0.5053 ± 0.0142,0.4392 ± 0.0172,0.4017 ± 0.0166,0.4087 ± 0.0204,0.5112 ± 0.0121
STACKING_gaussian_nb,0.3579 ± 0.1082,0.3845 ± 0.0397,0.3794 ± 0.0292,0.3064 ± 0.0685,0.5600 ± 0.0247,0.4722 ± 0.0460,0.3579 ± 0.1082,0.3507 ± 0.0990,0.5700 ± 0.0304,0.3341 ± 0.0589,0.3711 ± 0.0147,0.3583 ± 0.0201,0.3074 ± 0.0410,0.5263 ± 0.0115,0.4600 ± 0.0182,0.3341 ± 0.0589,0.3540 ± 0.0598,0.5402 ± 0.0134
