,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
STACKING_decision_tree,0.7604 ± 0.0296,0.6206 ± 0.0352,0.6204 ± 0.0335,0.6191 ± 0.0344,0.7788 ± 0.0249,0.7604 ± 0.0256,0.7604 ± 0.0296,0.7592 ± 0.0269,0.8420 ± 0.0202,0.7566 ± 0.0143,0.6225 ± 0.0212,0.6222 ± 0.0235,0.6217 ± 0.0223,0.7826 ± 0.0124,0.7657 ± 0.0128,0.7566 ± 0.0143,0.7607 ± 0.0130,0.8442 ± 0.0096
STACKING_random_forest,0.8377 ± 0.0141,0.6938 ± 0.0278,0.6826 ± 0.0207,0.6838 ± 0.0236,0.8897 ± 0.0107,0.8192 ± 0.0141,0.8377 ± 0.0141,0.8264 ± 0.0132,0.9397 ± 0.0069,0.8437 ± 0.0076,0.7060 ± 0.0227,0.6856 ± 0.0160,0.6890 ± 0.0190,0.8887 ± 0.0062,0.8212 ± 0.0110,0.8437 ± 0.0076,0.8299 ± 0.0093,0.9369 ± 0.0038
STACKING_extra_trees,0.8451 ± 0.0116,0.7015 ± 0.0251,0.6722 ± 0.0120,0.6720 ± 0.0142,0.8934 ± 0.0118,0.8148 ± 0.0122,0.8451 ± 0.0116,0.8241 ± 0.0105,0.9410 ± 0.0072,0.8497 ± 0.0069,0.7232 ± 0.0256,0.6730 ± 0.0092,0.6733 ± 0.0127,0.8919 ± 0.0053,0.8198 ± 0.0104,0.8497 ± 0.0069,0.8257 ± 0.0069,0.9389 ± 0.0035
STACKING_xgboost,0.8308 ± 0.0147,0.6746 ± 0.0406,0.6640 ± 0.0271,0.6626 ± 0.0329,0.8656 ± 0.0196,0.8036 ± 0.0193,0.8308 ± 0.0147,0.8143 ± 0.0164,0.9241 ± 0.0113,0.8318 ± 0.0069,0.6819 ± 0.0187,0.6650 ± 0.0103,0.6654 ± 0.0126,0.8551 ± 0.0079,0.8050 ± 0.0079,0.8318 ± 0.0069,0.8153 ± 0.0066,0.9154 ± 0.0039
STACKING_adaboost,0.8410 ± 0.0126,0.6232 ± 0.0650,0.6365 ± 0.0146,0.6107 ± 0.0220,0.8460 ± 0.0152,0.7763 ± 0.0252,0.8410 ± 0.0126,0.8002 ± 0.0136,0.9197 ± 0.0060,0.8335 ± 0.0055,0.6516 ± 0.0336,0.6391 ± 0.0096,0.6242 ± 0.0153,0.8386 ± 0.0093,0.7845 ± 0.0127,0.8335 ± 0.0055,0.8005 ± 0.0068,0.9142 ± 0.0034
STACKING_svm,0.8300 ± 0.0165,0.6760 ± 0.0197,0.6702 ± 0.0150,0.6698 ± 0.0156,0.8553 ± 0.0201,0.8140 ± 0.0101,0.8300 ± 0.0165,0.8205 ± 0.0114,0.9246 ± 0.0094,0.8322 ± 0.0062,0.6871 ± 0.0098,0.6782 ± 0.0086,0.6798 ± 0.0094,0.8435 ± 0.0105,0.8163 ± 0.0058,0.8322 ± 0.0062,0.8231 ± 0.0050,0.9171 ± 0.0051
STACKING_knn,0.7458 ± 0.0260,0.6453 ± 0.0248,0.6378 ± 0.0340,0.6320 ± 0.0288,0.8389 ± 0.0163,0.7970 ± 0.0198,0.7458 ± 0.0260,0.7642 ± 0.0228,0.9010 ± 0.0118,0.7382 ± 0.0215,0.6457 ± 0.0165,0.6417 ± 0.0239,0.6322 ± 0.0208,0.8389 ± 0.0124,0.7943 ± 0.0124,0.7382 ± 0.0215,0.7580 ± 0.0173,0.8979 ± 0.0080
STACKING_gaussian_nb,0.7238 ± 0.0526,0.6582 ± 0.0288,0.6437 ± 0.0453,0.6260 ± 0.0449,0.8198 ± 0.0267,0.8132 ± 0.0210,0.7238 ± 0.0526,0.7487 ± 0.0433,0.8942 ± 0.0167,0.7116 ± 0.0301,0.6476 ± 0.0142,0.6354 ± 0.0228,0.6166 ± 0.0232,0.7897 ± 0.0133,0.8038 ± 0.0113,0.7116 ± 0.0301,0.7397 ± 0.0248,0.8692 ± 0.0086
