seed,fold,class,feature,mean_abs_shap
7,5,0,NP3PSTBL_min,0.3832737724139734
7,5,0,NP3BRADY_min,0.21946465919823413
7,5,0,NP3PRSPR_std,0.21942216176912666
7,5,0,NP3BRADY_mean,0.21501807885331992
7,5,0,NP3RTCON_std,0.20498384646100382
7,5,0,NP3PRSPR_max,0.19662028304177975
7,5,0,ENRLGBA,0.19644509551976908
7,5,0,NP3BRADY_max,0.17933418171948373
7,5,0,NP3RTCON_max,0.1780066531027717
7,5,0,NP3RIGRU_min,0.16401716276623832
7,5,0,NP3RIGRU_mean,0.16164551738261865
7,5,0,NP3HMOVR_mean,0.15901169442876076
7,5,0,NP3POSTR_max,0.15323203101882982
7,5,0,NP3FACXP_mean,0.15284314702870375
7,5,0,NP3PRSPR_mean,0.14472271425431069
7,5,0,NP3PRSPR_var,0.14387344296680468
7,5,0,NP2SPCH_std,0.1402636145761415
7,5,0,NP2HOBB_std,0.1371503935983685
7,5,0,NP3PRSPL_mean,0.1370053635613682
7,5,0,NP3FTAPR_mean,0.13650390797184156
7,5,0,NP3RIGRU_max,0.13646822410539045
7,5,0,NP2SPCH_max,0.1327386731715094
7,5,0,NP3GAIT_mean,0.13211412782190476
7,5,0,NP3RISNG_min,0.13145238580990642
7,5,0,NP3HMOVL_min,0.13011812998707317
7,5,0,NP3RTARU_max,0.12939807885274718
7,5,0,NP3GAIT_min,0.12590902032345488
7,5,0,NP2HOBB_max,0.12489889185925274
7,5,0,NP3POSTR_var,0.12341513019670222
7,5,0,NP2TURN_min,0.12141945629085392
7,5,0,NP3BRADY_std,0.12062230067025692
7,5,0,NP3RTCON_mean,0.12007670892331171
7,5,0,NP1SLPD_mean,0.11978498371205927
7,5,0,NP2WALK_max,0.11811391085979021
7,5,0,NP3RIGRL_max,0.11506311810105338
7,5,0,NP3PRSPL_max,0.11483805643947251
7,5,0,NP3BRADY_var,0.11319326232347054
7,5,0,NP2TRMR_mean,0.11277448359972383
7,5,0,NP2SPCH_var,0.11004081397591214
7,5,0,NP3RTARU_std,0.10832442221332604
7,5,0,NP3HMOVR_max,0.10727067572205384
7,5,0,NP3HMOVL_mean,0.10724468624924863
7,5,0,NP2TRMR_std,0.10721456618573043
7,5,0,NP2RISE_std,0.10537553899613918
7,5,0,NP3FRZGT_std,0.1037914615750472
7,5,0,NP2TURN_std,0.10257639055209097
7,5,0,NP3FACXP_min,0.10158873424620862
7,5,0,AGE_AT_VISIT,0.10140256100037078
7,5,0,NP3RIGRL_mean,0.10022139163878023
7,5,0,NP1SLPD_std,0.09939935431049166
7,5,0,NP2RISE_max,0.09830441875079672
7,5,0,NP3SPCH_std,0.09759816013963511
7,5,0,NP3KTRMR_std,0.09643344821703073
7,5,0,NP2RISE_var,0.09627491150698644
7,5,0,NP3HMOVR_min,0.09574728263890364
7,5,0,NP3POSTR_std,0.0943858245789961
7,5,0,NP3RTALU_std,0.0937162877251439
7,5,0,NP2TRMR_min,0.09332409304888982
7,5,0,NP2TRMR_max,0.09162638195325423
7,5,0,NP3RIGN_mean,0.0909471602432546
7,5,0,NP3FACXP_max,0.09054398217023646
7,5,0,NP3FRZGT_mean,0.09039435590545973
7,5,0,NP2TRMR_var,0.08949888926802542
7,5,0,NP3PRSPL_std,0.08801689067678709
7,5,0,NP3FTAPL_mean,0.08749111911492578
7,5,0,NP3LGAGR_max,0.08733273957754514
7,5,0,NP3FRZGT_max,0.08710335377041506
7,5,0,NP3PRSPR_min,0.08633012125529554
7,5,0,NP3FTAPR_min,0.08590142552472993
7,5,0,NP2WALK_mean,0.08553413702561626
7,5,0,NP3FTAPR_max,0.08540142874376976
7,5,0,NP3HMOVR_std,0.08518253852216325
7,5,0,NP3PRSPL_min,0.08493273850821738
7,5,0,NP3RIGLU_mean,0.08482633601992189
7,5,0,NP1COG_std,0.08417666005520702
7,5,0,NP3RTARU_mean,0.08399769340020236
7,5,0,NP3FTAPL_min,0.08352919084638398
7,5,0,NP3FACXP_std,0.08326820690646974
7,5,0,NP3RTALU_max,0.08244426947681444
7,5,0,NP3GAIT_max,0.08212868905177499
7,5,0,NP1SLPD_max,0.08173829617445068
7,5,0,NP3HMOVR_var,0.0814086952114029
7,5,0,NP3FTAPL_max,0.0803922982864552
7,5,0,NP3RIGRL_min,0.08035538484764383
7,5,0,NP3RTCON_min,0.08025564932704003
7,5,0,NP3SPCH_min,0.07990066792394117
7,5,0,NP2SPCH_mean,0.07987902358695148
7,5,0,NP3RISNG_mean,0.07950460188914937
7,5,0,NP3RIGLL_std,0.07856190439394867
7,5,0,NP2DRES_mean,0.07768234802273252
7,5,0,NP3TTAPR_std,0.07715128872586108
7,5,0,NP3RIGRU_std,0.07714479250048302
7,5,0,NP1CNST_mean,0.07666131612232617
7,5,0,NP1LTHD_mean,0.07555775682037438
7,5,0,NP3RIGLU_min,0.07517493546722825
7,5,0,NP3RIGRU_var,0.07357422004296921
7,5,0,NP2WALK_var,0.07188644498239415
7,5,0,NP1CNST_min,0.0717129859981822
7,5,0,NP3RTCON_var,0.07129083376043298
7,5,0,NP3KTRML_mean,0.07101293671516307
7,5,0,NP2DRES_std,0.07066948628214803
7,5,0,NP1APAT_max,0.0705455860046338
7,5,0,NP2RISE_mean,0.07046901424440216
7,5,0,NP2HWRT_std,0.07018872874268146
7,5,0,NP3RIGLL_mean,0.06949804828049759
7,5,0,NP3SPCH_max,0.06917623710864677
7,5,0,NP3TTAPR_mean,0.06863226468128529
7,5,0,NP3RTARU_var,0.06778822989688608
7,5,0,NP3PSTBL_std,0.06767766868382798
7,5,0,NP3LGAGR_mean,0.06720041512518336
7,5,0,NP3TTAPL_std,0.06690738882414128
7,5,0,NP3TTAPR_max,0.06567654666889335
7,5,0,NP2HOBB_mean,0.06566138054799833
7,5,0,NP3RIGRL_std,0.06538656343972432
7,5,0,NP3RIGN_min,0.0651936921415177
7,5,0,NP2WALK_std,0.065004799422609
7,5,0,NP1HALL_max,0.06431618553903348
7,5,0,NP3LGAGL_min,0.06419531732647633
7,5,0,NP3FTAPR_std,0.06419242281947966
7,5,0,NP1FATG_mean,0.0640047207159046
7,5,0,NP3PTRMR_mean,0.06395620968702213
7,5,0,NP3RTALU_mean,0.06348860228733996
7,5,0,NP3RISNG_max,0.06151183440200755
7,5,0,NP3PTRML_var,0.06101153067389293
7,5,0,SEX,0.060787442072058
7,5,0,NP2HYGN_std,0.05967721656849435
7,5,0,NP2HYGN_max,0.0589281846955856
7,5,0,NP3PSTBL_mean,0.05870321467832495
7,5,0,NP1URIN_std,0.058463229486755704
7,5,0,NP3LGAGR_std,0.05719404217331004
7,5,0,NP3RTALU_min,0.057135098814200536
7,5,0,NP1COG_max,0.056732191361927614
7,5,0,NP3LGAGR_var,0.05645103593591975
7,5,0,NP3RISNG_std,0.05630638040478589
7,5,0,NP1APAT_std,0.05606113352679241
7,5,0,NP3HMOVL_max,0.05588116952202383
7,5,0,NP3RIGLU_std,0.055502928095076697
7,5,0,NP1HALL_mean,0.054615561396584925
7,5,0,NP2HOBB_min,0.054516422537181336
7,5,0,NP3TTAPL_mean,0.05280928722601733
7,5,0,NP3RIGN_std,0.05268311339335639
7,5,0,NP3RIGLL_max,0.05209038513947722
7,5,0,NP3LGAGL_max,0.051625455519603125
7,5,0,NP3TTAPL_max,0.05159408405005361
7,5,0,NP3RTARU_min,0.05113591988889126
7,5,0,NP3RTALL_var,0.05098194329804052
7,5,0,NP3RTARL_mean,0.05006376347999674
7,5,0,NP2SPCH_min,0.049858063487658304
