seed,fold,feature,mean_abs_shap
7,5,NP3PSTBL_min,0.23198702358791506
7,5,NP3BRADY_mean,0.1624872786004689
7,5,NP3PRSPR_std,0.13517253717784194
7,5,NP3BRADY_max,0.13001763438237413
7,5,NP3PRSPR_max,0.12880900049485525
7,5,NP3PRSPR_mean,0.11619964611594172
7,5,NP3RTCON_std,0.11581110039216497
7,5,ENRLGBA,0.10796969168976656
7,5,NP2SPCH_std,0.10790137531415926
7,5,NP3PRSPR_var,0.10675740351430119
7,5,NP3RTCON_max,0.1043337940782796
7,5,NP3PSTBL_mean,0.10372484233925376
7,5,NP3BRADY_std,0.10326739059691313
7,5,NP2SPCH_max,0.10230327704348746
7,5,NP3RIGRU_min,0.09945190725237205
7,5,NP3RIGN_mean,0.09688594924885958
7,5,NP1SLPD_mean,0.09685207168418297
7,5,NP2WALK_max,0.09652531356928562
7,5,NP3BRADY_min,0.09404931408225563
7,5,NP3RIGRU_max,0.09395978595469257
7,5,NP3RIGRU_mean,0.09215099273653475
7,5,AGE_AT_VISIT,0.09117478510051087
7,5,NP3POSTR_std,0.09110957820706642
7,5,NP2SPCH_var,0.09086483348129737
7,5,NP3RIGLU_min,0.08954911648526712
7,5,NP2HOBB_std,0.08627886840134044
7,5,NP2SPCH_mean,0.08411468882584384
7,5,NP3PRSPL_mean,0.08402889850609113
7,5,NP3RISNG_min,0.08286519848553173
7,5,NP2DRES_mean,0.08222219549569385
7,5,NP3RTARU_max,0.0822195625052907
7,5,NP3RIGRL_min,0.0814853774145471
7,5,NP3LGAGL_min,0.08085133608529826
7,5,NP3RTCON_mean,0.07965290561986053
7,5,NP3BRADY_var,0.07957969811282205
7,5,NP3HMOVR_max,0.07803724333379473
7,5,NP2WALK_std,0.07773815679660463
7,5,NP3GAIT_min,0.07755966817386081
7,5,NP3FRZGT_std,0.07532956192208706
7,5,NP3LGAGL_mean,0.07485780486792426
7,5,NP2HOBB_max,0.07462671956033928
7,5,NP3RIGN_min,0.07459461896103393
7,5,NP2TRMR_mean,0.07434898512819765
7,5,NP3PRSPL_min,0.0738995036654006
7,5,NP3RTARU_std,0.07369884875616378
7,5,SEX,0.07355879940597532
7,5,NP2RISE_std,0.07236464734042854
7,5,NP1SLPD_max,0.07218301218090634
7,5,NP3FTAPR_mean,0.07196141324784652
7,5,NP2WALK_mean,0.07189635663666534
7,5,NP3FACXP_mean,0.07185809059309936
7,5,NP3PRSPL_max,0.07178001471990741
7,5,NP3RISNG_mean,0.07073939324526805
7,5,NP3RIGN_max,0.0699229217133357
7,5,NP3RTARU_mean,0.06986516695243918
7,5,NP3HMOVL_min,0.0692678075064663
7,5,NP3HMOVL_mean,0.06921273614851182
7,5,NP2TURN_min,0.06859012958656474
7,5,NP3PSTBL_max,0.0684497960754131
7,5,NP2TURN_var,0.06733587761743177
7,5,NP3FRZGT_max,0.06730601872274983
7,5,NP3RIGLU_mean,0.06645739086512056
7,5,NP2TURN_std,0.06564683963102307
7,5,NP2TRMR_max,0.06550183408212953
7,5,NP3FRZGT_mean,0.06533481507981478
7,5,NP3POSTR_var,0.06495229384082471
7,5,NP3HMOVR_std,0.06428621250984347
7,5,NP2WALK_var,0.06380629868996762
7,5,NP3PSTBL_std,0.06297540709705078
7,5,NP2WALK_min,0.06199568864085702
7,5,NP2RISE_max,0.06188780155586392
7,5,NP3FACXP_min,0.06172031805515068
7,5,NP3RIGRL_std,0.061513996915120696
7,5,NP3KTRMR_std,0.06123324957346307
7,5,NP3LGAGL_max,0.06112444868692895
7,5,NP3RTALU_max,0.06085478447910501
7,5,NP2TRMR_std,0.059543165423965275
7,5,NP3GAIT_mean,0.0593416836309706
7,5,NP3SPCH_mean,0.05920064153771276
7,5,NP2DRES_min,0.05893571946747486
7,5,NP1SLPD_min,0.05887424553846138
7,5,NP3TTAPL_max,0.058663580303111154
7,5,NP3HMOVR_var,0.05828211704447566
7,5,NP3FACXP_max,0.05804414710149332
7,5,NP3PTRML_max,0.057666577667577615
7,5,NP3LGAGR_mean,0.057525191930378236
7,5,NP1LTHD_max,0.0571586273216002
7,5,NP1COG_std,0.05707717741649962
7,5,NP3FTAPL_min,0.05685286600084031
7,5,NP3TTAPL_std,0.05641199265026363
7,5,NP3PTRML_var,0.05628291629611761
7,5,NP3RTCON_var,0.055446166490831825
7,5,NP3POSTR_max,0.05510930101391403
7,5,NP1CNST_min,0.05509057486545251
7,5,NP3KTRML_std,0.05492659953665638
7,5,NP3HMOVR_mean,0.054751611183891644
7,5,NP3RIGLL_std,0.05413077246887604
7,5,NP3KTRML_max,0.05323120331790432
7,5,NP2RISE_var,0.052832120360443505
7,5,NP3PTRMR_mean,0.05268696023714151
7,5,NP3SPCH_max,0.05268508290860582
7,5,NP2HOBB_min,0.05260969080099142
7,5,NP3RTARU_min,0.0524257399599364
7,5,NP2HOBB_mean,0.05178443641853619
7,5,NP3RTCON_min,0.051364236351802844
7,5,NP3LGAGR_var,0.05134760658467547
7,5,NP3RIGLU_max,0.0511924175284659
7,5,NP3FTAPR_max,0.051184971761352206
7,5,NP2TRMR_min,0.05118149788620122
7,5,NP2EAT_std,0.050533066436730216
7,5,NP3RIGRL_mean,0.050217574506766414
7,5,NP2DRES_std,0.049545390843720845
7,5,NP3RIGRL_var,0.04902847813686287
7,5,NP3HMOVR_min,0.04862813819717468
7,5,NP3PRSPL_std,0.04859038082315897
7,5,NP1URIN_std,0.04807736115105263
7,5,NP2EAT_var,0.0476868109245826
7,5,NP2HYGN_min,0.04725291785691072
7,5,NP3TTAPR_mean,0.04662320690167464
7,5,NP1COG_max,0.046621302705955714
7,5,NP2TURN_mean,0.0462482802463327
7,5,NP1SLPD_std,0.04561753376438258
7,5,NP2DRES_var,0.04542624338357435
7,5,NP1SLPD_var,0.04522422087190193
7,5,NP2RISE_mean,0.04478813222423477
7,5,NP3LGAGR_max,0.04474185409518122
7,5,NP3PTRML_mean,0.04472244457752991
7,5,NP3LGAGR_std,0.04446136283100102
7,5,NP3FTAPR_min,0.04335965752396
7,5,NP3RISNG_max,0.04320091537463577
7,5,NP3RIGRL_max,0.04315839432351991
7,5,NP3PRSPR_min,0.04308778250458322
7,5,NP3RIGLL_mean,0.0430016434445975
7,5,NP1COG_var,0.042347506240854094
7,5,NP3GAIT_max,0.0422340189716814
7,5,NP3RIGLL_var,0.04218354465714815
7,5,NP3RTARL_std,0.042139146854436794
7,5,NP2HOBB_var,0.0413094055786491
7,5,NP3SPCH_std,0.04130811855614177
7,5,NP3RTALJ_var,0.04129099962306505
7,5,NP3SPCH_var,0.04011608162876159
7,5,NP1LTHD_mean,0.04005746954280963
7,5,NP2SALV_min,0.03996201237660592
7,5,NP3RTALL_var,0.039915090683141176
7,5,NP1SLPN_std,0.039905671318068894
7,5,NP1LTHD_std,0.03978733907924111
7,5,NP1PAIN_mean,0.03977978874141581
7,5,NP3RTALU_mean,0.039579579164702436
7,5,NP1LTHD_var,0.039238406433920646
7,5,NP2RISE_min,0.039080910335443184
7,5,NP3RTALJ_mean,0.039064933973743055
7,5,NP2HWRT_mean,0.03876583358382387
7,5,NP3FTAPL_mean,0.03859448348531573
7,5,NP1PAIN_max,0.03845753288207403
7,5,NP2SWAL_min,0.038322815616194966
7,5,NP1SLPN_mean,0.038272528818734115
7,5,NP3FACXP_std,0.03813460896667537
7,5,NP3FTAPL_max,0.03797646349521621
7,5,NP3LGAGL_var,0.03795796163527413
7,5,NP3TTAPL_var,0.03791355433287129
7,5,NP1HALL_mean,0.03788136989368568
7,5,NP3RTARL_var,0.037813625320753524
7,5,NP3RTALU_std,0.037506612276297105
7,5,NP3FTAPL_std,0.03741458567870591
7,5,NP3TTAPL_mean,0.03740255514146494
7,5,NP3FRZGT_var,0.037185088320911386
7,5,NP2SALV_mean,0.03678776983292317
7,5,NP2HYGN_mean,0.03656831577214214
7,5,NP2HYGN_std,0.036524428287822354
7,5,NP3HMOVL_max,0.03602639351608777
7,5,NP2HWRT_min,0.035348044429386466
7,5,NP3PSTBL_var,0.03533540510403426
7,5,NP3RIGRU_std,0.03436029568828841
7,5,NP3TTAPR_max,0.03434733345854755
7,5,NP3RIGRU_var,0.03434528009238383
7,5,NP2DRES_max,0.03418238849978468
7,5,NP3RTALU_min,0.03392018022390944
7,5,NP1CNST_var,0.033905173427666274
7,5,NP3HMOVL_std,0.03389873859664104
7,5,NP2TRMR_var,0.033744367374870174
7,5,NP3KTRML_var,0.03372841449747737
7,5,NP3KTRML_mean,0.033298340994640824
7,5,NP1APAT_var,0.033173100664080295
7,5,NP3RIGLL_min,0.032723820087048494
7,5,NP1LTHD_min,0.03189562217456437
7,5,NP2FREZ_std,0.0316641847262532
7,5,NP3RISNG_var,0.03136547839462038
7,5,NP1FATG_std,0.031230291874428273
7,5,NP3RTARL_max,0.03099235210761454
7,5,NP3KTRMR_var,0.030827829103528066
7,5,NP3RTARU_var,0.030824582432717646
7,5,NP3RTALL_mean,0.03061497344210067
7,5,NP3PRSPL_var,0.030526213206336177
7,5,NP3TTAPR_std,0.030514528536712597
