epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,1.1193100363016129,1.1120926971020906,0.34782608695652173,0.36904761904761907,0.26256410256410256,0.2531103678929766,0.25,0.0,0.8571428571428571
2,1.1183299273252487,1.0568350864493328,0.43478260869565216,0.4583333333333333,0.3802469135802469,0.3742351046698873,0.125,0.25,1.0
3,1.0689957737922668,1.0061876307363096,0.43478260869565216,0.4583333333333333,0.3802469135802469,0.3742351046698873,0.125,0.25,1.0
4,1.0227289944887161,0.9677468719689742,0.43478260869565216,0.4523809523809524,0.41111111111111115,0.4072463768115942,0.25,0.25,0.8571428571428571
5,1.021531768143177,0.9397691514181055,0.4782608695652174,0.48214285714285715,0.4888357256778309,0.4917828167256085,0.375,0.5,0.5714285714285714
6,0.9737688526511192,0.9194500109423762,0.5652173913043478,0.5654761904761905,0.5751633986928105,0.5797101449275361,0.5,0.625,0.5714285714285714
7,0.9837493598461151,0.9035371075505796,0.6086956521739131,0.6130952380952381,0.6157407407407408,0.6153381642512078,0.5,0.625,0.7142857142857143
8,0.911709725856781,0.8970821240673894,0.6086956521739131,0.6130952380952381,0.6157407407407408,0.6153381642512078,0.5,0.625,0.7142857142857143
9,0.9163182601332664,0.8911035656929016,0.6521739130434783,0.6547619047619048,0.6608220211161387,0.6623795002951013,0.625,0.625,0.7142857142857143
10,0.882630780339241,0.8785004330717999,0.782608695652174,0.7797619047619048,0.7833333333333333,0.7884057971014492,0.875,0.75,0.7142857142857143
11,0.8972050622105598,0.866913087989973,0.8260869565217391,0.8214285714285715,0.8237161531279179,0.8284739982949701,0.875,0.875,0.7142857142857143
12,0.867019534111023,0.8605469154274982,0.8260869565217391,0.8214285714285715,0.8237161531279179,0.8284739982949701,0.875,0.875,0.7142857142857143
13,0.8731704875826836,0.8511374385460563,0.8260869565217391,0.8214285714285715,0.8237161531279179,0.8284739982949701,0.875,0.875,0.7142857142857143
14,0.8833165392279625,0.8578462937603826,0.6956521739130435,0.6964285714285715,0.6976657329598507,0.7024235781269029,0.875,0.5,0.7142857142857143
15,0.8334381133317947,0.8542767478072125,0.6956521739130435,0.6964285714285715,0.6972222222222223,0.7003623188405798,0.875,0.5,0.7142857142857143
16,0.8171652853488922,0.8474548614543417,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
17,0.8212579786777496,0.8332741416018942,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
18,0.8490818291902542,0.8288443995558697,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
19,0.7685800120234489,0.8223833338074062,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
20,0.824096716940403,0.8157968469288038,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
21,0.770537905395031,0.8087444357250048,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
22,0.8004187270998955,0.8028028322302777,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
23,0.7762436196208,0.797886091729869,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
24,0.7791284322738647,0.799313195373701,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
25,0.7803119644522667,0.8000778011653734,0.7391304347826086,0.7380952380952381,0.7264239028944911,0.7290220436000486,1.0,0.5,0.7142857142857143
26,0.7394537925720215,0.799730684446252,0.7391304347826086,0.7380952380952381,0.7264239028944911,0.7290220436000486,1.0,0.5,0.7142857142857143
27,0.7169822528958321,0.7967479384463766,0.7391304347826086,0.7380952380952381,0.7264239028944911,0.7290220436000486,1.0,0.5,0.7142857142857143
28,0.7432289645075798,0.8086273359215778,0.6956521739130435,0.6964285714285715,0.6759049773755655,0.6781182372614597,1.0,0.375,0.7142857142857143
29,0.7135523185133934,0.8137214028316996,0.6956521739130435,0.6964285714285715,0.6759049773755655,0.6781182372614597,1.0,0.375,0.7142857142857143
30,0.730037622153759,0.8147161395653434,0.7391304347826086,0.7440476190476191,0.7156862745098039,0.7161125319693094,1.0,0.375,0.8571428571428571
31,0.7445571348071098,0.8023558233095252,0.6521739130434783,0.6547619047619048,0.6428571428571429,0.6436335403726708,0.875,0.375,0.7142857142857143
32,0.7015181109309196,0.7945299640945767,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
33,0.6861701682209969,0.7863048004067462,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
34,0.7068152949213982,0.7785861673562423,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
35,0.6821256279945374,0.7817744586778723,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
36,0.681990273296833,0.7762875660606052,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
37,0.6837484911084175,0.7717021055843519,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
38,0.7063598707318306,0.7650177737940913,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
39,0.6327943578362465,0.7688357259916223,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
40,0.6941102668642998,0.7674182342446368,0.6956521739130435,0.6964285714285715,0.6916666666666665,0.6927536231884057,0.875,0.5,0.7142857142857143
