Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
adaboost,chi2_mi_union_topk,0.4490 ± 0.0145,0.4571 ± 0.0277,0.5729 ± 0.0201,0.4880 ± 0.0536,0.4641 ± 0.0254,0.6964 ± 0.0170,0.5508 ± 0.0305,0.5729 ± 0.0201,0.5498 ± 0.0199,0.7176 ± 0.0179,0.5619 ± 0.0109,0.4601 ± 0.0194,0.4556 ± 0.0135,0.6932 ± 0.0158,0.5352 ± 0.0139,0.5619 ± 0.0109,0.5428 ± 0.0109,0.7131 ± 0.0140
svm,spearman_corr,0.4086 ± 0.0131,0.4166 ± 0.0217,0.5857 ± 0.0200,0.4307 ± 0.0705,0.4543 ± 0.0213,0.7057 ± 0.0183,0.5167 ± 0.0448,0.5857 ± 0.0200,0.5340 ± 0.0190,0.7274 ± 0.0197,0.5778 ± 0.0056,0.4075 ± 0.0377,0.4463 ± 0.0074,0.6965 ± 0.0108,0.5003 ± 0.0224,0.5778 ± 0.0056,0.5262 ± 0.0089,0.7161 ± 0.0114
svm,mutual_info,0.4050 ± 0.0092,0.4153 ± 0.0205,0.5879 ± 0.0214,0.4780 ± 0.1369,0.4554 ± 0.0232,0.7025 ± 0.0189,0.5428 ± 0.0798,0.5879 ± 0.0214,0.5336 ± 0.0193,0.7235 ± 0.0194,0.5777 ± 0.0095,0.3950 ± 0.0372,0.4450 ± 0.0100,0.6932 ± 0.0123,0.4933 ± 0.0221,0.5777 ± 0.0095,0.5244 ± 0.0084,0.7126 ± 0.0129
svm,spearman_sulov,0.4102 ± 0.0170,0.4187 ± 0.0225,0.5875 ± 0.0189,0.4932 ± 0.1341,0.4563 ± 0.0217,0.7077 ± 0.0181,0.5508 ± 0.0764,0.5875 ± 0.0189,0.5348 ± 0.0182,0.7288 ± 0.0196,0.5797 ± 0.0098,0.4279 ± 0.0587,0.4490 ± 0.0112,0.6959 ± 0.0110,0.5126 ± 0.0344,0.5797 ± 0.0098,0.5278 ± 0.0127,0.7153 ± 0.0118
svm,chi2,0.4082 ± 0.0120,0.4084 ± 0.0193,0.5813 ± 0.0187,0.4360 ± 0.0909,0.4479 ± 0.0195,0.7031 ± 0.0210,0.5153 ± 0.0521,0.5813 ± 0.0187,0.5264 ± 0.0172,0.7243 ± 0.0219,0.5813 ± 0.0085,0.3975 ± 0.0354,0.4478 ± 0.0088,0.6935 ± 0.0099,0.4958 ± 0.0214,0.5813 ± 0.0085,0.5277 ± 0.0097,0.7129 ± 0.0108
svm,chi2_mi_union_topk,0.4118 ± 0.0130,0.4141 ± 0.0261,0.5835 ± 0.0245,0.4493 ± 0.0831,0.4504 ± 0.0281,0.6967 ± 0.0193,0.5236 ± 0.0526,0.5835 ± 0.0245,0.5303 ± 0.0236,0.7176 ± 0.0205,0.5789 ± 0.0072,0.4178 ± 0.0409,0.4461 ± 0.0079,0.6878 ± 0.0147,0.5067 ± 0.0225,0.5789 ± 0.0072,0.5289 ± 0.0085,0.7071 ± 0.0150
logistic_regression,spearman_corr,0.4584 ± 0.0151,0.4507 ± 0.0335,0.5282 ± 0.0250,0.4534 ± 0.0335,0.4510 ± 0.0343,0.6543 ± 0.0260,0.5471 ± 0.0292,0.5282 ± 0.0250,0.5363 ± 0.0263,0.6872 ± 0.0249,0.5253 ± 0.0135,0.4612 ± 0.0147,0.4601 ± 0.0159,0.6510 ± 0.0136,0.5513 ± 0.0128,0.5253 ± 0.0135,0.5363 ± 0.0130,0.6801 ± 0.0136
logistic_regression,mutual_info,0.4448 ± 0.0195,0.4572 ± 0.0297,0.5333 ± 0.0236,0.4594 ± 0.0303,0.4585 ± 0.0310,0.6502 ± 0.0196,0.5475 ± 0.0258,0.5333 ± 0.0236,0.5391 ± 0.0234,0.6825 ± 0.0190,0.5148 ± 0.0180,0.4472 ± 0.0190,0.4457 ± 0.0204,0.6449 ± 0.0152,0.5384 ± 0.0169,0.5148 ± 0.0180,0.5251 ± 0.0173,0.6735 ± 0.0156
logistic_regression,spearman_sulov,0.4538 ± 0.0131,0.4590 ± 0.0302,0.5344 ± 0.0259,0.4610 ± 0.0302,0.4595 ± 0.0312,0.6564 ± 0.0223,0.5517 ± 0.0273,0.5344 ± 0.0259,0.5419 ± 0.0258,0.6886 ± 0.0225,0.5201 ± 0.0131,0.4571 ± 0.0124,0.4553 ± 0.0137,0.6473 ± 0.0113,0.5475 ± 0.0115,0.5201 ± 0.0131,0.5317 ± 0.0122,0.6755 ± 0.0122
logistic_regression,chi2,0.4502 ± 0.0233,0.4447 ± 0.0284,0.5194 ± 0.0303,0.4485 ± 0.0278,0.4454 ± 0.0287,0.6500 ± 0.0225,0.5385 ± 0.0265,0.5194 ± 0.0303,0.5271 ± 0.0278,0.6817 ± 0.0225,0.5187 ± 0.0219,0.4532 ± 0.0226,0.4517 ± 0.0239,0.6455 ± 0.0169,0.5444 ± 0.0209,0.5187 ± 0.0219,0.5297 ± 0.0213,0.6758 ± 0.0167
