epoch,train_loss,val_loss,val_acc,val_f1_macro,val_recall_0,val_recall_1,val_recall_2,fold
1,0.9275026812109837,0.6162556409835815,0.8854166666666666,0.6144900204306145,0.975609756097561,0.9375,0.0,1
2,0.4479485678118329,0.32640159378449124,0.875,0.606693252013449,1.0,0.8958333333333334,0.0,1
3,0.32836552969245025,0.2934526900450389,0.8645833333333334,0.6002052253532244,0.926829268292683,0.9375,0.0,1
4,0.2978900924671528,0.27133428553740185,0.8958333333333334,0.7004825185888309,1.0,0.9166666666666666,0.14285714285714285,1
5,0.2657008953565775,0.26947699052592117,0.90625,0.7683831037942762,1.0,0.9166666666666666,0.2857142857142857,1
6,0.24103225753750912,0.2586495255430539,0.8958333333333334,0.7497739018087856,1.0,0.8958333333333334,0.2857142857142857,1
7,0.22128795756157055,0.26320857803026837,0.8854166666666666,0.7868746373901013,0.9512195121951219,0.8958333333333334,0.42857142857142855,1
8,0.20971757922061654,0.26400069644053775,0.875,0.7353741496598639,0.9512195121951219,0.8958333333333334,0.2857142857142857,1
9,0.19990072881066523,0.26370912107328576,0.90625,0.8377020983832129,0.975609756097561,0.8958333333333334,0.5714285714285714,1
10,0.18991653569215952,0.2827400267124176,0.8958333333333334,0.8303571428571428,0.9512195121951219,0.8958333333333334,0.5714285714285714,1
11,0.1644558205160984,0.28265274440248805,0.8854166666666666,0.7868746373901013,0.9512195121951219,0.8958333333333334,0.42857142857142855,1
12,0.15726446048464887,0.29965001344680786,0.8541666666666666,0.7761904761904761,0.8780487804878049,0.875,0.5714285714285714,1
13,0.1418214445197305,0.2901880517601967,0.8854166666666666,0.8093888567572778,0.9512195121951219,0.875,0.5714285714285714,1
14,0.12999684994303903,0.2962178873519103,0.8645833333333334,0.7510892616155774,0.9512195121951219,0.8541666666666666,0.42857142857142855,1
15,0.12418604219375655,0.30373023202021915,0.875,0.7353741496598639,0.9512195121951219,0.8958333333333334,0.2857142857142857,1
16,0.11051025484190431,0.3144080527126789,0.875,0.7907801418439716,0.9512195121951219,0.8541666666666666,0.5714285714285714,1
17,0.11395692861703939,0.32532146386802197,0.8854166666666666,0.8256528417818739,0.9512195121951219,0.8541666666666666,0.7142857142857143,1
18,0.11280259282089942,0.32814962106446427,0.8854166666666666,0.8256528417818739,0.9512195121951219,0.8541666666666666,0.7142857142857143,1
19,0.0941391107647918,0.32963727538784343,0.8854166666666666,0.8256528417818739,0.9512195121951219,0.8541666666666666,0.7142857142857143,1
20,0.09812539972711441,0.3334297730276982,0.8854166666666666,0.8256528417818739,0.9512195121951219,0.8541666666666666,0.7142857142857143,1
21,0.10004952470230502,0.33659447605411213,0.8854166666666666,0.8256528417818739,0.9512195121951219,0.8541666666666666,0.7142857142857143,1
1,0.9084941883419835,0.6202998061974844,0.8645833333333334,0.5996398089421345,0.975609756097561,0.8958333333333334,0.0,2
2,0.45667363460673843,0.31877931704123813,0.875,0.6070588235294118,0.975609756097561,0.9166666666666666,0.0,2
3,0.32775109368701316,0.26945898433526355,0.8854166666666666,0.6144900204306145,0.975609756097561,0.9375,0.0,2
4,0.29369932011116384,0.240994893014431,0.875,0.6073706591070164,0.9512195121951219,0.9375,0.0,2
5,0.2580632578494937,0.2283462149401506,0.8854166666666666,0.6144900204306145,0.975609756097561,0.9375,0.0,2
6,0.24235540884871815,0.22383294502894083,0.9166666666666666,0.8928571428571429,0.9512195121951219,0.9166666666666666,0.7142857142857143,2
7,0.22596619247004043,0.21578567723433176,0.9166666666666666,0.8617997034520272,0.9512195121951219,0.9375,0.5714285714285714,2
8,0.2081487550811712,0.21616333474715552,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
9,0.1891295130169669,0.21848149100939432,0.9166666666666666,0.892843316188264,0.926829268292683,0.9375,0.7142857142857143,2
10,0.1734769369627154,0.22312704846262932,0.9166666666666666,0.892843316188264,0.926829268292683,0.9375,0.7142857142857143,2
11,0.16512057767357938,0.22921161291499934,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
12,0.14201198109360627,0.23588663525879383,0.8958333333333334,0.9030509574813372,0.8536585365853658,0.9375,0.8571428571428571,2
13,0.1364841509003972,0.2336763416727384,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
14,0.11930202074175657,0.23522429913282394,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
15,0.1005816113463668,0.26206402604778606,0.8958333333333334,0.9027181968358439,0.8292682926829268,0.9583333333333334,0.8571428571428571,2
16,0.10420372662849205,0.2472573264191548,0.9166666666666666,0.9183415056430929,0.9024390243902439,0.9375,0.8571428571428571,2
17,0.09720445794248303,0.2446521787593762,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
18,0.09512245655059814,0.25472842653592426,0.9270833333333334,0.9259137476386661,0.926829268292683,0.9375,0.8571428571428571,2
19,0.07782809308101965,0.26781769034763175,0.9166666666666666,0.9183415056430929,0.9024390243902439,0.9375,0.8571428571428571,2
20,0.07436740389743517,0.26658816263079643,0.9166666666666666,0.9183415056430929,0.9024390243902439,0.9375,0.8571428571428571,2
21,0.08795521261040555,0.26687553866455954,0.9166666666666666,0.892843316188264,0.926829268292683,0.9375,0.7142857142857143,2
22,0.07198534996010536,0.2783156391233206,0.90625,0.8853348297792741,0.9024390243902439,0.9375,0.7142857142857143,2
1,0.9156958250112311,0.6328446169694265,0.84375,0.5856026521430263,0.9024390243902439,0.9166666666666666,0.0,3
2,0.4474659584289373,0.4082004576921463,0.8125,0.5636493909720564,0.8292682926829268,0.9166666666666666,0.0,3
3,0.3328208863735199,0.3639252781867981,0.8125,0.5637068692624249,0.8536585365853658,0.8958333333333334,0.0,3
4,0.2875276665701423,0.3533499240875244,0.8333333333333334,0.5782345066540673,0.9024390243902439,0.8958333333333334,0.0,3
5,0.2677358344543812,0.3331151281793912,0.8333333333333334,0.657051282051282,0.8536585365853658,0.9166666666666666,0.14285714285714285,3
6,0.2261548171902812,0.33550709237655,0.8541666666666666,0.6717280408098198,0.9024390243902439,0.9166666666666666,0.14285714285714285,3
7,0.21886482294215712,0.32808806995550793,0.8645833333333334,0.7867253392005867,0.8780487804878049,0.9166666666666666,0.42857142857142855,3
8,0.1986687902794328,0.3529266342520714,0.875,0.7941463414634146,0.9024390243902439,0.9166666666666666,0.42857142857142855,3
9,0.17986671487952388,0.36885693420966464,0.8854166666666666,0.8015171798304328,0.926829268292683,0.9166666666666666,0.42857142857142855,3
10,0.1599212227865707,0.3905661342044671,0.8958333333333334,0.8469648538495355,0.926829268292683,0.9166666666666666,0.5714285714285714,3
11,0.16099357802507488,0.39433736354112625,0.8854166666666666,0.8015171798304328,0.926829268292683,0.9166666666666666,0.42857142857142855,3
12,0.14666720923296242,0.3852425031363964,0.8541666666666666,0.8166000666000667,0.8048780487804879,0.9375,0.5714285714285714,3
13,0.13980564301790194,0.40896572917699814,0.8958333333333334,0.8469648538495355,0.926829268292683,0.9166666666666666,0.5714285714285714,3
