fold,best_epoch,best_val_loss,val_loss,val_acc,val_f1_macro,val_recall_0,val_recall_1,val_recall_2
1,6,0.2586495255430539,0.2586495255430539,0.8958333333333334,0.7497739018087856,1.0,0.8958333333333334,0.2857142857142857
2,7,0.21578567723433176,0.21578567723433176,0.9166666666666666,0.8617997034520272,0.9512195121951219,0.9375,0.5714285714285714
3,7,0.32808806995550793,0.32808806995550793,0.8645833333333334,0.7867253392005867,0.8780487804878049,0.9166666666666666,0.42857142857142855
4,5,0.26007381826639175,0.26007381826639175,0.90625,0.8378807325522019,0.9512195121951219,0.9166666666666666,0.5714285714285714
5,8,0.2890360864500205,0.2890360864500205,0.875,0.7795560721550393,0.926829268292683,0.8958333333333334,0.42857142857142855
6,4,0.3851606100797653,0.3851606100797653,0.8645833333333334,0.7391335233579298,0.9512195121951219,0.875,0.2857142857142857
7,4,0.37514818844042325,0.37514818844042325,0.8421052631578947,0.6577153650324382,0.925,0.8936170212765957,0.125
8,4,0.27569176899759396,0.27569176899759396,0.8631578947368421,0.6730285176887119,0.9,0.9574468085106383,0.125
9,5,0.33767953499367365,0.33767953499367365,0.8631578947368421,0.7931680722378397,0.9512195121951219,0.8297872340425532,0.5714285714285714
10,6,0.273981647742422,0.273981647742422,0.9052631578947369,0.8156585103299797,0.9512195121951219,0.9361702127659575,0.42857142857142855
