metric,mean,std,min,max
best_epoch,5.6,1.429840705968481,4.0,8.0
best_val_loss,0.2999294927703184,0.054662889185567595,0.21578567723433176,0.3851606100797653
val_loss,0.2999294927703184,0.054662889185567595,0.21578567723433176,0.3851606100797653
val_acc,0.8796600877192983,0.024551407413974796,0.8421052631578947,0.9166666666666666
val_f1_macro,0.769443973781554,0.0661627156142831,0.6577153650324382,0.8617997034520272
val_recall_0,0.9385975609756096,0.03341014598070045,0.8780487804878049,1.0
val_recall_1,0.9054521276595746,0.036367363021114936,0.8297872340425532,0.9574468085106383
val_recall_2,0.38214285714285706,0.17152774908883692,0.125,0.5714285714285714
