,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8853 ± 0.0127,0.9005 ± 0.0226,0.8907 ± 0.0271,0.8951 ± 0.0118,0.8779 ± 0.0144,0.8767 ± 0.0108,0.8936 ± 0.0116,0.8818 ± 0.0123,0.8876 ± 0.0100,0.8698 ± 0.0105
random_forest,0.9333 ± 0.0138,0.9561 ± 0.0166,0.9213 ± 0.0237,0.9381 ± 0.0132,0.9774 ± 0.0069,0.9212 ± 0.0074,0.9511 ± 0.0051,0.9037 ± 0.0100,0.9268 ± 0.0070,0.9686 ± 0.0031
extra_trees,0.9289 ± 0.0138,0.9470 ± 0.0177,0.9227 ± 0.0223,0.9345 ± 0.0131,0.9776 ± 0.0063,0.9181 ± 0.0049,0.9439 ± 0.0026,0.9054 ± 0.0099,0.9242 ± 0.0049,0.9684 ± 0.0031
xgboost,0.9205 ± 0.0115,0.9312 ± 0.0173,0.9240 ± 0.0199,0.9274 ± 0.0106,0.9685 ± 0.0088,0.9107 ± 0.0096,0.9345 ± 0.0114,0.9014 ± 0.0088,0.9176 ± 0.0088,0.9569 ± 0.0051
adaboost,0.9165 ± 0.0130,0.9270 ± 0.0241,0.9213 ± 0.0193,0.9238 ± 0.0114,0.9691 ± 0.0073,0.9086 ± 0.0060,0.9309 ± 0.0085,0.9014 ± 0.0056,0.9159 ± 0.0053,0.9595 ± 0.0044
svm,0.9286 ± 0.0122,0.9593 ± 0.0112,0.9087 ± 0.0211,0.9332 ± 0.0122,0.9744 ± 0.0077,0.9154 ± 0.0082,0.9509 ± 0.0092,0.8929 ± 0.0095,0.9209 ± 0.0077,0.9637 ± 0.0039
logistic_regression,0.9088 ± 0.0070,0.9295 ± 0.0205,0.9033 ± 0.0240,0.9158 ± 0.0071,0.9553 ± 0.0092,0.9002 ± 0.0070,0.9263 ± 0.0098,0.8900 ± 0.0110,0.9077 ± 0.0065,0.9462 ± 0.0061
knn,0.8897 ± 0.0164,0.9903 ± 0.0063,0.8073 ± 0.0326,0.8891 ± 0.0188,0.9470 ± 0.0112,0.8764 ± 0.0049,0.9875 ± 0.0047,0.7860 ± 0.0106,0.8753 ± 0.0057,0.9336 ± 0.0073
gaussian_nb,0.9297 ± 0.0084,0.9621 ± 0.0098,0.9080 ± 0.0210,0.9341 ± 0.0087,0.9592 ± 0.0078,0.9167 ± 0.0044,0.9552 ± 0.0068,0.8909 ± 0.0081,0.9219 ± 0.0043,0.9470 ± 0.0035
