,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.5322 ± 0.0315,0.5756 ± 0.0279,0.5660 ± 0.0481,0.5701 ± 0.0347,0.5227 ± 0.0336,0.5300 ± 0.0213,0.5754 ± 0.0184,0.5650 ± 0.0342,0.5699 ± 0.0250,0.5193 ± 0.0218
random_forest,0.6022 ± 0.0282,0.6140 ± 0.0210,0.7440 ± 0.0340,0.6726 ± 0.0243,0.6214 ± 0.0343,0.5819 ± 0.0160,0.6009 ± 0.0121,0.7222 ± 0.0213,0.6559 ± 0.0142,0.5917 ± 0.0211
extra_trees,0.5861 ± 0.0246,0.6031 ± 0.0196,0.7233 ± 0.0318,0.6575 ± 0.0206,0.6113 ± 0.0358,0.5761 ± 0.0219,0.6002 ± 0.0168,0.6943 ± 0.0248,0.6438 ± 0.0194,0.5869 ± 0.0235
xgboost,0.5652 ± 0.0255,0.5966 ± 0.0216,0.6447 ± 0.0316,0.6195 ± 0.0238,0.5885 ± 0.0302,0.5695 ± 0.0255,0.6048 ± 0.0214,0.6339 ± 0.0291,0.6190 ± 0.0244,0.5796 ± 0.0252
adaboost,0.6154 ± 0.0186,0.6369 ± 0.0145,0.6987 ± 0.0441,0.6657 ± 0.0226,0.6578 ± 0.0227,0.6104 ± 0.0137,0.6368 ± 0.0124,0.6846 ± 0.0170,0.6598 ± 0.0121,0.6422 ± 0.0163
svm,0.6176 ± 0.0290,0.6392 ± 0.0249,0.7000 ± 0.0451,0.6676 ± 0.0277,0.6528 ± 0.0250,0.5943 ± 0.0190,0.6223 ± 0.0168,0.6749 ± 0.0224,0.6474 ± 0.0168,0.6176 ± 0.0209
logistic_regression,0.5978 ± 0.0228,0.6664 ± 0.0196,0.5353 ± 0.0409,0.5933 ± 0.0315,0.6284 ± 0.0270,0.5879 ± 0.0153,0.6538 ± 0.0175,0.5387 ± 0.0195,0.5906 ± 0.0165,0.6081 ± 0.0200
knn,0.5656 ± 0.0222,0.6202 ± 0.0214,0.5400 ± 0.0401,0.5768 ± 0.0282,0.5933 ± 0.0288,0.5547 ± 0.0114,0.6131 ± 0.0166,0.5265 ± 0.0236,0.5660 ± 0.0120,0.5794 ± 0.0167
gaussian_nb,0.5593 ± 0.0264,0.6632 ± 0.0312,0.4013 ± 0.0508,0.4988 ± 0.0449,0.6189 ± 0.0338,0.5577 ± 0.0131,0.6627 ± 0.0176,0.4043 ± 0.0203,0.5020 ± 0.0193,0.6038 ± 0.0160
