,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8897 ± 0.0199,0.9023 ± 0.0272,0.8973 ± 0.0225,0.8995 ± 0.0176,0.8846 ± 0.0219,0.8767 ± 0.0092,0.8902 ± 0.0089,0.8860 ± 0.0129,0.8880 ± 0.0086,0.8706 ± 0.0095
random_forest,0.9315 ± 0.0121,0.9518 ± 0.0199,0.9227 ± 0.0220,0.9367 ± 0.0114,0.9762 ± 0.0068,0.9223 ± 0.0057,0.9504 ± 0.0045,0.9066 ± 0.0075,0.9280 ± 0.0054,0.9673 ± 0.0032
extra_trees,0.9289 ± 0.0160,0.9452 ± 0.0264,0.9253 ± 0.0255,0.9347 ± 0.0146,0.9745 ± 0.0065,0.9184 ± 0.0043,0.9424 ± 0.0081,0.9077 ± 0.0069,0.9247 ± 0.0039,0.9657 ± 0.0039
xgboost,0.9194 ± 0.0188,0.9338 ± 0.0258,0.9193 ± 0.0252,0.9261 ± 0.0171,0.9653 ± 0.0073,0.9055 ± 0.0087,0.9240 ± 0.0100,0.9031 ± 0.0074,0.9134 ± 0.0079,0.9520 ± 0.0058
adaboost,0.9271 ± 0.0100,0.9420 ± 0.0159,0.9247 ± 0.0175,0.9330 ± 0.0093,0.9710 ± 0.0082,0.9123 ± 0.0077,0.9332 ± 0.0104,0.9060 ± 0.0095,0.9193 ± 0.0069,0.9587 ± 0.0060
svm,0.9322 ± 0.0126,0.9637 ± 0.0154,0.9113 ± 0.0231,0.9365 ± 0.0124,0.9717 ± 0.0083,0.9214 ± 0.0052,0.9580 ± 0.0057,0.8969 ± 0.0096,0.9264 ± 0.0051,0.9594 ± 0.0047
logistic_regression,0.9103 ± 0.0117,0.9396 ± 0.0184,0.8947 ± 0.0228,0.9163 ± 0.0114,0.9609 ± 0.0094,0.8995 ± 0.0052,0.9334 ± 0.0084,0.8809 ± 0.0085,0.9063 ± 0.0048,0.9468 ± 0.0051
knn,0.9095 ± 0.0132,0.9788 ± 0.0141,0.8540 ± 0.0214,0.9120 ± 0.0134,0.9548 ± 0.0107,0.8906 ± 0.0055,0.9748 ± 0.0070,0.8231 ± 0.0098,0.8925 ± 0.0058,0.9431 ± 0.0048
gaussian_nb,0.9322 ± 0.0110,0.9662 ± 0.0100,0.9087 ± 0.0237,0.9363 ± 0.0114,0.9604 ± 0.0078,0.9200 ± 0.0044,0.9610 ± 0.0061,0.8912 ± 0.0083,0.9247 ± 0.0043,0.9521 ± 0.0035
