,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6722 ± 0.0483,0.8194 ± 0.0258,0.7579 ± 0.0533,0.7868 ± 0.0361,0.5404 ± 0.0520,0.6883 ± 0.0283,0.8234 ± 0.0142,0.7786 ± 0.0262,0.8003 ± 0.0198,0.5413 ± 0.0331
random_forest,0.7947 ± 0.0298,0.8237 ± 0.0127,0.9463 ± 0.0331,0.8806 ± 0.0189,0.6365 ± 0.0441,0.8011 ± 0.0086,0.8265 ± 0.0047,0.9523 ± 0.0104,0.8849 ± 0.0054,0.6218 ± 0.0472
extra_trees,0.8033 ± 0.0177,0.8254 ± 0.0091,0.9570 ± 0.0178,0.8863 ± 0.0107,0.6132 ± 0.0342,0.8034 ± 0.0102,0.8279 ± 0.0066,0.9534 ± 0.0081,0.8862 ± 0.0059,0.5943 ± 0.0425
xgboost,0.7768 ± 0.0190,0.8257 ± 0.0123,0.9149 ± 0.0240,0.8678 ± 0.0122,0.6249 ± 0.0513,0.7643 ± 0.0090,0.8226 ± 0.0063,0.9007 ± 0.0097,0.8599 ± 0.0055,0.6040 ± 0.0441
adaboost,0.7987 ± 0.0056,0.8016 ± 0.0023,0.9950 ± 0.0070,0.8879 ± 0.0034,0.6583 ± 0.0353,0.7957 ± 0.0049,0.8027 ± 0.0022,0.9886 ± 0.0090,0.8860 ± 0.0033,0.6381 ± 0.0279
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.4921 ± 0.0635,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.4834 ± 0.0461
logistic_regression,0.5887 ± 0.0388,0.8672 ± 0.0236,0.5752 ± 0.0519,0.6904 ± 0.0389,0.6722 ± 0.0394,0.5909 ± 0.0128,0.8564 ± 0.0134,0.5893 ± 0.0118,0.6981 ± 0.0101,0.6462 ± 0.0185
knn,0.7616 ± 0.0286,0.8261 ± 0.0168,0.8901 ± 0.0297,0.8567 ± 0.0183,0.6401 ± 0.0474,0.7677 ± 0.0143,0.8294 ± 0.0103,0.8950 ± 0.0198,0.8608 ± 0.0094,0.6057 ± 0.0218
gaussian_nb,0.5960 ± 0.0413,0.8752 ± 0.0215,0.5785 ± 0.0534,0.6954 ± 0.0391,0.6447 ± 0.0381,0.5957 ± 0.0203,0.8709 ± 0.0123,0.5829 ± 0.0251,0.6981 ± 0.0192,0.6442 ± 0.0220
