,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8092 ± 0.0313,0.8574 ± 0.0310,0.7833 ± 0.0421,0.8182 ± 0.0317,0.7792 ± 0.0404,0.8002 ± 0.0193,0.8450 ± 0.0205,0.7815 ± 0.0224,0.8119 ± 0.0185,0.7704 ± 0.0262
random_forest,0.8663 ± 0.0154,0.8753 ± 0.0240,0.8833 ± 0.0204,0.8790 ± 0.0134,0.9248 ± 0.0176,0.8583 ± 0.0125,0.8599 ± 0.0112,0.8880 ± 0.0134,0.8737 ± 0.0113,0.9152 ± 0.0110
extra_trees,0.8608 ± 0.0123,0.8645 ± 0.0173,0.8860 ± 0.0165,0.8749 ± 0.0108,0.9117 ± 0.0147,0.8505 ± 0.0133,0.8495 ± 0.0110,0.8860 ± 0.0140,0.8674 ± 0.0120,0.8997 ± 0.0102
xgboost,0.8608 ± 0.0213,0.8877 ± 0.0347,0.8567 ± 0.0234,0.8713 ± 0.0183,0.9156 ± 0.0157,0.8495 ± 0.0116,0.8633 ± 0.0077,0.8641 ± 0.0161,0.8637 ± 0.0112,0.9070 ± 0.0104
adaboost,0.8733 ± 0.0177,0.9150 ± 0.0246,0.8487 ± 0.0201,0.8804 ± 0.0166,0.9313 ± 0.0154,0.8626 ± 0.0093,0.8950 ± 0.0126,0.8510 ± 0.0075,0.8724 ± 0.0083,0.9154 ± 0.0077
svm,0.8681 ± 0.0220,0.8903 ± 0.0308,0.8680 ± 0.0213,0.8787 ± 0.0195,0.9298 ± 0.0160,0.8656 ± 0.0094,0.8863 ± 0.0110,0.8678 ± 0.0073,0.8769 ± 0.0084,0.9136 ± 0.0073
logistic_regression,0.8531 ± 0.0262,0.9232 ± 0.0254,0.7993 ± 0.0346,0.8565 ± 0.0267,0.9259 ± 0.0157,0.8464 ± 0.0098,0.9095 ± 0.0089,0.8014 ± 0.0122,0.8520 ± 0.0098,0.9103 ± 0.0067
knn,0.8227 ± 0.0155,0.9067 ± 0.0190,0.7553 ± 0.0244,0.8239 ± 0.0165,0.8817 ± 0.0201,0.8115 ± 0.0144,0.8980 ± 0.0077,0.7427 ± 0.0252,0.8128 ± 0.0166,0.8736 ± 0.0148
gaussian_nb,0.7872 ± 0.0281,0.8862 ± 0.0270,0.7040 ± 0.0563,0.7832 ± 0.0355,0.8799 ± 0.0180,0.7736 ± 0.0131,0.8726 ± 0.0104,0.6906 ± 0.0222,0.7708 ± 0.0155,0.8638 ± 0.0084
