,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7291 ± 0.0378,0.8424 ± 0.0261,0.8149 ± 0.0357,0.8280 ± 0.0252,0.5991 ± 0.0604,0.7140 ± 0.0247,0.8308 ± 0.0144,0.8085 ± 0.0256,0.8193 ± 0.0170,0.5688 ± 0.0349
random_forest,0.8291 ± 0.0087,0.8352 ± 0.0048,0.9802 ± 0.0105,0.9019 ± 0.0053,0.8270 ± 0.0252,0.8231 ± 0.0087,0.8331 ± 0.0061,0.9751 ± 0.0050,0.8985 ± 0.0048,0.7813 ± 0.0212
extra_trees,0.8311 ± 0.0109,0.8361 ± 0.0078,0.9818 ± 0.0102,0.9031 ± 0.0063,0.8264 ± 0.0253,0.8186 ± 0.0110,0.8265 ± 0.0072,0.9797 ± 0.0050,0.8966 ± 0.0060,0.7701 ± 0.0213
xgboost,0.8331 ± 0.0098,0.8642 ± 0.0096,0.9397 ± 0.0187,0.9002 ± 0.0066,0.8179 ± 0.0311,0.8074 ± 0.0179,0.8474 ± 0.0088,0.9270 ± 0.0157,0.8854 ± 0.0111,0.7600 ± 0.0292
adaboost,0.8232 ± 0.0230,0.8594 ± 0.0143,0.9322 ± 0.0296,0.8940 ± 0.0148,0.7911 ± 0.0272,0.7980 ± 0.0133,0.8420 ± 0.0073,0.9214 ± 0.0130,0.8798 ± 0.0082,0.7430 ± 0.0239
svm,0.8126 ± 0.0063,0.8165 ± 0.0068,0.9884 ± 0.0112,0.8942 ± 0.0036,0.7848 ± 0.0273,0.8109 ± 0.0083,0.8132 ± 0.0064,0.9925 ± 0.0035,0.8939 ± 0.0043,0.7251 ± 0.0262
logistic_regression,0.7358 ± 0.0350,0.8652 ± 0.0207,0.7942 ± 0.0390,0.8277 ± 0.0254,0.7123 ± 0.0320,0.7069 ± 0.0331,0.8419 ± 0.0189,0.7815 ± 0.0275,0.8105 ± 0.0227,0.6666 ± 0.0470
knn,0.5404 ± 0.0352,0.9306 ± 0.0344,0.4628 ± 0.0575,0.6155 ± 0.0460,0.7040 ± 0.0209,0.5486 ± 0.0463,0.9164 ± 0.0103,0.4819 ± 0.0645,0.6293 ± 0.0538,0.6945 ± 0.0208
gaussian_nb,0.5960 ± 0.1205,0.8880 ± 0.0163,0.5678 ± 0.1712,0.6786 ± 0.1325,0.7303 ± 0.0305,0.5829 ± 0.0892,0.8955 ± 0.0131,0.5456 ± 0.1326,0.6685 ± 0.1036,0.7012 ± 0.0155
