,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6854 ± 0.0234,0.8252 ± 0.0156,0.7711 ± 0.0302,0.7969 ± 0.0176,0.5463 ± 0.0351,0.6840 ± 0.0278,0.8209 ± 0.0117,0.7754 ± 0.0297,0.7974 ± 0.0204,0.5358 ± 0.0271
random_forest,0.7974 ± 0.0316,0.8285 ± 0.0149,0.9421 ± 0.0299,0.8815 ± 0.0196,0.6459 ± 0.0478,0.8000 ± 0.0109,0.8281 ± 0.0077,0.9477 ± 0.0116,0.8838 ± 0.0064,0.6142 ± 0.0353
extra_trees,0.7848 ± 0.0228,0.8253 ± 0.0154,0.9281 ± 0.0135,0.8736 ± 0.0130,0.6089 ± 0.0575,0.7854 ± 0.0130,0.8237 ± 0.0068,0.9324 ± 0.0135,0.8746 ± 0.0080,0.5817 ± 0.0418
xgboost,0.7556 ± 0.0222,0.8251 ± 0.0173,0.8826 ± 0.0236,0.8526 ± 0.0137,0.6301 ± 0.0571,0.7674 ± 0.0155,0.8265 ± 0.0115,0.8993 ± 0.0111,0.8613 ± 0.0090,0.6039 ± 0.0368
adaboost,0.8040 ± 0.0166,0.8190 ± 0.0144,0.9702 ± 0.0211,0.8880 ± 0.0095,0.6379 ± 0.0488,0.8009 ± 0.0066,0.8198 ± 0.0076,0.9641 ± 0.0142,0.8860 ± 0.0042,0.6495 ± 0.0275
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5377 ± 0.1150,0.8026 ± 0.0009,0.8028 ± 0.0002,0.9996 ± 0.0011,0.8905 ± 0.0006,0.5354 ± 0.0631
logistic_regression,0.6272 ± 0.0467,0.8604 ± 0.0191,0.6388 ± 0.0684,0.7312 ± 0.0456,0.6695 ± 0.0461,0.6271 ± 0.0294,0.8562 ± 0.0142,0.6434 ± 0.0322,0.7345 ± 0.0250,0.6395 ± 0.0376
knn,0.7748 ± 0.0283,0.8227 ± 0.0135,0.9165 ± 0.0254,0.8670 ± 0.0174,0.6005 ± 0.0606,0.7731 ± 0.0141,0.8255 ± 0.0106,0.9100 ± 0.0156,0.8656 ± 0.0085,0.5829 ± 0.0428
gaussian_nb,0.4536 ± 0.0285,0.8717 ± 0.0300,0.3736 ± 0.0367,0.5220 ± 0.0366,0.6663 ± 0.0435,0.4766 ± 0.0265,0.8908 ± 0.0167,0.3964 ± 0.0316,0.5482 ± 0.0317,0.6631 ± 0.0220
