,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8330 ± 0.0234,0.8819 ± 0.0220,0.8040 ± 0.0371,0.8407 ± 0.0239,0.8107 ± 0.0296,0.8212 ± 0.0063,0.8585 ± 0.0105,0.8097 ± 0.0100,0.8333 ± 0.0057,0.7975 ± 0.0093
random_forest,0.8842 ± 0.0160,0.8945 ± 0.0193,0.8953 ± 0.0196,0.8947 ± 0.0147,0.9253 ± 0.0134,0.8701 ± 0.0076,0.8779 ± 0.0091,0.8883 ± 0.0080,0.8830 ± 0.0067,0.9147 ± 0.0079
extra_trees,0.8740 ± 0.0190,0.8802 ± 0.0228,0.8927 ± 0.0223,0.8862 ± 0.0171,0.9085 ± 0.0160,0.8610 ± 0.0117,0.8654 ± 0.0123,0.8860 ± 0.0112,0.8756 ± 0.0103,0.8983 ± 0.0102
xgboost,0.8711 ± 0.0215,0.9014 ± 0.0245,0.8600 ± 0.0306,0.8798 ± 0.0207,0.9212 ± 0.0132,0.8571 ± 0.0083,0.8742 ± 0.0063,0.8655 ± 0.0111,0.8698 ± 0.0079,0.9036 ± 0.0070
adaboost,0.8846 ± 0.0267,0.8941 ± 0.0280,0.8967 ± 0.0285,0.8952 ± 0.0244,0.9336 ± 0.0171,0.8667 ± 0.0108,0.8710 ± 0.0093,0.8903 ± 0.0130,0.8805 ± 0.0099,0.9162 ± 0.0075
svm,0.8879 ± 0.0228,0.9059 ± 0.0232,0.8887 ± 0.0288,0.8970 ± 0.0214,0.9356 ± 0.0164,0.8752 ± 0.0087,0.8881 ± 0.0098,0.8855 ± 0.0102,0.8867 ± 0.0078,0.9114 ± 0.0094
logistic_regression,0.8729 ± 0.0219,0.9307 ± 0.0167,0.8307 ± 0.0368,0.8774 ± 0.0234,0.9336 ± 0.0138,0.8717 ± 0.0086,0.9204 ± 0.0074,0.8402 ± 0.0126,0.8784 ± 0.0086,0.9156 ± 0.0077
knn,0.8593 ± 0.0199,0.9152 ± 0.0178,0.8200 ± 0.0255,0.8649 ± 0.0200,0.9056 ± 0.0250,0.8451 ± 0.0133,0.8999 ± 0.0142,0.8097 ± 0.0224,0.8522 ± 0.0138,0.8967 ± 0.0108
gaussian_nb,0.7777 ± 0.0309,0.9045 ± 0.0250,0.6660 ± 0.0556,0.7659 ± 0.0397,0.8930 ± 0.0184,0.7645 ± 0.0133,0.8857 ± 0.0096,0.6581 ± 0.0225,0.7550 ± 0.0166,0.8708 ± 0.0098
