,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8879 ± 0.0228,0.8964 ± 0.0321,0.9013 ± 0.0291,0.8984 ± 0.0204,0.8864 ± 0.0237,0.8744 ± 0.0112,0.8870 ± 0.0108,0.8852 ± 0.0122,0.8861 ± 0.0102,0.8731 ± 0.0112
random_forest,0.9370 ± 0.0137,0.9597 ± 0.0200,0.9247 ± 0.0206,0.9416 ± 0.0128,0.9776 ± 0.0057,0.9215 ± 0.0056,0.9498 ± 0.0061,0.9057 ± 0.0073,0.9272 ± 0.0053,0.9678 ± 0.0028
extra_trees,0.9319 ± 0.0125,0.9540 ± 0.0131,0.9207 ± 0.0238,0.9368 ± 0.0123,0.9786 ± 0.0056,0.9192 ± 0.0067,0.9425 ± 0.0089,0.9091 ± 0.0062,0.9255 ± 0.0061,0.9691 ± 0.0027
xgboost,0.9286 ± 0.0124,0.9493 ± 0.0244,0.9200 ± 0.0239,0.9340 ± 0.0113,0.9754 ± 0.0066,0.9140 ± 0.0056,0.9387 ± 0.0058,0.9031 ± 0.0090,0.9206 ± 0.0054,0.9666 ± 0.0033
adaboost,0.9282 ± 0.0111,0.9483 ± 0.0177,0.9200 ± 0.0237,0.9336 ± 0.0108,0.9758 ± 0.0068,0.9126 ± 0.0073,0.9381 ± 0.0070,0.9011 ± 0.0120,0.9192 ± 0.0071,0.9647 ± 0.0041
svm,0.9330 ± 0.0117,0.9610 ± 0.0114,0.9153 ± 0.0231,0.9374 ± 0.0118,0.9745 ± 0.0069,0.9193 ± 0.0049,0.9488 ± 0.0058,0.9026 ± 0.0084,0.9251 ± 0.0047,0.9627 ± 0.0042
logistic_regression,0.9073 ± 0.0154,0.9226 ± 0.0274,0.9087 ± 0.0250,0.9151 ± 0.0141,0.9547 ± 0.0135,0.8843 ± 0.0136,0.9037 ± 0.0183,0.8849 ± 0.0071,0.8941 ± 0.0118,0.9424 ± 0.0083
knn,0.8883 ± 0.0131,0.9895 ± 0.0090,0.8053 ± 0.0263,0.8877 ± 0.0150,0.9461 ± 0.0085,0.8832 ± 0.0075,0.9853 ± 0.0040,0.8003 ± 0.0133,0.8831 ± 0.0083,0.9415 ± 0.0048
gaussian_nb,0.9238 ± 0.0127,0.9528 ± 0.0163,0.9067 ± 0.0237,0.9289 ± 0.0125,0.9539 ± 0.0099,0.9134 ± 0.0055,0.9442 ± 0.0057,0.8960 ± 0.0099,0.9194 ± 0.0054,0.9414 ± 0.0045
