,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7318 ± 0.0372,0.8418 ± 0.0183,0.8198 ± 0.0525,0.8298 ± 0.0276,0.5983 ± 0.0414,0.7331 ± 0.0143,0.8440 ± 0.0129,0.8192 ± 0.0095,0.8314 ± 0.0086,0.6009 ± 0.0306
random_forest,0.8437 ± 0.0118,0.8510 ± 0.0090,0.9760 ± 0.0137,0.9091 ± 0.0070,0.8132 ± 0.0324,0.8334 ± 0.0073,0.8438 ± 0.0045,0.9726 ± 0.0048,0.9036 ± 0.0042,0.7860 ± 0.0258
extra_trees,0.8384 ± 0.0147,0.8476 ± 0.0107,0.9736 ± 0.0150,0.9061 ± 0.0086,0.8188 ± 0.0343,0.8277 ± 0.0126,0.8382 ± 0.0065,0.9733 ± 0.0091,0.9007 ± 0.0074,0.7839 ± 0.0149
xgboost,0.8291 ± 0.0159,0.8647 ± 0.0118,0.9331 ± 0.0197,0.8974 ± 0.0100,0.8222 ± 0.0290,0.8177 ± 0.0131,0.8563 ± 0.0077,0.9288 ± 0.0116,0.8911 ± 0.0080,0.7732 ± 0.0283
adaboost,0.8026 ± 0.0333,0.8574 ± 0.0190,0.9041 ± 0.0262,0.8801 ± 0.0206,0.7717 ± 0.0345,0.7914 ± 0.0119,0.8477 ± 0.0082,0.9025 ± 0.0119,0.8742 ± 0.0074,0.7389 ± 0.0255
svm,0.8404 ± 0.0199,0.8431 ± 0.0153,0.9843 ± 0.0153,0.9082 ± 0.0111,0.7786 ± 0.0318,0.8206 ± 0.0128,0.8277 ± 0.0102,0.9808 ± 0.0083,0.8977 ± 0.0069,0.7408 ± 0.0348
logistic_regression,0.7430 ± 0.0253,0.8839 ± 0.0187,0.7826 ± 0.0344,0.8297 ± 0.0190,0.7544 ± 0.0327,0.7406 ± 0.0279,0.8772 ± 0.0133,0.7868 ± 0.0268,0.8295 ± 0.0199,0.7332 ± 0.0326
knn,0.7530 ± 0.0460,0.8744 ± 0.0297,0.8083 ± 0.0452,0.8395 ± 0.0316,0.7402 ± 0.0588,0.7566 ± 0.0181,0.8674 ± 0.0084,0.8228 ± 0.0279,0.8442 ± 0.0144,0.7185 ± 0.0226
gaussian_nb,0.5603 ± 0.0800,0.8845 ± 0.0209,0.5190 ± 0.1123,0.6480 ± 0.0871,0.7132 ± 0.0335,0.5611 ± 0.0498,0.8942 ± 0.0193,0.5164 ± 0.0831,0.6502 ± 0.0624,0.7032 ± 0.0158
