,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8883 ± 0.0250,0.8985 ± 0.0324,0.8993 ± 0.0318,0.8984 ± 0.0227,0.8871 ± 0.0256,0.8736 ± 0.0111,0.8864 ± 0.0110,0.8843 ± 0.0116,0.8853 ± 0.0101,0.8723 ± 0.0113
random_forest,0.9355 ± 0.0119,0.9596 ± 0.0193,0.9220 ± 0.0189,0.9402 ± 0.0111,0.9776 ± 0.0052,0.9215 ± 0.0056,0.9498 ± 0.0058,0.9057 ± 0.0074,0.9272 ± 0.0053,0.9678 ± 0.0028
extra_trees,0.9319 ± 0.0125,0.9540 ± 0.0131,0.9207 ± 0.0238,0.9368 ± 0.0123,0.9786 ± 0.0056,0.9192 ± 0.0067,0.9425 ± 0.0089,0.9091 ± 0.0062,0.9255 ± 0.0061,0.9691 ± 0.0027
xgboost,0.9286 ± 0.0124,0.9487 ± 0.0247,0.9207 ± 0.0248,0.9340 ± 0.0114,0.9754 ± 0.0066,0.9140 ± 0.0056,0.9387 ± 0.0058,0.9031 ± 0.0090,0.9206 ± 0.0054,0.9665 ± 0.0033
adaboost,0.9282 ± 0.0111,0.9483 ± 0.0177,0.9200 ± 0.0237,0.9336 ± 0.0108,0.9758 ± 0.0068,0.9126 ± 0.0073,0.9381 ± 0.0070,0.9011 ± 0.0120,0.9192 ± 0.0071,0.9647 ± 0.0041
svm,0.9352 ± 0.0123,0.9703 ± 0.0114,0.9100 ± 0.0216,0.9390 ± 0.0123,0.9764 ± 0.0066,0.9219 ± 0.0053,0.9558 ± 0.0050,0.9000 ± 0.0075,0.9271 ± 0.0051,0.9661 ± 0.0039
logistic_regression,0.9311 ± 0.0124,0.9604 ± 0.0163,0.9127 ± 0.0230,0.9357 ± 0.0122,0.9744 ± 0.0073,0.9143 ± 0.0075,0.9457 ± 0.0097,0.8963 ± 0.0089,0.9203 ± 0.0069,0.9656 ± 0.0043
knn,0.9128 ± 0.0185,0.9906 ± 0.0071,0.8493 ± 0.0316,0.9143 ± 0.0198,0.9584 ± 0.0078,0.8984 ± 0.0077,0.9818 ± 0.0048,0.8313 ± 0.0124,0.9003 ± 0.0081,0.9483 ± 0.0045
gaussian_nb,0.9238 ± 0.0122,0.9502 ± 0.0154,0.9093 ± 0.0218,0.9291 ± 0.0119,0.9528 ± 0.0099,0.9123 ± 0.0046,0.9398 ± 0.0047,0.8986 ± 0.0088,0.9187 ± 0.0045,0.9402 ± 0.0041
