,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.5454 ± 0.0412,0.5903 ± 0.0413,0.5680 ± 0.0533,0.5780 ± 0.0417,0.5369 ± 0.0393,0.5476 ± 0.0222,0.5920 ± 0.0205,0.5806 ± 0.0280,0.5861 ± 0.0220,0.5368 ± 0.0226
random_forest,0.5853 ± 0.0276,0.6084 ± 0.0240,0.6907 ± 0.0315,0.6466 ± 0.0233,0.6054 ± 0.0281,0.5720 ± 0.0177,0.5971 ± 0.0145,0.6906 ± 0.0211,0.6404 ± 0.0154,0.5917 ± 0.0218
extra_trees,0.5740 ± 0.0213,0.6002 ± 0.0173,0.6740 ± 0.0426,0.6344 ± 0.0236,0.5980 ± 0.0210,0.5739 ± 0.0225,0.6015 ± 0.0181,0.6755 ± 0.0246,0.6363 ± 0.0199,0.5844 ± 0.0275
xgboost,0.5722 ± 0.0243,0.6045 ± 0.0232,0.6427 ± 0.0263,0.6227 ± 0.0202,0.5849 ± 0.0311,0.5645 ± 0.0267,0.6003 ± 0.0223,0.6305 ± 0.0309,0.6149 ± 0.0253,0.5809 ± 0.0285
adaboost,0.6022 ± 0.0249,0.6270 ± 0.0286,0.6887 ± 0.0631,0.6545 ± 0.0284,0.6360 ± 0.0243,0.5986 ± 0.0136,0.6208 ± 0.0131,0.7017 ± 0.0114,0.6587 ± 0.0095,0.6314 ± 0.0202
svm,0.5897 ± 0.0198,0.6192 ± 0.0154,0.6587 ± 0.0510,0.6375 ± 0.0269,0.6221 ± 0.0311,0.5813 ± 0.0161,0.6132 ± 0.0128,0.6538 ± 0.0330,0.6325 ± 0.0193,0.6029 ± 0.0208
logistic_regression,0.5729 ± 0.0275,0.6349 ± 0.0226,0.5213 ± 0.0532,0.5718 ± 0.0390,0.6142 ± 0.0343,0.5764 ± 0.0116,0.6405 ± 0.0139,0.5302 ± 0.0093,0.5801 ± 0.0103,0.6182 ± 0.0198
knn,0.5579 ± 0.0342,0.6000 ± 0.0331,0.5867 ± 0.0458,0.5927 ± 0.0360,0.5711 ± 0.0311,0.5472 ± 0.0182,0.5905 ± 0.0163,0.5855 ± 0.0220,0.5879 ± 0.0181,0.5617 ± 0.0186
gaussian_nb,0.5048 ± 0.0263,0.7311 ± 0.0555,0.1560 ± 0.0700,0.2507 ± 0.0927,0.6202 ± 0.0304,0.4976 ± 0.0194,0.6875 ± 0.0290,0.1618 ± 0.0511,0.2590 ± 0.0661,0.6011 ± 0.0149
