,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8853 ± 0.0127,0.9005 ± 0.0226,0.8907 ± 0.0271,0.8951 ± 0.0118,0.8779 ± 0.0144,0.8764 ± 0.0106,0.8933 ± 0.0115,0.8815 ± 0.0131,0.8873 ± 0.0098,0.8695 ± 0.0102
random_forest,0.9319 ± 0.0129,0.9553 ± 0.0166,0.9193 ± 0.0225,0.9368 ± 0.0124,0.9774 ± 0.0069,0.9214 ± 0.0073,0.9517 ± 0.0059,0.9034 ± 0.0095,0.9269 ± 0.0069,0.9686 ± 0.0031
extra_trees,0.9289 ± 0.0138,0.9470 ± 0.0177,0.9227 ± 0.0223,0.9345 ± 0.0131,0.9776 ± 0.0063,0.9181 ± 0.0049,0.9439 ± 0.0026,0.9054 ± 0.0099,0.9242 ± 0.0049,0.9684 ± 0.0031
xgboost,0.9205 ± 0.0115,0.9312 ± 0.0173,0.9240 ± 0.0199,0.9274 ± 0.0106,0.9685 ± 0.0088,0.9107 ± 0.0096,0.9345 ± 0.0114,0.9014 ± 0.0088,0.9176 ± 0.0088,0.9569 ± 0.0051
adaboost,0.9165 ± 0.0130,0.9270 ± 0.0241,0.9213 ± 0.0193,0.9238 ± 0.0114,0.9691 ± 0.0073,0.9086 ± 0.0060,0.9309 ± 0.0085,0.9014 ± 0.0056,0.9159 ± 0.0053,0.9595 ± 0.0044
svm,0.9366 ± 0.0146,0.9711 ± 0.0149,0.9120 ± 0.0220,0.9405 ± 0.0142,0.9762 ± 0.0066,0.9211 ± 0.0065,0.9586 ± 0.0071,0.8957 ± 0.0079,0.9261 ± 0.0062,0.9657 ± 0.0040
logistic_regression,0.9315 ± 0.0099,0.9648 ± 0.0117,0.9087 ± 0.0172,0.9358 ± 0.0097,0.9758 ± 0.0065,0.9219 ± 0.0083,0.9617 ± 0.0073,0.8940 ± 0.0098,0.9266 ± 0.0079,0.9663 ± 0.0045
knn,0.9084 ± 0.0138,0.9936 ± 0.0063,0.8387 ± 0.0222,0.9095 ± 0.0147,0.9526 ± 0.0119,0.8972 ± 0.0065,0.9911 ± 0.0046,0.8211 ± 0.0097,0.8981 ± 0.0068,0.9420 ± 0.0077
gaussian_nb,0.9293 ± 0.0079,0.9583 ± 0.0128,0.9113 ± 0.0218,0.9340 ± 0.0083,0.9582 ± 0.0085,0.9160 ± 0.0051,0.9518 ± 0.0084,0.8932 ± 0.0081,0.9215 ± 0.0048,0.9468 ± 0.0037
