,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7285 ± 0.0390,0.8422 ± 0.0264,0.8140 ± 0.0370,0.8275 ± 0.0262,0.5987 ± 0.0611,0.7137 ± 0.0253,0.8307 ± 0.0145,0.8082 ± 0.0260,0.8191 ± 0.0174,0.5686 ± 0.0353
random_forest,0.8285 ± 0.0085,0.8347 ± 0.0053,0.9802 ± 0.0105,0.9015 ± 0.0051,0.8271 ± 0.0264,0.8249 ± 0.0073,0.8340 ± 0.0054,0.9762 ± 0.0045,0.8995 ± 0.0040,0.7811 ± 0.0222
extra_trees,0.8311 ± 0.0109,0.8361 ± 0.0078,0.9818 ± 0.0102,0.9031 ± 0.0063,0.8264 ± 0.0253,0.8186 ± 0.0110,0.8265 ± 0.0072,0.9797 ± 0.0050,0.8966 ± 0.0060,0.7701 ± 0.0213
xgboost,0.8331 ± 0.0098,0.8642 ± 0.0096,0.9397 ± 0.0187,0.9002 ± 0.0066,0.8179 ± 0.0311,0.8074 ± 0.0179,0.8474 ± 0.0088,0.9270 ± 0.0157,0.8854 ± 0.0111,0.7600 ± 0.0292
adaboost,0.8232 ± 0.0230,0.8594 ± 0.0143,0.9322 ± 0.0296,0.8940 ± 0.0148,0.7911 ± 0.0272,0.7980 ± 0.0133,0.8420 ± 0.0073,0.9214 ± 0.0130,0.8798 ± 0.0082,0.7430 ± 0.0239
svm,0.8166 ± 0.0083,0.8181 ± 0.0091,0.9917 ± 0.0087,0.8965 ± 0.0042,0.8058 ± 0.0346,0.8129 ± 0.0105,0.8136 ± 0.0091,0.9950 ± 0.0038,0.8952 ± 0.0053,0.7527 ± 0.0294
logistic_regression,0.7397 ± 0.0296,0.9013 ± 0.0172,0.7587 ± 0.0419,0.8232 ± 0.0239,0.7880 ± 0.0305,0.7229 ± 0.0285,0.8815 ± 0.0127,0.7562 ± 0.0275,0.8140 ± 0.0211,0.7494 ± 0.0284
knn,0.6987 ± 0.0320,0.8985 ± 0.0259,0.7050 ± 0.0507,0.7886 ± 0.0287,0.7336 ± 0.0393,0.6914 ± 0.0327,0.8926 ± 0.0093,0.7000 ± 0.0455,0.7839 ± 0.0290,0.7235 ± 0.0193
gaussian_nb,0.6139 ± 0.1049,0.8915 ± 0.0174,0.5909 ± 0.1504,0.7002 ± 0.1110,0.7301 ± 0.0308,0.5994 ± 0.0778,0.8948 ± 0.0130,0.5694 ± 0.1171,0.6888 ± 0.0872,0.7022 ± 0.0162
