,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7338 ± 0.0333,0.8556 ± 0.0242,0.8041 ± 0.0374,0.8285 ± 0.0231,0.6271 ± 0.0536,0.7437 ± 0.0221,0.8491 ± 0.0134,0.8281 ± 0.0231,0.8383 ± 0.0151,0.6141 ± 0.0323
random_forest,0.8603 ± 0.0157,0.8613 ± 0.0128,0.9843 ± 0.0099,0.9187 ± 0.0088,0.8266 ± 0.0287,0.8406 ± 0.0090,0.8493 ± 0.0058,0.9744 ± 0.0080,0.9075 ± 0.0053,0.7886 ± 0.0224
extra_trees,0.8497 ± 0.0179,0.8540 ± 0.0145,0.9802 ± 0.0089,0.9127 ± 0.0099,0.8315 ± 0.0338,0.8360 ± 0.0066,0.8462 ± 0.0047,0.9726 ± 0.0065,0.9050 ± 0.0039,0.7808 ± 0.0159
xgboost,0.8364 ± 0.0147,0.8687 ± 0.0110,0.9380 ± 0.0241,0.9018 ± 0.0098,0.8106 ± 0.0357,0.8094 ± 0.0168,0.8510 ± 0.0086,0.9246 ± 0.0139,0.8862 ± 0.0103,0.7408 ± 0.0258
adaboost,0.8185 ± 0.0212,0.8635 ± 0.0114,0.9190 ± 0.0280,0.8902 ± 0.0140,0.7668 ± 0.0398,0.7877 ± 0.0176,0.8449 ± 0.0122,0.9011 ± 0.0104,0.8721 ± 0.0103,0.7186 ± 0.0337
svm,0.8437 ± 0.0163,0.8471 ± 0.0139,0.9826 ± 0.0132,0.9097 ± 0.0090,0.7791 ± 0.0410,0.8257 ± 0.0105,0.8336 ± 0.0085,0.9783 ± 0.0074,0.9001 ± 0.0057,0.7321 ± 0.0307
logistic_regression,0.7384 ± 0.0314,0.8858 ± 0.0201,0.7736 ± 0.0349,0.8255 ± 0.0231,0.7705 ± 0.0394,0.7131 ± 0.0260,0.8675 ± 0.0112,0.7584 ± 0.0277,0.8091 ± 0.0195,0.7278 ± 0.0314
knn,0.7841 ± 0.0313,0.8798 ± 0.0168,0.8463 ± 0.0349,0.8624 ± 0.0216,0.7512 ± 0.0463,0.7843 ± 0.0145,0.8720 ± 0.0106,0.8573 ± 0.0156,0.8645 ± 0.0096,0.7421 ± 0.0288
gaussian_nb,0.5715 ± 0.0844,0.8935 ± 0.0212,0.5289 ± 0.1200,0.6571 ± 0.0946,0.7318 ± 0.0447,0.5734 ± 0.0491,0.8946 ± 0.0155,0.5320 ± 0.0736,0.6643 ± 0.0560,0.7134 ± 0.0128
