,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6901 ± 0.0339,0.8280 ± 0.0204,0.7744 ± 0.0405,0.7998 ± 0.0251,0.5571 ± 0.0440,0.7046 ± 0.0273,0.8327 ± 0.0119,0.7907 ± 0.0275,0.8111 ± 0.0194,0.5682 ± 0.0327
random_forest,0.7967 ± 0.0232,0.8280 ± 0.0109,0.9421 ± 0.0292,0.8812 ± 0.0148,0.6616 ± 0.0482,0.7937 ± 0.0117,0.8249 ± 0.0070,0.9434 ± 0.0118,0.8801 ± 0.0071,0.6165 ± 0.0410
extra_trees,0.7934 ± 0.0204,0.8269 ± 0.0118,0.9388 ± 0.0211,0.8792 ± 0.0125,0.6100 ± 0.0545,0.7889 ± 0.0096,0.8225 ± 0.0070,0.9399 ± 0.0093,0.8773 ± 0.0056,0.5760 ± 0.0442
xgboost,0.7768 ± 0.0198,0.8316 ± 0.0130,0.9050 ± 0.0180,0.8666 ± 0.0121,0.6507 ± 0.0560,0.7680 ± 0.0166,0.8261 ± 0.0099,0.9007 ± 0.0139,0.8617 ± 0.0101,0.6125 ± 0.0507
adaboost,0.8093 ± 0.0162,0.8258 ± 0.0135,0.9661 ± 0.0163,0.8903 ± 0.0091,0.6675 ± 0.0445,0.7974 ± 0.0107,0.8177 ± 0.0112,0.9626 ± 0.0095,0.8842 ± 0.0054,0.6542 ± 0.0315
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5259 ± 0.1099,0.8020 ± 0.0027,0.8027 ± 0.0005,0.9989 ± 0.0034,0.8901 ± 0.0017,0.4985 ± 0.0509
logistic_regression,0.6066 ± 0.0353,0.8822 ± 0.0275,0.5884 ± 0.0486,0.7047 ± 0.0356,0.6852 ± 0.0493,0.6077 ± 0.0241,0.8613 ± 0.0180,0.6096 ± 0.0235,0.7137 ± 0.0201,0.6534 ± 0.0285
knn,0.7868 ± 0.0245,0.8382 ± 0.0157,0.9099 ± 0.0325,0.8723 ± 0.0159,0.6394 ± 0.0226,0.7683 ± 0.0174,0.8276 ± 0.0124,0.8989 ± 0.0199,0.8616 ± 0.0110,0.5913 ± 0.0356
gaussian_nb,0.5199 ± 0.0625,0.8735 ± 0.0338,0.4678 ± 0.0760,0.6066 ± 0.0695,0.6677 ± 0.0450,0.5357 ± 0.0398,0.8920 ± 0.0155,0.4804 ± 0.0593,0.6223 ± 0.0493,0.6604 ± 0.0261
