,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8729 ± 0.0146,0.8914 ± 0.0217,0.8760 ± 0.0186,0.8834 ± 0.0128,0.8726 ± 0.0154,0.8621 ± 0.0106,0.8786 ± 0.0149,0.8707 ± 0.0117,0.8745 ± 0.0093,0.8611 ± 0.0113
random_forest,0.9326 ± 0.0117,0.9509 ± 0.0124,0.9253 ± 0.0203,0.9378 ± 0.0114,0.9772 ± 0.0063,0.9193 ± 0.0052,0.9355 ± 0.0051,0.9171 ± 0.0073,0.9262 ± 0.0049,0.9679 ± 0.0030
extra_trees,0.9289 ± 0.0115,0.9441 ± 0.0181,0.9260 ± 0.0202,0.9347 ± 0.0108,0.9765 ± 0.0074,0.9206 ± 0.0054,0.9364 ± 0.0057,0.9185 ± 0.0067,0.9274 ± 0.0049,0.9684 ± 0.0036
xgboost,0.9286 ± 0.0095,0.9446 ± 0.0144,0.9247 ± 0.0222,0.9342 ± 0.0094,0.9739 ± 0.0071,0.9173 ± 0.0084,0.9402 ± 0.0105,0.9080 ± 0.0081,0.9238 ± 0.0076,0.9656 ± 0.0027
adaboost,0.9227 ± 0.0146,0.9457 ± 0.0181,0.9120 ± 0.0191,0.9284 ± 0.0136,0.9725 ± 0.0057,0.9138 ± 0.0072,0.9379 ± 0.0072,0.9037 ± 0.0088,0.9205 ± 0.0068,0.9650 ± 0.0040
svm,0.9168 ± 0.0140,0.9361 ± 0.0169,0.9113 ± 0.0255,0.9232 ± 0.0137,0.9715 ± 0.0074,0.8998 ± 0.0085,0.9195 ± 0.0086,0.8972 ± 0.0120,0.9081 ± 0.0080,0.9604 ± 0.0039
logistic_regression,0.8963 ± 0.0133,0.9227 ± 0.0197,0.8860 ± 0.0168,0.9038 ± 0.0122,0.9451 ± 0.0071,0.8899 ± 0.0069,0.9147 ± 0.0067,0.8829 ± 0.0095,0.8985 ± 0.0066,0.9465 ± 0.0075
knn,0.5923 ± 0.0198,0.9810 ± 0.0248,0.2633 ± 0.0367,0.4139 ± 0.0456,0.7667 ± 0.0254,0.5885 ± 0.0124,0.9838 ± 0.0119,0.2587 ± 0.0224,0.4092 ± 0.0284,0.7557 ± 0.0128
gaussian_nb,0.9183 ± 0.0096,0.9417 ± 0.0157,0.9080 ± 0.0228,0.9243 ± 0.0096,0.9515 ± 0.0098,0.9053 ± 0.0064,0.9292 ± 0.0082,0.8969 ± 0.0075,0.9127 ± 0.0059,0.9372 ± 0.0066
