,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6914 ± 0.0353,0.8283 ± 0.0205,0.7760 ± 0.0422,0.8008 ± 0.0262,0.5581 ± 0.0449,0.7046 ± 0.0280,0.8324 ± 0.0127,0.7911 ± 0.0276,0.8111 ± 0.0197,0.5681 ± 0.0338
random_forest,0.7960 ± 0.0243,0.8274 ± 0.0113,0.9421 ± 0.0292,0.8808 ± 0.0155,0.6628 ± 0.0493,0.7943 ± 0.0131,0.8250 ± 0.0072,0.9441 ± 0.0131,0.8805 ± 0.0080,0.6168 ± 0.0412
extra_trees,0.7934 ± 0.0204,0.8269 ± 0.0118,0.9388 ± 0.0211,0.8792 ± 0.0125,0.6099 ± 0.0546,0.7889 ± 0.0096,0.8225 ± 0.0070,0.9399 ± 0.0093,0.8773 ± 0.0056,0.5760 ± 0.0442
xgboost,0.7768 ± 0.0198,0.8316 ± 0.0130,0.9050 ± 0.0180,0.8666 ± 0.0121,0.6507 ± 0.0560,0.7680 ± 0.0166,0.8261 ± 0.0099,0.9007 ± 0.0139,0.8617 ± 0.0101,0.6125 ± 0.0507
adaboost,0.8093 ± 0.0162,0.8258 ± 0.0135,0.9661 ± 0.0163,0.8903 ± 0.0091,0.6675 ± 0.0445,0.7974 ± 0.0107,0.8177 ± 0.0112,0.9626 ± 0.0095,0.8842 ± 0.0054,0.6542 ± 0.0315
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.4926 ± 0.1068,0.8020 ± 0.0027,0.8027 ± 0.0005,0.9989 ± 0.0034,0.8901 ± 0.0017,0.4991 ± 0.0438
logistic_regression,0.6106 ± 0.0294,0.8649 ± 0.0238,0.6107 ± 0.0512,0.7143 ± 0.0319,0.6514 ± 0.0356,0.6131 ± 0.0178,0.8490 ± 0.0105,0.6302 ± 0.0215,0.7233 ± 0.0159,0.6287 ± 0.0291
knn,0.7735 ± 0.0293,0.8315 ± 0.0173,0.9000 ± 0.0322,0.8641 ± 0.0190,0.6301 ± 0.0441,0.7657 ± 0.0169,0.8258 ± 0.0117,0.8979 ± 0.0207,0.8602 ± 0.0107,0.5867 ± 0.0250
gaussian_nb,0.5179 ± 0.0646,0.8727 ± 0.0344,0.4653 ± 0.0786,0.6041 ± 0.0722,0.6673 ± 0.0444,0.5331 ± 0.0430,0.8913 ± 0.0152,0.4772 ± 0.0633,0.6191 ± 0.0534,0.6608 ± 0.0264
