,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6854 ± 0.0236,0.8252 ± 0.0160,0.7711 ± 0.0289,0.7969 ± 0.0175,0.5460 ± 0.0369,0.6840 ± 0.0277,0.8211 ± 0.0122,0.7751 ± 0.0290,0.7973 ± 0.0201,0.5364 ± 0.0279
random_forest,0.7974 ± 0.0320,0.8290 ± 0.0154,0.9413 ± 0.0298,0.8814 ± 0.0198,0.6459 ± 0.0467,0.7997 ± 0.0112,0.8281 ± 0.0079,0.9473 ± 0.0111,0.8836 ± 0.0066,0.6139 ± 0.0351
extra_trees,0.7848 ± 0.0228,0.8253 ± 0.0154,0.9281 ± 0.0135,0.8736 ± 0.0130,0.6089 ± 0.0575,0.7854 ± 0.0130,0.8237 ± 0.0068,0.9324 ± 0.0135,0.8746 ± 0.0080,0.5817 ± 0.0417
xgboost,0.7556 ± 0.0222,0.8251 ± 0.0173,0.8826 ± 0.0236,0.8526 ± 0.0137,0.6301 ± 0.0571,0.7674 ± 0.0155,0.8265 ± 0.0115,0.8993 ± 0.0111,0.8613 ± 0.0090,0.6039 ± 0.0368
adaboost,0.8040 ± 0.0166,0.8190 ± 0.0144,0.9702 ± 0.0211,0.8880 ± 0.0095,0.6379 ± 0.0488,0.8009 ± 0.0066,0.8198 ± 0.0076,0.9641 ± 0.0142,0.8860 ± 0.0042,0.6495 ± 0.0275
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5394 ± 0.1108,0.8023 ± 0.0018,0.8027 ± 0.0004,0.9993 ± 0.0023,0.8903 ± 0.0011,0.5302 ± 0.0631
logistic_regression,0.6179 ± 0.0360,0.8738 ± 0.0229,0.6124 ± 0.0550,0.7185 ± 0.0365,0.6803 ± 0.0443,0.6163 ± 0.0257,0.8644 ± 0.0154,0.6192 ± 0.0304,0.7212 ± 0.0228,0.6563 ± 0.0301
knn,0.7815 ± 0.0221,0.8236 ± 0.0109,0.9256 ± 0.0258,0.8715 ± 0.0140,0.6130 ± 0.0332,0.7743 ± 0.0092,0.8254 ± 0.0107,0.9121 ± 0.0167,0.8664 ± 0.0057,0.5828 ± 0.0380
gaussian_nb,0.4616 ± 0.0359,0.8726 ± 0.0315,0.3843 ± 0.0441,0.5324 ± 0.0441,0.6664 ± 0.0431,0.4791 ± 0.0272,0.8896 ± 0.0161,0.4007 ± 0.0322,0.5520 ± 0.0323,0.6632 ± 0.0219
