,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.5330 ± 0.0319,0.5761 ± 0.0287,0.5680 ± 0.0462,0.5715 ± 0.0339,0.5233 ± 0.0342,0.5297 ± 0.0205,0.5751 ± 0.0179,0.5647 ± 0.0333,0.5696 ± 0.0242,0.5190 ± 0.0212
random_forest,0.6018 ± 0.0271,0.6141 ± 0.0199,0.7413 ± 0.0369,0.6715 ± 0.0243,0.6208 ± 0.0333,0.5813 ± 0.0183,0.6004 ± 0.0134,0.7214 ± 0.0260,0.6552 ± 0.0169,0.5919 ± 0.0217
extra_trees,0.5861 ± 0.0246,0.6031 ± 0.0196,0.7233 ± 0.0318,0.6575 ± 0.0206,0.6113 ± 0.0358,0.5761 ± 0.0219,0.6002 ± 0.0168,0.6943 ± 0.0248,0.6438 ± 0.0194,0.5869 ± 0.0235
xgboost,0.5652 ± 0.0255,0.5966 ± 0.0216,0.6447 ± 0.0316,0.6195 ± 0.0238,0.5885 ± 0.0302,0.5695 ± 0.0255,0.6048 ± 0.0214,0.6339 ± 0.0291,0.6190 ± 0.0244,0.5796 ± 0.0252
adaboost,0.6154 ± 0.0186,0.6369 ± 0.0145,0.6987 ± 0.0441,0.6657 ± 0.0226,0.6578 ± 0.0227,0.6104 ± 0.0137,0.6368 ± 0.0124,0.6846 ± 0.0170,0.6598 ± 0.0121,0.6422 ± 0.0163
svm,0.6161 ± 0.0271,0.6477 ± 0.0246,0.6627 ± 0.0440,0.6544 ± 0.0273,0.6567 ± 0.0261,0.6060 ± 0.0143,0.6401 ± 0.0142,0.6541 ± 0.0233,0.6468 ± 0.0142,0.6271 ± 0.0189
logistic_regression,0.5989 ± 0.0238,0.6723 ± 0.0229,0.5260 ± 0.0394,0.5898 ± 0.0317,0.6403 ± 0.0239,0.5914 ± 0.0145,0.6630 ± 0.0155,0.5276 ± 0.0178,0.5876 ± 0.0163,0.6212 ± 0.0181
knn,0.5634 ± 0.0190,0.6132 ± 0.0173,0.5560 ± 0.0392,0.5827 ± 0.0262,0.5831 ± 0.0267,0.5519 ± 0.0206,0.6034 ± 0.0225,0.5507 ± 0.0248,0.5755 ± 0.0193,0.5690 ± 0.0187
gaussian_nb,0.5593 ± 0.0264,0.6632 ± 0.0312,0.4013 ± 0.0508,0.4988 ± 0.0449,0.6190 ± 0.0337,0.5577 ± 0.0131,0.6627 ± 0.0176,0.4043 ± 0.0203,0.5020 ± 0.0193,0.6038 ± 0.0159
