,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7662 ± 0.0279,0.8596 ± 0.0161,0.8471 ± 0.0392,0.8528 ± 0.0203,0.6436 ± 0.0367,0.7400 ± 0.0231,0.8454 ± 0.0100,0.8274 ± 0.0258,0.8362 ± 0.0161,0.6057 ± 0.0252
random_forest,0.8477 ± 0.0132,0.8577 ± 0.0077,0.9711 ± 0.0152,0.9108 ± 0.0081,0.8318 ± 0.0263,0.8374 ± 0.0115,0.8505 ± 0.0079,0.9676 ± 0.0064,0.9053 ± 0.0066,0.7896 ± 0.0199
extra_trees,0.8377 ± 0.0133,0.8531 ± 0.0109,0.9636 ± 0.0105,0.9049 ± 0.0076,0.8397 ± 0.0235,0.8266 ± 0.0138,0.8410 ± 0.0092,0.9669 ± 0.0092,0.8995 ± 0.0079,0.7934 ± 0.0175
xgboost,0.8325 ± 0.0187,0.8719 ± 0.0126,0.9273 ± 0.0182,0.8986 ± 0.0117,0.8247 ± 0.0169,0.7974 ± 0.0213,0.8484 ± 0.0121,0.9103 ± 0.0162,0.8783 ± 0.0130,0.7524 ± 0.0240
adaboost,0.8139 ± 0.0299,0.8633 ± 0.0196,0.9124 ± 0.0203,0.8871 ± 0.0180,0.7842 ± 0.0394,0.8049 ± 0.0166,0.8535 ± 0.0105,0.9139 ± 0.0159,0.8826 ± 0.0103,0.7501 ± 0.0226
svm,0.8470 ± 0.0096,0.8566 ± 0.0057,0.9719 ± 0.0118,0.9105 ± 0.0059,0.7870 ± 0.0269,0.8289 ± 0.0172,0.8419 ± 0.0165,0.9694 ± 0.0054,0.9010 ± 0.0087,0.7446 ± 0.0276
logistic_regression,0.7417 ± 0.0250,0.8852 ± 0.0198,0.7793 ± 0.0357,0.8283 ± 0.0195,0.7215 ± 0.0365,0.7189 ± 0.0283,0.8653 ± 0.0147,0.7694 ± 0.0245,0.8145 ± 0.0200,0.6932 ± 0.0390
knn,0.7854 ± 0.0265,0.8836 ± 0.0198,0.8438 ± 0.0274,0.8630 ± 0.0177,0.7527 ± 0.0303,0.7611 ± 0.0126,0.8621 ± 0.0078,0.8363 ± 0.0134,0.8490 ± 0.0085,0.7148 ± 0.0149
gaussian_nb,0.5152 ± 0.1047,0.9144 ± 0.0265,0.4372 ± 0.1470,0.5776 ± 0.1358,0.7652 ± 0.0416,0.5214 ± 0.0829,0.9086 ± 0.0146,0.4498 ± 0.1175,0.5933 ± 0.1036,0.7281 ± 0.0144
