,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6709 ± 0.0345,0.8060 ± 0.0151,0.7760 ± 0.0452,0.7902 ± 0.0268,0.5124 ± 0.0374,0.6777 ± 0.0321,0.8129 ± 0.0198,0.7776 ± 0.0266,0.7947 ± 0.0215,0.5242 ± 0.0479
random_forest,0.7914 ± 0.0078,0.8055 ± 0.0058,0.9752 ± 0.0103,0.8822 ± 0.0046,0.5608 ± 0.0416,0.7883 ± 0.0079,0.8060 ± 0.0052,0.9698 ± 0.0072,0.8803 ± 0.0045,0.5672 ± 0.0278
extra_trees,0.7854 ± 0.0163,0.8098 ± 0.0086,0.9570 ± 0.0173,0.8772 ± 0.0098,0.5620 ± 0.0682,0.7800 ± 0.0145,0.8068 ± 0.0060,0.9544 ± 0.0145,0.8744 ± 0.0088,0.5525 ± 0.0372
xgboost,0.7543 ± 0.0178,0.8064 ± 0.0045,0.9124 ± 0.0276,0.8560 ± 0.0126,0.5551 ± 0.0349,0.7531 ± 0.0124,0.8087 ± 0.0070,0.9071 ± 0.0114,0.8551 ± 0.0075,0.5533 ± 0.0326
adaboost,0.7934 ± 0.0142,0.8001 ± 0.0018,0.9893 ± 0.0203,0.8846 ± 0.0093,0.5206 ± 0.0395,0.7977 ± 0.0055,0.8018 ± 0.0011,0.9936 ± 0.0069,0.8875 ± 0.0034,0.5215 ± 0.0521
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.4907 ± 0.0560,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.4958 ± 0.0507
logistic_regression,0.5483 ± 0.0499,0.8096 ± 0.0233,0.5694 ± 0.0588,0.6676 ± 0.0466,0.5488 ± 0.0483,0.5511 ± 0.0293,0.8095 ± 0.0215,0.5765 ± 0.0258,0.6733 ± 0.0235,0.5239 ± 0.0420
knn,0.7623 ± 0.0226,0.8050 ± 0.0089,0.9281 ± 0.0270,0.8620 ± 0.0147,0.5165 ± 0.0511,0.7526 ± 0.0144,0.8040 ± 0.0083,0.9149 ± 0.0150,0.8558 ± 0.0088,0.5176 ± 0.0312
gaussian_nb,0.6649 ± 0.1348,0.8090 ± 0.0122,0.7636 ± 0.2264,0.7678 ± 0.1318,0.5573 ± 0.0440,0.6491 ± 0.0959,0.8195 ± 0.0263,0.7302 ± 0.1800,0.7581 ± 0.1023,0.5603 ± 0.0337
