,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7430 ± 0.0481,0.8564 ± 0.0323,0.8174 ± 0.0567,0.8353 ± 0.0342,0.6303 ± 0.0705,0.7229 ± 0.0200,0.8342 ± 0.0145,0.8174 ± 0.0172,0.8256 ± 0.0127,0.5776 ± 0.0354
random_forest,0.8404 ± 0.0169,0.8479 ± 0.0124,0.9760 ± 0.0113,0.9074 ± 0.0096,0.8379 ± 0.0254,0.8269 ± 0.0061,0.8400 ± 0.0054,0.9690 ± 0.0065,0.8999 ± 0.0034,0.7862 ± 0.0220
extra_trees,0.8444 ± 0.0137,0.8476 ± 0.0104,0.9826 ± 0.0106,0.9101 ± 0.0077,0.8464 ± 0.0208,0.8254 ± 0.0065,0.8356 ± 0.0060,0.9744 ± 0.0037,0.8996 ± 0.0034,0.7777 ± 0.0223
xgboost,0.8212 ± 0.0209,0.8584 ± 0.0144,0.9306 ± 0.0171,0.8929 ± 0.0126,0.8004 ± 0.0217,0.8009 ± 0.0170,0.8432 ± 0.0102,0.9238 ± 0.0115,0.8816 ± 0.0101,0.7577 ± 0.0347
adaboost,0.8245 ± 0.0177,0.8569 ± 0.0157,0.9380 ± 0.0184,0.8955 ± 0.0104,0.7944 ± 0.0324,0.7954 ± 0.0158,0.8409 ± 0.0102,0.9192 ± 0.0140,0.8783 ± 0.0096,0.7491 ± 0.0299
svm,0.8166 ± 0.0129,0.8211 ± 0.0165,0.9868 ± 0.0136,0.8961 ± 0.0059,0.8156 ± 0.0282,0.8049 ± 0.0103,0.8122 ± 0.0126,0.9851 ± 0.0111,0.8902 ± 0.0049,0.7499 ± 0.0344
logistic_regression,0.7483 ± 0.0261,0.9132 ± 0.0208,0.7587 ± 0.0352,0.8282 ± 0.0206,0.8087 ± 0.0248,0.7209 ± 0.0225,0.9007 ± 0.0084,0.7331 ± 0.0263,0.8081 ± 0.0177,0.7604 ± 0.0237
knn,0.7371 ± 0.0303,0.9042 ± 0.0191,0.7521 ± 0.0397,0.8205 ± 0.0237,0.7693 ± 0.0378,0.7311 ± 0.0166,0.8817 ± 0.0111,0.7683 ± 0.0193,0.8210 ± 0.0124,0.7292 ± 0.0159
gaussian_nb,0.5907 ± 0.1665,0.9155 ± 0.0167,0.5413 ± 0.2331,0.6506 ± 0.1984,0.7899 ± 0.0339,0.5677 ± 0.1170,0.9115 ± 0.0241,0.5164 ± 0.1762,0.6401 ± 0.1455,0.7236 ± 0.0148
