,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8696 ± 0.0132,0.8893 ± 0.0211,0.8720 ± 0.0281,0.8801 ± 0.0127,0.8610 ± 0.0148,0.8632 ± 0.0107,0.8856 ± 0.0158,0.8641 ± 0.0101,0.8746 ± 0.0091,0.8547 ± 0.0114
random_forest,0.9293 ± 0.0121,0.9463 ± 0.0138,0.9240 ± 0.0199,0.9349 ± 0.0116,0.9756 ± 0.0076,0.9198 ± 0.0053,0.9407 ± 0.0060,0.9123 ± 0.0071,0.9262 ± 0.0050,0.9659 ± 0.0039
extra_trees,0.9249 ± 0.0112,0.9366 ± 0.0202,0.9267 ± 0.0191,0.9313 ± 0.0102,0.9756 ± 0.0079,0.9170 ± 0.0047,0.9365 ± 0.0040,0.9114 ± 0.0069,0.9238 ± 0.0044,0.9665 ± 0.0030
xgboost,0.9172 ± 0.0070,0.9266 ± 0.0103,0.9227 ± 0.0164,0.9245 ± 0.0069,0.9680 ± 0.0042,0.9086 ± 0.0089,0.9244 ± 0.0089,0.9088 ± 0.0103,0.9165 ± 0.0082,0.9583 ± 0.0049
adaboost,0.9242 ± 0.0146,0.9446 ± 0.0133,0.9160 ± 0.0265,0.9298 ± 0.0144,0.9686 ± 0.0055,0.9156 ± 0.0054,0.9418 ± 0.0071,0.9028 ± 0.0064,0.9219 ± 0.0050,0.9582 ± 0.0046
svm,0.9209 ± 0.0152,0.9448 ± 0.0181,0.9093 ± 0.0170,0.9266 ± 0.0141,0.9718 ± 0.0081,0.9075 ± 0.0056,0.9331 ± 0.0078,0.8969 ± 0.0070,0.9146 ± 0.0051,0.9624 ± 0.0036
logistic_regression,0.9084 ± 0.0159,0.9359 ± 0.0254,0.8953 ± 0.0186,0.9149 ± 0.0144,0.9563 ± 0.0119,0.8923 ± 0.0057,0.9226 ± 0.0063,0.8786 ± 0.0100,0.9000 ± 0.0056,0.9482 ± 0.0060
knn,0.6853 ± 0.0220,0.9925 ± 0.0102,0.4307 ± 0.0406,0.5996 ± 0.0391,0.8291 ± 0.0288,0.6742 ± 0.0115,0.9931 ± 0.0057,0.4125 ± 0.0200,0.5827 ± 0.0205,0.8140 ± 0.0260
gaussian_nb,0.9231 ± 0.0113,0.9554 ± 0.0181,0.9027 ± 0.0223,0.9280 ± 0.0110,0.9589 ± 0.0101,0.9068 ± 0.0079,0.9405 ± 0.0072,0.8872 ± 0.0116,0.9130 ± 0.0077,0.9437 ± 0.0061
