,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6417 ± 0.0492,0.7895 ± 0.0167,0.7529 ± 0.0614,0.7700 ± 0.0390,0.4727 ± 0.0370,0.6534 ± 0.0212,0.7967 ± 0.0102,0.7630 ± 0.0238,0.7794 ± 0.0157,0.4850 ± 0.0247
random_forest,0.7914 ± 0.0100,0.8014 ± 0.0038,0.9835 ± 0.0129,0.8831 ± 0.0062,0.4817 ± 0.0524,0.7971 ± 0.0070,0.8072 ± 0.0050,0.9819 ± 0.0083,0.8860 ± 0.0040,0.4667 ± 0.0599
extra_trees,0.7815 ± 0.0146,0.8018 ± 0.0054,0.9661 ± 0.0172,0.8763 ± 0.0091,0.4505 ± 0.0627,0.7846 ± 0.0119,0.8056 ± 0.0050,0.9644 ± 0.0129,0.8778 ± 0.0073,0.4734 ± 0.0580
xgboost,0.7377 ± 0.0177,0.7989 ± 0.0095,0.8992 ± 0.0190,0.8460 ± 0.0112,0.4671 ± 0.0538,0.7406 ± 0.0143,0.8008 ± 0.0069,0.9011 ± 0.0144,0.8479 ± 0.0090,0.4637 ± 0.0493
adaboost,0.7980 ± 0.0056,0.8007 ± 0.0011,0.9959 ± 0.0070,0.8877 ± 0.0035,0.4820 ± 0.0417,0.7960 ± 0.0073,0.8017 ± 0.0012,0.9911 ± 0.0098,0.8864 ± 0.0046,0.4798 ± 0.0404
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5913 ± 0.0349,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.5973 ± 0.0576
logistic_regression,0.5219 ± 0.0412,0.8011 ± 0.0222,0.5364 ± 0.0567,0.6411 ± 0.0431,0.4738 ± 0.0366,0.5289 ± 0.0321,0.8068 ± 0.0260,0.5431 ± 0.0273,0.6490 ± 0.0265,0.5000 ± 0.0532
knn,0.7483 ± 0.0263,0.7980 ± 0.0101,0.9182 ± 0.0274,0.8538 ± 0.0166,0.4692 ± 0.0500,0.7466 ± 0.0115,0.7987 ± 0.0035,0.9149 ± 0.0178,0.8528 ± 0.0080,0.4689 ± 0.0389
gaussian_nb,0.5066 ± 0.0945,0.8219 ± 0.0271,0.4876 ± 0.1393,0.6022 ± 0.1201,0.5224 ± 0.0433,0.5006 ± 0.0825,0.8319 ± 0.0197,0.4744 ± 0.1276,0.5951 ± 0.1016,0.5364 ± 0.0373
