,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8326 ± 0.0165,0.8756 ± 0.0283,0.8120 ± 0.0281,0.8420 ± 0.0155,0.8086 ± 0.0172,0.8261 ± 0.0143,0.8617 ± 0.0137,0.8160 ± 0.0194,0.8381 ± 0.0140,0.8057 ± 0.0186
random_forest,0.8652 ± 0.0173,0.8817 ± 0.0261,0.8727 ± 0.0173,0.8769 ± 0.0146,0.9270 ± 0.0125,0.8610 ± 0.0106,0.8712 ± 0.0124,0.8781 ± 0.0096,0.8746 ± 0.0093,0.9124 ± 0.0081
extra_trees,0.8516 ± 0.0206,0.8668 ± 0.0234,0.8633 ± 0.0287,0.8647 ± 0.0191,0.9043 ± 0.0136,0.8456 ± 0.0113,0.8551 ± 0.0152,0.8675 ± 0.0079,0.8612 ± 0.0094,0.8940 ± 0.0120
xgboost,0.8681 ± 0.0201,0.8918 ± 0.0290,0.8660 ± 0.0202,0.8784 ± 0.0176,0.9153 ± 0.0120,0.8568 ± 0.0100,0.8740 ± 0.0115,0.8652 ± 0.0098,0.8696 ± 0.0089,0.9046 ± 0.0077
adaboost,0.8963 ± 0.0171,0.9133 ± 0.0180,0.8967 ± 0.0221,0.9048 ± 0.0159,0.9398 ± 0.0121,0.8832 ± 0.0043,0.8934 ± 0.0060,0.8952 ± 0.0068,0.8943 ± 0.0039,0.9224 ± 0.0040
svm,0.8780 ± 0.0222,0.9124 ± 0.0263,0.8613 ± 0.0323,0.8857 ± 0.0218,0.9371 ± 0.0157,0.8649 ± 0.0140,0.8936 ± 0.0171,0.8575 ± 0.0107,0.8752 ± 0.0125,0.9160 ± 0.0076
logistic_regression,0.8751 ± 0.0193,0.9301 ± 0.0191,0.8360 ± 0.0363,0.8800 ± 0.0206,0.9382 ± 0.0123,0.8635 ± 0.0117,0.9133 ± 0.0082,0.8316 ± 0.0158,0.8705 ± 0.0118,0.9173 ± 0.0067
knn,0.8520 ± 0.0196,0.8998 ± 0.0232,0.8227 ± 0.0260,0.8593 ± 0.0191,0.9090 ± 0.0235,0.8330 ± 0.0162,0.8828 ± 0.0204,0.8046 ± 0.0186,0.8417 ± 0.0153,0.8960 ± 0.0110
gaussian_nb,0.7795 ± 0.0195,0.8944 ± 0.0213,0.6793 ± 0.0359,0.7716 ± 0.0244,0.8920 ± 0.0205,0.7635 ± 0.0112,0.8808 ± 0.0107,0.6610 ± 0.0185,0.7551 ± 0.0136,0.8722 ± 0.0096
