,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8692 ± 0.0136,0.8893 ± 0.0212,0.8713 ± 0.0281,0.8797 ± 0.0131,0.8606 ± 0.0152,0.8624 ± 0.0107,0.8845 ± 0.0155,0.8638 ± 0.0106,0.8739 ± 0.0092,0.8538 ± 0.0111
random_forest,0.9300 ± 0.0121,0.9470 ± 0.0138,0.9247 ± 0.0204,0.9355 ± 0.0116,0.9756 ± 0.0076,0.9200 ± 0.0050,0.9412 ± 0.0052,0.9120 ± 0.0073,0.9263 ± 0.0047,0.9660 ± 0.0040
extra_trees,0.9249 ± 0.0112,0.9366 ± 0.0202,0.9267 ± 0.0191,0.9313 ± 0.0102,0.9756 ± 0.0079,0.9170 ± 0.0047,0.9365 ± 0.0040,0.9114 ± 0.0069,0.9238 ± 0.0044,0.9665 ± 0.0030
xgboost,0.9172 ± 0.0070,0.9266 ± 0.0103,0.9227 ± 0.0164,0.9245 ± 0.0069,0.9680 ± 0.0042,0.9086 ± 0.0089,0.9244 ± 0.0089,0.9088 ± 0.0103,0.9165 ± 0.0082,0.9583 ± 0.0049
adaboost,0.9242 ± 0.0146,0.9446 ± 0.0133,0.9160 ± 0.0265,0.9298 ± 0.0144,0.9686 ± 0.0055,0.9156 ± 0.0054,0.9418 ± 0.0071,0.9028 ± 0.0064,0.9219 ± 0.0050,0.9582 ± 0.0046
svm,0.9344 ± 0.0161,0.9715 ± 0.0143,0.9073 ± 0.0230,0.9382 ± 0.0158,0.9758 ± 0.0078,0.9190 ± 0.0059,0.9567 ± 0.0037,0.8937 ± 0.0093,0.9241 ± 0.0058,0.9666 ± 0.0038
logistic_regression,0.9297 ± 0.0144,0.9714 ± 0.0143,0.8987 ± 0.0245,0.9334 ± 0.0145,0.9749 ± 0.0079,0.9195 ± 0.0067,0.9633 ± 0.0086,0.8880 ± 0.0070,0.9241 ± 0.0063,0.9657 ± 0.0046
knn,0.8275 ± 0.0181,0.9952 ± 0.0066,0.6893 ± 0.0324,0.8141 ± 0.0234,0.9143 ± 0.0164,0.8190 ± 0.0086,0.9900 ± 0.0030,0.6789 ± 0.0147,0.8054 ± 0.0109,0.9014 ± 0.0151
gaussian_nb,0.9242 ± 0.0127,0.9528 ± 0.0181,0.9073 ± 0.0212,0.9293 ± 0.0122,0.9575 ± 0.0107,0.9071 ± 0.0080,0.9369 ± 0.0067,0.8917 ± 0.0119,0.9137 ± 0.0077,0.9427 ± 0.0066
