,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6702 ± 0.0345,0.8059 ± 0.0155,0.7752 ± 0.0440,0.7897 ± 0.0265,0.5120 ± 0.0384,0.6766 ± 0.0334,0.8123 ± 0.0193,0.7765 ± 0.0296,0.7939 ± 0.0227,0.5229 ± 0.0469
random_forest,0.7901 ± 0.0099,0.8052 ± 0.0060,0.9736 ± 0.0122,0.8814 ± 0.0059,0.5610 ± 0.0385,0.7883 ± 0.0078,0.8058 ± 0.0048,0.9701 ± 0.0079,0.8803 ± 0.0045,0.5673 ± 0.0285
extra_trees,0.7854 ± 0.0163,0.8098 ± 0.0086,0.9570 ± 0.0173,0.8772 ± 0.0098,0.5620 ± 0.0682,0.7800 ± 0.0145,0.8068 ± 0.0060,0.9544 ± 0.0145,0.8744 ± 0.0088,0.5525 ± 0.0372
xgboost,0.7543 ± 0.0178,0.8064 ± 0.0045,0.9124 ± 0.0276,0.8560 ± 0.0126,0.5551 ± 0.0349,0.7531 ± 0.0124,0.8087 ± 0.0070,0.9071 ± 0.0114,0.8551 ± 0.0075,0.5533 ± 0.0326
adaboost,0.7934 ± 0.0142,0.8001 ± 0.0018,0.9893 ± 0.0203,0.8846 ± 0.0093,0.5206 ± 0.0395,0.7977 ± 0.0055,0.8018 ± 0.0011,0.9936 ± 0.0069,0.8875 ± 0.0034,0.5215 ± 0.0521
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5006 ± 0.0686,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.4786 ± 0.0470
logistic_regression,0.5530 ± 0.0396,0.8217 ± 0.0163,0.5645 ± 0.0554,0.6679 ± 0.0421,0.5546 ± 0.0367,0.5477 ± 0.0227,0.8196 ± 0.0215,0.5601 ± 0.0191,0.6653 ± 0.0179,0.5415 ± 0.0367
knn,0.7623 ± 0.0161,0.8055 ± 0.0075,0.9273 ± 0.0178,0.8620 ± 0.0101,0.5508 ± 0.0661,0.7566 ± 0.0092,0.8072 ± 0.0064,0.9157 ± 0.0124,0.8579 ± 0.0059,0.5215 ± 0.0413
gaussian_nb,0.6424 ± 0.1226,0.8127 ± 0.0187,0.7223 ± 0.2069,0.7489 ± 0.1229,0.5593 ± 0.0441,0.6320 ± 0.0925,0.8221 ± 0.0270,0.6986 ± 0.1711,0.7422 ± 0.0988,0.5608 ± 0.0339
