,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.5429 ± 0.0415,0.5878 ± 0.0420,0.5673 ± 0.0536,0.5764 ± 0.0417,0.5340 ± 0.0399,0.5467 ± 0.0216,0.5913 ± 0.0200,0.5789 ± 0.0279,0.5848 ± 0.0216,0.5359 ± 0.0220
random_forest,0.5879 ± 0.0278,0.6103 ± 0.0243,0.6940 ± 0.0355,0.6491 ± 0.0239,0.6050 ± 0.0277,0.5723 ± 0.0170,0.5972 ± 0.0138,0.6917 ± 0.0205,0.6409 ± 0.0150,0.5915 ± 0.0224
extra_trees,0.5740 ± 0.0213,0.6002 ± 0.0173,0.6740 ± 0.0426,0.6344 ± 0.0236,0.5980 ± 0.0210,0.5739 ± 0.0225,0.6015 ± 0.0181,0.6755 ± 0.0246,0.6363 ± 0.0199,0.5844 ± 0.0275
xgboost,0.5729 ± 0.0239,0.6054 ± 0.0225,0.6413 ± 0.0257,0.6226 ± 0.0203,0.5839 ± 0.0316,0.5651 ± 0.0261,0.6009 ± 0.0217,0.6308 ± 0.0306,0.6154 ± 0.0249,0.5815 ± 0.0280
adaboost,0.6022 ± 0.0249,0.6270 ± 0.0286,0.6887 ± 0.0631,0.6545 ± 0.0284,0.6360 ± 0.0243,0.5986 ± 0.0136,0.6208 ± 0.0131,0.7017 ± 0.0114,0.6587 ± 0.0095,0.6314 ± 0.0202
svm,0.5912 ± 0.0277,0.6182 ± 0.0224,0.6707 ± 0.0535,0.6425 ± 0.0303,0.6238 ± 0.0329,0.5824 ± 0.0142,0.6132 ± 0.0128,0.6598 ± 0.0226,0.6355 ± 0.0140,0.6015 ± 0.0211
logistic_regression,0.5989 ± 0.0314,0.6715 ± 0.0289,0.5267 ± 0.0545,0.5895 ± 0.0428,0.6372 ± 0.0306,0.5863 ± 0.0099,0.6585 ± 0.0134,0.5208 ± 0.0105,0.5815 ± 0.0092,0.6247 ± 0.0137
knn,0.5480 ± 0.0206,0.5931 ± 0.0187,0.5647 ± 0.0447,0.5778 ± 0.0288,0.5698 ± 0.0234,0.5476 ± 0.0148,0.5919 ± 0.0138,0.5809 ± 0.0200,0.5863 ± 0.0149,0.5649 ± 0.0186
gaussian_nb,0.5136 ± 0.0248,0.7320 ± 0.0501,0.1827 ± 0.0651,0.2870 ± 0.0816,0.6202 ± 0.0304,0.5044 ± 0.0165,0.6873 ± 0.0185,0.1863 ± 0.0473,0.2906 ± 0.0571,0.6019 ± 0.0148
