,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7642 ± 0.0306,0.8592 ± 0.0166,0.8446 ± 0.0414,0.8513 ± 0.0222,0.6423 ± 0.0383,0.7411 ± 0.0226,0.8456 ± 0.0098,0.8288 ± 0.0253,0.8370 ± 0.0157,0.6064 ± 0.0248
random_forest,0.8470 ± 0.0127,0.8576 ± 0.0078,0.9702 ± 0.0142,0.9104 ± 0.0077,0.8313 ± 0.0272,0.8371 ± 0.0109,0.8509 ± 0.0074,0.9665 ± 0.0065,0.9050 ± 0.0063,0.7893 ± 0.0194
extra_trees,0.8377 ± 0.0133,0.8531 ± 0.0109,0.9636 ± 0.0105,0.9049 ± 0.0076,0.8397 ± 0.0235,0.8266 ± 0.0138,0.8410 ± 0.0092,0.9669 ± 0.0092,0.8995 ± 0.0079,0.7934 ± 0.0175
xgboost,0.8325 ± 0.0187,0.8719 ± 0.0126,0.9273 ± 0.0182,0.8986 ± 0.0117,0.8247 ± 0.0169,0.7974 ± 0.0213,0.8484 ± 0.0121,0.9103 ± 0.0162,0.8783 ± 0.0130,0.7524 ± 0.0240
adaboost,0.8139 ± 0.0299,0.8633 ± 0.0196,0.9124 ± 0.0203,0.8871 ± 0.0180,0.7842 ± 0.0394,0.8049 ± 0.0166,0.8535 ± 0.0105,0.9139 ± 0.0159,0.8826 ± 0.0103,0.7501 ± 0.0226
svm,0.8450 ± 0.0118,0.8537 ± 0.0084,0.9736 ± 0.0122,0.9096 ± 0.0069,0.8000 ± 0.0255,0.8249 ± 0.0180,0.8376 ± 0.0160,0.9705 ± 0.0071,0.8990 ± 0.0093,0.7443 ± 0.0265
logistic_regression,0.7411 ± 0.0328,0.8936 ± 0.0175,0.7686 ± 0.0395,0.8259 ± 0.0251,0.7702 ± 0.0310,0.7103 ± 0.0219,0.8775 ± 0.0103,0.7427 ± 0.0221,0.8044 ± 0.0164,0.7356 ± 0.0295
knn,0.7748 ± 0.0276,0.8739 ± 0.0184,0.8405 ± 0.0256,0.8567 ± 0.0182,0.7555 ± 0.0316,0.7683 ± 0.0128,0.8631 ± 0.0066,0.8456 ± 0.0190,0.8541 ± 0.0095,0.7129 ± 0.0150
gaussian_nb,0.5404 ± 0.0924,0.9111 ± 0.0232,0.4736 ± 0.1295,0.6132 ± 0.1140,0.7656 ± 0.0412,0.5426 ± 0.0799,0.9073 ± 0.0112,0.4794 ± 0.1111,0.6205 ± 0.0942,0.7291 ± 0.0153
