,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8722 ± 0.0140,0.8902 ± 0.0212,0.8760 ± 0.0197,0.8828 ± 0.0124,0.8717 ± 0.0147,0.8619 ± 0.0108,0.8786 ± 0.0149,0.8704 ± 0.0119,0.8744 ± 0.0094,0.8610 ± 0.0114
random_forest,0.9330 ± 0.0118,0.9509 ± 0.0124,0.9260 ± 0.0207,0.9381 ± 0.0115,0.9772 ± 0.0064,0.9197 ± 0.0061,0.9355 ± 0.0055,0.9177 ± 0.0077,0.9265 ± 0.0057,0.9678 ± 0.0030
extra_trees,0.9289 ± 0.0115,0.9441 ± 0.0181,0.9260 ± 0.0202,0.9347 ± 0.0108,0.9765 ± 0.0074,0.9206 ± 0.0054,0.9364 ± 0.0057,0.9185 ± 0.0067,0.9274 ± 0.0049,0.9684 ± 0.0036
xgboost,0.9286 ± 0.0095,0.9446 ± 0.0144,0.9247 ± 0.0222,0.9342 ± 0.0094,0.9739 ± 0.0071,0.9173 ± 0.0084,0.9402 ± 0.0105,0.9080 ± 0.0081,0.9238 ± 0.0076,0.9656 ± 0.0027
adaboost,0.9227 ± 0.0146,0.9457 ± 0.0181,0.9120 ± 0.0191,0.9284 ± 0.0136,0.9725 ± 0.0057,0.9138 ± 0.0072,0.9379 ± 0.0072,0.9037 ± 0.0088,0.9205 ± 0.0068,0.9650 ± 0.0040
svm,0.9341 ± 0.0154,0.9757 ± 0.0151,0.9027 ± 0.0240,0.9376 ± 0.0153,0.9754 ± 0.0073,0.9233 ± 0.0067,0.9641 ± 0.0058,0.8943 ± 0.0105,0.9279 ± 0.0066,0.9678 ± 0.0035
logistic_regression,0.9271 ± 0.0135,0.9721 ± 0.0157,0.8933 ± 0.0259,0.9307 ± 0.0138,0.9727 ± 0.0073,0.9146 ± 0.0055,0.9566 ± 0.0041,0.8855 ± 0.0086,0.9196 ± 0.0054,0.9683 ± 0.0039
knn,0.7788 ± 0.0207,0.9945 ± 0.0079,0.6007 ± 0.0376,0.7483 ± 0.0290,0.8854 ± 0.0206,0.7679 ± 0.0105,0.9923 ± 0.0052,0.5840 ± 0.0197,0.7351 ± 0.0153,0.8832 ± 0.0086
gaussian_nb,0.9209 ± 0.0087,0.9396 ± 0.0150,0.9153 ± 0.0220,0.9270 ± 0.0087,0.9505 ± 0.0102,0.9047 ± 0.0074,0.9252 ± 0.0106,0.9003 ± 0.0075,0.9125 ± 0.0066,0.9355 ± 0.0062
