,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8901 ± 0.0198,0.9030 ± 0.0281,0.8973 ± 0.0225,0.8998 ± 0.0174,0.8850 ± 0.0220,0.8767 ± 0.0097,0.8902 ± 0.0105,0.8860 ± 0.0129,0.8880 ± 0.0089,0.8706 ± 0.0101
random_forest,0.9315 ± 0.0121,0.9524 ± 0.0194,0.9220 ± 0.0218,0.9366 ± 0.0114,0.9762 ± 0.0069,0.9226 ± 0.0057,0.9510 ± 0.0049,0.9066 ± 0.0072,0.9282 ± 0.0054,0.9671 ± 0.0031
extra_trees,0.9289 ± 0.0160,0.9452 ± 0.0264,0.9253 ± 0.0255,0.9347 ± 0.0146,0.9745 ± 0.0065,0.9184 ± 0.0043,0.9424 ± 0.0081,0.9077 ± 0.0069,0.9247 ± 0.0039,0.9657 ± 0.0039
xgboost,0.9194 ± 0.0188,0.9338 ± 0.0258,0.9193 ± 0.0252,0.9261 ± 0.0171,0.9653 ± 0.0073,0.9055 ± 0.0087,0.9240 ± 0.0100,0.9031 ± 0.0074,0.9134 ± 0.0079,0.9520 ± 0.0058
adaboost,0.9271 ± 0.0100,0.9420 ± 0.0159,0.9247 ± 0.0175,0.9330 ± 0.0093,0.9710 ± 0.0082,0.9123 ± 0.0077,0.9332 ± 0.0104,0.9060 ± 0.0095,0.9193 ± 0.0069,0.9587 ± 0.0060
svm,0.9337 ± 0.0143,0.9709 ± 0.0134,0.9067 ± 0.0249,0.9375 ± 0.0143,0.9729 ± 0.0074,0.9201 ± 0.0070,0.9605 ± 0.0080,0.8920 ± 0.0105,0.9249 ± 0.0067,0.9610 ± 0.0047
logistic_regression,0.9330 ± 0.0112,0.9664 ± 0.0158,0.9100 ± 0.0218,0.9371 ± 0.0110,0.9743 ± 0.0071,0.9220 ± 0.0058,0.9611 ± 0.0045,0.8949 ± 0.0093,0.9268 ± 0.0057,0.9660 ± 0.0040
knn,0.9150 ± 0.0110,0.9833 ± 0.0116,0.8600 ± 0.0163,0.9174 ± 0.0111,0.9558 ± 0.0083,0.9041 ± 0.0075,0.9824 ± 0.0055,0.8413 ± 0.0130,0.9063 ± 0.0078,0.9459 ± 0.0041
gaussian_nb,0.9319 ± 0.0113,0.9643 ± 0.0124,0.9100 ± 0.0242,0.9361 ± 0.0116,0.9602 ± 0.0081,0.9201 ± 0.0030,0.9571 ± 0.0052,0.8954 ± 0.0074,0.9252 ± 0.0030,0.9515 ± 0.0033
