,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7318 ± 0.0372,0.8418 ± 0.0183,0.8198 ± 0.0525,0.8298 ± 0.0276,0.5983 ± 0.0414,0.7331 ± 0.0143,0.8440 ± 0.0129,0.8192 ± 0.0096,0.8314 ± 0.0086,0.6009 ± 0.0305
random_forest,0.8437 ± 0.0113,0.8510 ± 0.0097,0.9760 ± 0.0137,0.9092 ± 0.0066,0.8136 ± 0.0320,0.8323 ± 0.0081,0.8427 ± 0.0050,0.9726 ± 0.0053,0.9030 ± 0.0046,0.7858 ± 0.0256
extra_trees,0.8384 ± 0.0147,0.8476 ± 0.0107,0.9736 ± 0.0150,0.9061 ± 0.0086,0.8188 ± 0.0343,0.8277 ± 0.0126,0.8382 ± 0.0065,0.9733 ± 0.0091,0.9007 ± 0.0074,0.7839 ± 0.0149
xgboost,0.8291 ± 0.0159,0.8647 ± 0.0118,0.9331 ± 0.0197,0.8974 ± 0.0100,0.8222 ± 0.0290,0.8177 ± 0.0131,0.8563 ± 0.0077,0.9288 ± 0.0116,0.8911 ± 0.0080,0.7732 ± 0.0283
adaboost,0.8026 ± 0.0333,0.8574 ± 0.0190,0.9041 ± 0.0262,0.8801 ± 0.0206,0.7717 ± 0.0345,0.7914 ± 0.0119,0.8477 ± 0.0082,0.9025 ± 0.0119,0.8742 ± 0.0074,0.7389 ± 0.0255
svm,0.8424 ± 0.0132,0.8482 ± 0.0102,0.9785 ± 0.0112,0.9087 ± 0.0075,0.7698 ± 0.0311,0.8251 ± 0.0140,0.8334 ± 0.0113,0.9779 ± 0.0073,0.8998 ± 0.0075,0.7379 ± 0.0316
logistic_regression,0.7331 ± 0.0214,0.8701 ± 0.0175,0.7843 ± 0.0225,0.8248 ± 0.0151,0.7051 ± 0.0352,0.7231 ± 0.0255,0.8498 ± 0.0131,0.7957 ± 0.0231,0.8218 ± 0.0176,0.6833 ± 0.0341
knn,0.7285 ± 0.0207,0.8713 ± 0.0130,0.7760 ± 0.0298,0.8206 ± 0.0163,0.7246 ± 0.0382,0.7303 ± 0.0148,0.8656 ± 0.0050,0.7861 ± 0.0221,0.8238 ± 0.0118,0.7194 ± 0.0103
gaussian_nb,0.5424 ± 0.0941,0.8824 ± 0.0252,0.4942 ± 0.1283,0.6254 ± 0.1049,0.7117 ± 0.0338,0.5443 ± 0.0611,0.8978 ± 0.0160,0.4897 ± 0.0953,0.6280 ± 0.0764,0.7011 ± 0.0161
