,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
0,decision_tree,spearman_corr,0.8785 ± 0.0128,0.8919 ± 0.0192,0.8817 ± 0.0207,0.8958 ± 0.0243,0.8887 ± 0.0300,0.8809 ± 0.0208,0.8659 ± 0.0136,0.8782 ± 0.0119,0.8789 ± 0.0187,0.8644 ± 0.0134
1,decision_tree,mutual_info,0.8764 ± 0.0080,0.8958 ± 0.0125,0.8861 ± 0.0141,0.9012 ± 0.0242,0.8913 ± 0.0227,0.8855 ± 0.0150,0.8640 ± 0.0085,0.8790 ± 0.0113,0.8741 ± 0.0150,0.8628 ± 0.0085
2,decision_tree,spearman_sulov,0.8749 ± 0.0112,0.8985 ± 0.0128,0.8890 ± 0.0134,0.9025 ± 0.0194,0.8953 ± 0.0269,0.8883 ± 0.0133,0.8623 ± 0.0125,0.8770 ± 0.0137,0.8729 ± 0.0128,0.8610 ± 0.0128
3,decision_tree,chi2,0.8822 ± 0.0127,0.8936 ± 0.0204,0.8832 ± 0.0227,0.8959 ± 0.0328,0.8927 ± 0.0338,0.8821 ± 0.0237,0.8695 ± 0.0142,0.8788 ± 0.0138,0.8858 ± 0.0130,0.8676 ± 0.0144
4,decision_tree,chi2_mi_union_topk,0.8865 ± 0.0108,0.8961 ± 0.0150,0.8857 ± 0.0161,0.8953 ± 0.0242,0.8980 ± 0.0295,0.8791 ± 0.0169,0.8742 ± 0.0125,0.8834 ± 0.0163,0.8897 ± 0.0104,0.8678 ± 0.0142
5,random_forest,spearman_corr,0.9282 ± 0.0055,0.9389 ± 0.0129,0.9341 ± 0.0136,0.9562 ± 0.0185,0.9227 ± 0.0223,0.9796 ± 0.0052,0.9226 ± 0.0061,0.9511 ± 0.0088,0.9066 ± 0.0068,0.9704 ± 0.0021
6,random_forest,mutual_info,0.9277 ± 0.0056,0.9401 ± 0.0123,0.9355 ± 0.0133,0.9610 ± 0.0219,0.9207 ± 0.0207,0.9783 ± 0.0072,0.9223 ± 0.0059,0.9534 ± 0.0060,0.9034 ± 0.0078,0.9688 ± 0.0028
7,random_forest,spearman_sulov,0.9285 ± 0.0076,0.9385 ± 0.0136,0.9337 ± 0.0144,0.9568 ± 0.0179,0.9213 ± 0.0224,0.9786 ± 0.0054,0.9230 ± 0.0082,0.9521 ± 0.0084,0.9060 ± 0.0077,0.9700 ± 0.0030
8,random_forest,chi2,0.9268 ± 0.0075,0.9354 ± 0.0127,0.9304 ± 0.0135,0.9546 ± 0.0180,0.9173 ± 0.0218,0.9782 ± 0.0065,0.9212 ± 0.0081,0.9509 ± 0.0077,0.9040 ± 0.0084,0.9692 ± 0.0030
9,random_forest,chi2_mi_union_topk,0.9272 ± 0.0039,0.9370 ± 0.0157,0.9322 ± 0.0163,0.9560 ± 0.0179,0.9193 ± 0.0262,0.9771 ± 0.0069,0.9220 ± 0.0040,0.9556 ± 0.0042,0.9006 ± 0.0074,0.9686 ± 0.0029
10,extra_trees,spearman_corr,0.9266 ± 0.0071,0.9409 ± 0.0117,0.9363 ± 0.0122,0.9583 ± 0.0169,0.9247 ± 0.0229,0.9787 ± 0.0064,0.9208 ± 0.0076,0.9473 ± 0.0073,0.9068 ± 0.0089,0.9700 ± 0.0023
11,extra_trees,mutual_info,0.9252 ± 0.0076,0.9361 ± 0.0128,0.9308 ± 0.0135,0.9496 ± 0.0172,0.9233 ± 0.0214,0.9782 ± 0.0061,0.9190 ± 0.0082,0.9442 ± 0.0079,0.9068 ± 0.0085,0.9689 ± 0.0027
12,extra_trees,spearman_sulov,0.9299 ± 0.0059,0.9381 ± 0.0142,0.9333 ± 0.0146,0.9562 ± 0.0184,0.9213 ± 0.0274,0.9783 ± 0.0056,0.9242 ± 0.0065,0.9501 ± 0.0081,0.9105 ± 0.0066,0.9695 ± 0.0025
13,extra_trees,chi2,0.9242 ± 0.0066,0.9367 ± 0.0157,0.9315 ± 0.0167,0.9504 ± 0.0197,0.9240 ± 0.0258,0.9778 ± 0.0079,0.9181 ± 0.0070,0.9444 ± 0.0057,0.9048 ± 0.0089,0.9689 ± 0.0026
14,extra_trees,chi2_mi_union_topk,0.9252 ± 0.0052,0.9358 ± 0.0140,0.9308 ± 0.0145,0.9534 ± 0.0167,0.9193 ± 0.0252,0.9770 ± 0.0065,0.9195 ± 0.0056,0.9499 ± 0.0060,0.9017 ± 0.0062,0.9682 ± 0.0032
15,xgboost,spearman_corr,0.9233 ± 0.0078,0.9372 ± 0.0137,0.9319 ± 0.0146,0.9492 ± 0.0195,0.9260 ± 0.0240,0.9764 ± 0.0047,0.9168 ± 0.0087,0.9399 ± 0.0117,0.9074 ± 0.0067,0.9673 ± 0.0034
16,xgboost,mutual_info,0.9233 ± 0.0081,0.9339 ± 0.0125,0.9282 ± 0.0134,0.9448 ± 0.0217,0.9240 ± 0.0233,0.9758 ± 0.0063,0.9167 ± 0.0089,0.9383 ± 0.0095,0.9088 ± 0.0083,0.9674 ± 0.0043
17,xgboost,spearman_sulov,0.9220 ± 0.0061,0.9358 ± 0.0117,0.9304 ± 0.0122,0.9484 ± 0.0163,0.9240 ± 0.0220,0.9766 ± 0.0042,0.9154 ± 0.0068,0.9389 ± 0.0093,0.9057 ± 0.0056,0.9677 ± 0.0036
18,xgboost,chi2,0.9212 ± 0.0086,0.9324 ± 0.0104,0.9264 ± 0.0115,0.9409 ± 0.0200,0.9247 ± 0.0194,0.9757 ± 0.0062,0.9145 ± 0.0096,0.9378 ± 0.0124,0.9051 ± 0.0066,0.9668 ± 0.0038
19,xgboost,chi2_mi_union_topk,0.9215 ± 0.0079,0.9278 ± 0.0106,0.9216 ± 0.0109,0.9390 ± 0.0162,0.9173 ± 0.0214,0.9712 ± 0.0074,0.9148 ± 0.0090,0.9374 ± 0.0133,0.9063 ± 0.0039,0.9618 ± 0.0023
20,adaboost,spearman_corr,0.9180 ± 0.0044,0.9252 ± 0.0090,0.9187 ± 0.0097,0.9354 ± 0.0209,0.9160 ± 0.0211,0.9714 ± 0.0070,0.9108 ± 0.0047,0.9322 ± 0.0065,0.9043 ± 0.0062,0.9644 ± 0.0040
21,adaboost,mutual_info,0.9182 ± 0.0075,0.9305 ± 0.0128,0.9245 ± 0.0136,0.9418 ± 0.0187,0.9200 ± 0.0239,0.9722 ± 0.0087,0.9112 ± 0.0083,0.9335 ± 0.0099,0.9034 ± 0.0075,0.9661 ± 0.0034
22,adaboost,spearman_sulov,0.9153 ± 0.0037,0.9257 ± 0.0110,0.9194 ± 0.0120,0.9381 ± 0.0179,0.9140 ± 0.0179,0.9710 ± 0.0060,0.9079 ± 0.0041,0.9285 ± 0.0061,0.9026 ± 0.0052,0.9647 ± 0.0057
23,adaboost,chi2,0.9203 ± 0.0061,0.9293 ± 0.0124,0.9231 ± 0.0136,0.9391 ± 0.0190,0.9200 ± 0.0169,0.9749 ± 0.0073,0.9132 ± 0.0067,0.9330 ± 0.0092,0.9080 ± 0.0076,0.9678 ± 0.0036
24,adaboost,chi2_mi_union_topk,0.9181 ± 0.0070,0.9289 ± 0.0172,0.9227 ± 0.0189,0.9401 ± 0.0270,0.9187 ± 0.0233,0.9757 ± 0.0063,0.9107 ± 0.0076,0.9292 ± 0.0085,0.9074 ± 0.0083,0.9686 ± 0.0038
25,svm,spearman_corr,0.9312 ± 0.0061,0.9421 ± 0.0122,0.9385 ± 0.0123,0.9731 ± 0.0101,0.9133 ± 0.0213,0.9766 ± 0.0060,0.9263 ± 0.0065,0.9593 ± 0.0074,0.9048 ± 0.0083,0.9678 ± 0.0039
26,svm,mutual_info,0.9278 ± 0.0075,0.9416 ± 0.0164,0.9377 ± 0.0166,0.9691 ± 0.0130,0.9160 ± 0.0261,0.9767 ± 0.0060,0.9225 ± 0.0080,0.9542 ± 0.0077,0.9028 ± 0.0089,0.9684 ± 0.0041
27,svm,spearman_sulov,0.9308 ± 0.0060,0.9423 ± 0.0141,0.9385 ± 0.0142,0.9704 ± 0.0110,0.9160 ± 0.0240,0.9759 ± 0.0060,0.9256 ± 0.0064,0.9570 ± 0.0072,0.9060 ± 0.0090,0.9676 ± 0.0037
28,svm,chi2,0.9274 ± 0.0070,0.9416 ± 0.0142,0.9377 ± 0.0144,0.9705 ± 0.0141,0.9147 ± 0.0233,0.9773 ± 0.0052,0.9220 ± 0.0076,0.9542 ± 0.0085,0.9020 ± 0.0083,0.9683 ± 0.0034
29,svm,chi2_mi_union_topk,0.9289 ± 0.0078,0.9429 ± 0.0127,0.9392 ± 0.0129,0.9732 ± 0.0133,0.9147 ± 0.0213,0.9774 ± 0.0054,0.9241 ± 0.0084,0.9610 ± 0.0088,0.8989 ± 0.0095,0.9693 ± 0.0031
30,logistic_regression,spearman_corr,0.9278 ± 0.0063,0.9407 ± 0.0116,0.9370 ± 0.0114,0.9719 ± 0.0118,0.9120 ± 0.0243,0.9744 ± 0.0073,0.9226 ± 0.0067,0.9562 ± 0.0092,0.9011 ± 0.0086,0.9690 ± 0.0044
31,logistic_regression,mutual_info,0.9291 ± 0.0076,0.9390 ± 0.0130,0.9348 ± 0.0134,0.9644 ± 0.0146,0.9153 ± 0.0222,0.9759 ± 0.0070,0.9239 ± 0.0080,0.9558 ± 0.0081,0.9040 ± 0.0104,0.9693 ± 0.0043
32,logistic_regression,spearman_sulov,0.9281 ± 0.0053,0.9388 ± 0.0134,0.9348 ± 0.0132,0.9678 ± 0.0129,0.9120 ± 0.0275,0.9739 ± 0.0075,0.9228 ± 0.0056,0.9554 ± 0.0062,0.9023 ± 0.0077,0.9683 ± 0.0047
33,logistic_regression,chi2,0.9261 ± 0.0058,0.9395 ± 0.0149,0.9352 ± 0.0154,0.9632 ± 0.0164,0.9173 ± 0.0233,0.9775 ± 0.0060,0.9208 ± 0.0061,0.9543 ± 0.0048,0.8994 ± 0.0074,0.9707 ± 0.0038
34,logistic_regression,chi2_mi_union_topk,0.9285 ± 0.0065,0.9373 ± 0.0116,0.9333 ± 0.0117,0.9689 ± 0.0124,0.9080 ± 0.0217,0.9780 ± 0.0055,0.9236 ± 0.0068,0.9604 ± 0.0067,0.8986 ± 0.0087,0.9715 ± 0.0027
35,knn,spearman_corr,0.8769 ± 0.0082,0.8844 ± 0.0203,0.8857 ± 0.0176,0.9927 ± 0.0072,0.7980 ± 0.0331,0.9397 ± 0.0119,0.8783 ± 0.0072,0.9921 ± 0.0023,0.7858 ± 0.0129,0.9315 ± 0.0060
36,knn,mutual_info,0.8924 ± 0.0072,0.8971 ± 0.0147,0.8974 ± 0.0132,0.9976 ± 0.0039,0.8153 ± 0.0241,0.9491 ± 0.0135,0.8921 ± 0.0067,0.9927 ± 0.0035,0.8105 ± 0.0111,0.9404 ± 0.0087
37,knn,spearman_sulov,0.8718 ± 0.0102,0.8773 ± 0.0207,0.8795 ± 0.0184,0.9924 ± 0.0074,0.7867 ± 0.0322,0.9404 ± 0.0115,0.8737 ± 0.0091,0.9906 ± 0.0040,0.7786 ± 0.0151,0.9317 ± 0.0052
38,knn,chi2,0.8888 ± 0.0092,0.8911 ± 0.0168,0.8916 ± 0.0145,0.9920 ± 0.0065,0.8093 ± 0.0290,0.9450 ± 0.0177,0.8888 ± 0.0085,0.9912 ± 0.0042,0.8057 ± 0.0137,0.9388 ± 0.0064
39,knn,chi2_mi_union_topk,0.9137 ± 0.0079,0.9199 ± 0.0168,0.9176 ± 0.0159,0.9844 ± 0.0145,0.8640 ± 0.0298,0.9534 ± 0.0158,0.9115 ± 0.0076,0.9881 ± 0.0047,0.8499 ± 0.0120,0.9476 ± 0.0077
40,gaussian_nb,spearman_corr,0.9152 ± 0.0060,0.9278 ± 0.0099,0.9220 ± 0.0101,0.9433 ± 0.0165,0.9133 ± 0.0222,0.9500 ± 0.0108,0.9077 ± 0.0065,0.9286 ± 0.0091,0.9023 ± 0.0097,0.9328 ± 0.0046
41,gaussian_nb,mutual_info,0.9181 ± 0.0062,0.9302 ± 0.0079,0.9242 ± 0.0083,0.9411 ± 0.0165,0.9200 ± 0.0189,0.9498 ± 0.0083,0.9107 ± 0.0067,0.9292 ± 0.0090,0.9074 ± 0.0094,0.9315 ± 0.0051
42,gaussian_nb,spearman_sulov,0.9150 ± 0.0047,0.9290 ± 0.0088,0.9234 ± 0.0084,0.9458 ± 0.0113,0.9133 ± 0.0218,0.9517 ± 0.0084,0.9075 ± 0.0052,0.9293 ± 0.0081,0.9011 ± 0.0081,0.9354 ± 0.0045
43,gaussian_nb,chi2,0.9196 ± 0.0052,0.9319 ± 0.0098,0.9264 ± 0.0100,0.9467 ± 0.0146,0.9180 ± 0.0209,0.9499 ± 0.0081,0.9124 ± 0.0054,0.9319 ± 0.0066,0.9077 ± 0.0102,0.9334 ± 0.0052
44,gaussian_nb,chi2_mi_union_topk,0.9151 ± 0.0073,0.9333 ± 0.0102,0.9271 ± 0.0113,0.9391 ± 0.0184,0.9280 ± 0.0183,0.9499 ± 0.0098,0.9066 ± 0.0082,0.9189 ± 0.0117,0.9114 ± 0.0093,0.9343 ± 0.0053
