,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7563 ± 0.0358,0.8615 ± 0.0225,0.8298 ± 0.0398,0.8448 ± 0.0246,0.6449 ± 0.0530,0.7431 ± 0.0167,0.8492 ± 0.0116,0.8270 ± 0.0162,0.8379 ± 0.0110,0.6142 ± 0.0274
random_forest,0.8523 ± 0.0162,0.8622 ± 0.0125,0.9711 ± 0.0152,0.9133 ± 0.0095,0.8339 ± 0.0177,0.8394 ± 0.0077,0.8541 ± 0.0050,0.9648 ± 0.0062,0.9061 ± 0.0045,0.7821 ± 0.0228
extra_trees,0.8550 ± 0.0167,0.8659 ± 0.0153,0.9694 ± 0.0111,0.9147 ± 0.0093,0.8356 ± 0.0219,0.8394 ± 0.0094,0.8526 ± 0.0073,0.9673 ± 0.0053,0.9063 ± 0.0053,0.7867 ± 0.0150
xgboost,0.8351 ± 0.0322,0.8728 ± 0.0169,0.9298 ± 0.0284,0.9002 ± 0.0202,0.7974 ± 0.0311,0.8057 ± 0.0184,0.8557 ± 0.0105,0.9117 ± 0.0162,0.8828 ± 0.0115,0.7256 ± 0.0317
adaboost,0.8159 ± 0.0176,0.8609 ± 0.0117,0.9190 ± 0.0240,0.8888 ± 0.0116,0.7730 ± 0.0332,0.7891 ± 0.0197,0.8437 ± 0.0089,0.9050 ± 0.0181,0.8732 ± 0.0126,0.7246 ± 0.0351
svm,0.8457 ± 0.0133,0.8548 ± 0.0079,0.9727 ± 0.0135,0.9099 ± 0.0080,0.7815 ± 0.0251,0.8326 ± 0.0133,0.8445 ± 0.0122,0.9705 ± 0.0075,0.9030 ± 0.0071,0.7230 ± 0.0244
logistic_regression,0.7364 ± 0.0268,0.8823 ± 0.0162,0.7744 ± 0.0273,0.8247 ± 0.0196,0.7191 ± 0.0418,0.7103 ± 0.0273,0.8670 ± 0.0086,0.7548 ± 0.0319,0.8068 ± 0.0214,0.6772 ± 0.0311
knn,0.8079 ± 0.0212,0.8850 ± 0.0175,0.8744 ± 0.0240,0.8794 ± 0.0138,0.7719 ± 0.0321,0.7886 ± 0.0114,0.8697 ± 0.0079,0.8665 ± 0.0137,0.8681 ± 0.0077,0.7246 ± 0.0233
gaussian_nb,0.5371 ± 0.1076,0.9167 ± 0.0293,0.4661 ± 0.1508,0.6041 ± 0.1337,0.7712 ± 0.0449,0.5369 ± 0.0799,0.9151 ± 0.0234,0.4687 ± 0.1170,0.6110 ± 0.1001,0.7382 ± 0.0148
