,Model,Feature_Selection,F1_CV,F1_Testing,Accuracy_Testing,Precision_Testing,Recall_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,AUC_CV
29,svm,chi2_mi_union_topk,0.9029 ± 0.0077,0.9142 ± 0.0075,0.8530 ± 0.0124,0.8586 ± 0.0088,0.9777 ± 0.0141,0.7943 ± 0.0243,0.8323 ± 0.0141,0.8437 ± 0.0113,0.9712 ± 0.0074,0.7241 ± 0.0325
30,logistic_regression,spearman_corr,0.8161 ± 0.0211,0.8278 ± 0.0206,0.7430 ± 0.0282,0.8934 ± 0.0215,0.7719 ± 0.0322,0.7788 ± 0.0416,0.7254 ± 0.0279,0.8814 ± 0.0109,0.7601 ± 0.0297,0.7473 ± 0.0303
31,logistic_regression,mutual_info,0.8104 ± 0.0140,0.8273 ± 0.0203,0.7437 ± 0.0267,0.8982 ± 0.0217,0.7678 ± 0.0345,0.7881 ± 0.0357,0.7180 ± 0.0192,0.8800 ± 0.0117,0.7512 ± 0.0186,0.7410 ± 0.0249
32,logistic_regression,spearman_sulov,0.8131 ± 0.0184,0.8246 ± 0.0264,0.7391 ± 0.0372,0.8928 ± 0.0281,0.7669 ± 0.0369,0.7815 ± 0.0394,0.7211 ± 0.0247,0.8791 ± 0.0108,0.7566 ± 0.0251,0.7429 ± 0.0299
33,logistic_regression,chi2,0.7957 ± 0.0127,0.7968 ± 0.0289,0.7106 ± 0.0345,0.9082 ± 0.0148,0.7107 ± 0.0439,0.7889 ± 0.0328,0.7057 ± 0.0171,0.8984 ± 0.0128,0.7142 ± 0.0155,0.7678 ± 0.0250
34,logistic_regression,chi2_mi_union_topk,0.8086 ± 0.0131,0.8180 ± 0.0273,0.7338 ± 0.0353,0.9026 ± 0.0215,0.7488 ± 0.0392,0.7836 ± 0.0407,0.7154 ± 0.0168,0.8782 ± 0.0074,0.7495 ± 0.0205,0.7423 ± 0.0250
35,knn,spearman_corr,0.8521 ± 0.0085,0.8505 ± 0.0177,0.7649 ± 0.0242,0.8658 ± 0.0103,0.8364 ± 0.0328,0.7291 ± 0.0421,0.7654 ± 0.0130,0.8630 ± 0.0110,0.8416 ± 0.0138,0.7296 ± 0.0266
36,knn,mutual_info,0.8666 ± 0.0088,0.8801 ± 0.0193,0.8099 ± 0.0279,0.8886 ± 0.0183,0.8727 ± 0.0364,0.7769 ± 0.0323,0.7866 ± 0.0142,0.8697 ± 0.0116,0.8637 ± 0.0115,0.7403 ± 0.0228
37,knn,spearman_sulov,0.8627 ± 0.0090,0.8632 ± 0.0173,0.7834 ± 0.0259,0.8733 ± 0.0148,0.8537 ± 0.0281,0.7560 ± 0.0281,0.7809 ± 0.0143,0.8680 ± 0.0118,0.8577 ± 0.0133,0.7391 ± 0.0298
38,knn,chi2,0.8715 ± 0.0091,0.8853 ± 0.0122,0.8139 ± 0.0175,0.8738 ± 0.0084,0.8975 ± 0.0244,0.7736 ± 0.0223,0.7911 ± 0.0143,0.8609 ± 0.0104,0.8826 ± 0.0146,0.7172 ± 0.0205
39,knn,chi2_mi_union_topk,0.8682 ± 0.0134,0.8772 ± 0.0198,0.8046 ± 0.0298,0.8832 ± 0.0207,0.8719 ± 0.0315,0.7830 ± 0.0362,0.7886 ± 0.0191,0.8681 ± 0.0077,0.8687 ± 0.0256,0.7299 ± 0.0274
40,gaussian_nb,spearman_corr,0.6702 ± 0.0412,0.6638 ± 0.0516,0.5742 ± 0.0489,0.8975 ± 0.0271,0.5298 ± 0.0682,0.7272 ± 0.0435,0.5794 ± 0.0376,0.9002 ± 0.0115,0.5359 ± 0.0556,0.7182 ± 0.0124
41,gaussian_nb,mutual_info,0.6994 ± 0.0545,0.6952 ± 0.0929,0.6093 ± 0.0871,0.9032 ± 0.0243,0.5744 ± 0.1223,0.7497 ± 0.0433,0.6069 ± 0.0507,0.8979 ± 0.0184,0.5762 ± 0.0716,0.7159 ± 0.0197
42,gaussian_nb,spearman_sulov,0.6568 ± 0.0416,0.6538 ± 0.0624,0.5669 ± 0.0580,0.9001 ± 0.0287,0.5182 ± 0.0838,0.7341 ± 0.0462,0.5680 ± 0.0368,0.9024 ± 0.0139,0.5185 ± 0.0560,0.7182 ± 0.0140
43,gaussian_nb,chi2,0.8185 ± 0.0398,0.8320 ± 0.0436,0.7490 ± 0.0523,0.8889 ± 0.0101,0.7851 ± 0.0746,0.7798 ± 0.0390,0.7306 ± 0.0406,0.8845 ± 0.0229,0.7669 ± 0.0776,0.7376 ± 0.0223
44,gaussian_nb,chi2_mi_union_topk,0.7227 ± 0.0619,0.7390 ± 0.0799,0.6497 ± 0.0817,0.8969 ± 0.0280,0.6372 ± 0.1174,0.7437 ± 0.0415,0.6286 ± 0.0595,0.8904 ± 0.0107,0.6139 ± 0.0914,0.7216 ± 0.0154
