,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8099 ± 0.0319,0.8576 ± 0.0311,0.7847 ± 0.0426,0.8190 ± 0.0323,0.7803 ± 0.0412,0.8002 ± 0.0186,0.8452 ± 0.0191,0.7812 ± 0.0231,0.8118 ± 0.0180,0.7705 ± 0.0258
random_forest,0.8674 ± 0.0161,0.8755 ± 0.0240,0.8853 ± 0.0213,0.8801 ± 0.0141,0.9250 ± 0.0178,0.8571 ± 0.0125,0.8584 ± 0.0109,0.8875 ± 0.0134,0.8727 ± 0.0113,0.9152 ± 0.0110
extra_trees,0.8608 ± 0.0123,0.8645 ± 0.0173,0.8860 ± 0.0165,0.8749 ± 0.0108,0.9117 ± 0.0147,0.8505 ± 0.0133,0.8495 ± 0.0110,0.8860 ± 0.0140,0.8674 ± 0.0120,0.8997 ± 0.0102
xgboost,0.8608 ± 0.0213,0.8877 ± 0.0347,0.8567 ± 0.0234,0.8713 ± 0.0183,0.9156 ± 0.0157,0.8495 ± 0.0116,0.8633 ± 0.0077,0.8641 ± 0.0161,0.8637 ± 0.0112,0.9070 ± 0.0104
adaboost,0.8733 ± 0.0177,0.9150 ± 0.0246,0.8487 ± 0.0201,0.8804 ± 0.0166,0.9313 ± 0.0154,0.8626 ± 0.0093,0.8950 ± 0.0126,0.8510 ± 0.0075,0.8724 ± 0.0083,0.9154 ± 0.0077
svm,0.8652 ± 0.0228,0.8612 ± 0.0270,0.9007 ± 0.0252,0.8802 ± 0.0199,0.9227 ± 0.0206,0.8577 ± 0.0115,0.8538 ± 0.0090,0.8954 ± 0.0147,0.8741 ± 0.0106,0.9075 ± 0.0105
logistic_regression,0.8612 ± 0.0213,0.9088 ± 0.0231,0.8313 ± 0.0356,0.8678 ± 0.0221,0.9188 ± 0.0135,0.8528 ± 0.0110,0.8982 ± 0.0074,0.8271 ± 0.0157,0.8611 ± 0.0111,0.9065 ± 0.0084
knn,0.7846 ± 0.0194,0.9069 ± 0.0275,0.6787 ± 0.0418,0.7753 ± 0.0260,0.8648 ± 0.0311,0.7703 ± 0.0099,0.8896 ± 0.0103,0.6667 ± 0.0208,0.7619 ± 0.0130,0.8491 ± 0.0176
gaussian_nb,0.7875 ± 0.0276,0.8871 ± 0.0277,0.7040 ± 0.0563,0.7835 ± 0.0351,0.8799 ± 0.0182,0.7734 ± 0.0131,0.8731 ± 0.0114,0.6897 ± 0.0228,0.7705 ± 0.0156,0.8633 ± 0.0085
