,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7344 ± 0.0340,0.8557 ± 0.0242,0.8050 ± 0.0386,0.8290 ± 0.0237,0.6275 ± 0.0536,0.7440 ± 0.0219,0.8491 ± 0.0133,0.8285 ± 0.0235,0.8385 ± 0.0151,0.6142 ± 0.0319
random_forest,0.8603 ± 0.0157,0.8613 ± 0.0128,0.9843 ± 0.0099,0.9187 ± 0.0088,0.8260 ± 0.0285,0.8411 ± 0.0085,0.8496 ± 0.0052,0.9747 ± 0.0078,0.9079 ± 0.0050,0.7893 ± 0.0229
extra_trees,0.8497 ± 0.0179,0.8540 ± 0.0145,0.9802 ± 0.0089,0.9127 ± 0.0099,0.8315 ± 0.0338,0.8360 ± 0.0066,0.8462 ± 0.0047,0.9726 ± 0.0065,0.9050 ± 0.0039,0.7808 ± 0.0159
xgboost,0.8364 ± 0.0147,0.8687 ± 0.0110,0.9380 ± 0.0241,0.9018 ± 0.0098,0.8106 ± 0.0357,0.8091 ± 0.0164,0.8507 ± 0.0081,0.9246 ± 0.0139,0.8861 ± 0.0101,0.7409 ± 0.0259
adaboost,0.8185 ± 0.0212,0.8635 ± 0.0114,0.9190 ± 0.0280,0.8902 ± 0.0140,0.7668 ± 0.0398,0.7877 ± 0.0176,0.8449 ± 0.0122,0.9011 ± 0.0104,0.8721 ± 0.0103,0.7186 ± 0.0337
svm,0.8450 ± 0.0150,0.8487 ± 0.0118,0.9818 ± 0.0122,0.9104 ± 0.0085,0.7708 ± 0.0455,0.8283 ± 0.0117,0.8363 ± 0.0086,0.9776 ± 0.0067,0.9014 ± 0.0064,0.7241 ± 0.0292
logistic_regression,0.7364 ± 0.0165,0.8689 ± 0.0146,0.7909 ± 0.0304,0.8276 ± 0.0138,0.7226 ± 0.0412,0.7154 ± 0.0176,0.8460 ± 0.0109,0.7893 ± 0.0195,0.8166 ± 0.0125,0.6707 ± 0.0407
knn,0.7841 ± 0.0262,0.8825 ± 0.0168,0.8430 ± 0.0270,0.8621 ± 0.0177,0.7531 ± 0.0415,0.7754 ± 0.0141,0.8752 ± 0.0084,0.8402 ± 0.0171,0.8572 ± 0.0098,0.7393 ± 0.0228
gaussian_nb,0.5596 ± 0.0867,0.8980 ± 0.0206,0.5091 ± 0.1249,0.6413 ± 0.1008,0.7309 ± 0.0466,0.5531 ± 0.0584,0.8927 ± 0.0138,0.5046 ± 0.0855,0.6407 ± 0.0684,0.7117 ± 0.0128
