,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.7444 ± 0.0436,0.8568 ± 0.0317,0.8190 ± 0.0520,0.8365 ± 0.0305,0.6312 ± 0.0685,0.7237 ± 0.0181,0.8347 ± 0.0138,0.8181 ± 0.0165,0.8262 ± 0.0116,0.5786 ± 0.0336
random_forest,0.8417 ± 0.0164,0.8497 ± 0.0137,0.9752 ± 0.0110,0.9081 ± 0.0091,0.8375 ± 0.0268,0.8271 ± 0.0059,0.8402 ± 0.0055,0.9690 ± 0.0065,0.9000 ± 0.0033,0.7868 ± 0.0220
extra_trees,0.8444 ± 0.0137,0.8476 ± 0.0104,0.9826 ± 0.0106,0.9101 ± 0.0077,0.8464 ± 0.0208,0.8254 ± 0.0065,0.8356 ± 0.0060,0.9744 ± 0.0037,0.8996 ± 0.0034,0.7777 ± 0.0223
xgboost,0.8212 ± 0.0209,0.8584 ± 0.0144,0.9306 ± 0.0171,0.8929 ± 0.0126,0.8004 ± 0.0217,0.8009 ± 0.0170,0.8432 ± 0.0102,0.9238 ± 0.0115,0.8816 ± 0.0101,0.7577 ± 0.0347
adaboost,0.8245 ± 0.0177,0.8569 ± 0.0157,0.9380 ± 0.0184,0.8955 ± 0.0104,0.7944 ± 0.0324,0.7954 ± 0.0158,0.8409 ± 0.0102,0.9192 ± 0.0140,0.8783 ± 0.0096,0.7491 ± 0.0299
svm,0.8192 ± 0.0089,0.8264 ± 0.0144,0.9810 ± 0.0161,0.8969 ± 0.0039,0.7969 ± 0.0212,0.8083 ± 0.0125,0.8195 ± 0.0148,0.9769 ± 0.0118,0.8911 ± 0.0058,0.7352 ± 0.0260
logistic_regression,0.7397 ± 0.0214,0.8835 ± 0.0159,0.7785 ± 0.0365,0.8270 ± 0.0185,0.7379 ± 0.0224,0.7054 ± 0.0245,0.8647 ± 0.0105,0.7505 ± 0.0304,0.8033 ± 0.0193,0.6976 ± 0.0331
knn,0.6695 ± 0.0303,0.9168 ± 0.0248,0.6479 ± 0.0550,0.7574 ± 0.0320,0.7317 ± 0.0357,0.6646 ± 0.0244,0.8966 ± 0.0152,0.6587 ± 0.0399,0.7586 ± 0.0238,0.7023 ± 0.0228
gaussian_nb,0.5775 ± 0.1782,0.9153 ± 0.0146,0.5231 ± 0.2484,0.6309 ± 0.2173,0.7901 ± 0.0338,0.5494 ± 0.1260,0.9135 ± 0.0268,0.4907 ± 0.1887,0.6154 ± 0.1624,0.7201 ± 0.0163
