,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.5502 ± 0.0205,0.5937 ± 0.0174,0.5733 ± 0.0381,0.5830 ± 0.0261,0.5442 ± 0.0194,0.5297 ± 0.0124,0.5757 ± 0.0121,0.5632 ± 0.0215,0.5692 ± 0.0132,0.5200 ± 0.0129
random_forest,0.5769 ± 0.0271,0.5992 ± 0.0235,0.6973 ± 0.0281,0.6443 ± 0.0213,0.6064 ± 0.0353,0.5704 ± 0.0152,0.5939 ± 0.0120,0.7014 ± 0.0227,0.6431 ± 0.0138,0.5819 ± 0.0197
extra_trees,0.5711 ± 0.0204,0.5949 ± 0.0160,0.6880 ± 0.0308,0.6378 ± 0.0194,0.5946 ± 0.0224,0.5596 ± 0.0098,0.5884 ± 0.0088,0.6726 ± 0.0120,0.6277 ± 0.0076,0.5657 ± 0.0210
xgboost,0.5795 ± 0.0167,0.6122 ± 0.0161,0.6413 ± 0.0286,0.6261 ± 0.0170,0.6005 ± 0.0194,0.5572 ± 0.0176,0.5950 ± 0.0160,0.6197 ± 0.0212,0.6070 ± 0.0162,0.5696 ± 0.0229
adaboost,0.6150 ± 0.0218,0.6443 ± 0.0227,0.6707 ± 0.0273,0.6568 ± 0.0179,0.6520 ± 0.0231,0.6110 ± 0.0158,0.6369 ± 0.0180,0.6889 ± 0.0244,0.6615 ± 0.0125,0.6432 ± 0.0185
svm,0.5941 ± 0.0294,0.6269 ± 0.0247,0.6467 ± 0.0506,0.6359 ± 0.0314,0.6331 ± 0.0265,0.5868 ± 0.0223,0.6216 ± 0.0217,0.6444 ± 0.0233,0.6325 ± 0.0180,0.6041 ± 0.0240
logistic_regression,0.5960 ± 0.0255,0.6683 ± 0.0227,0.5247 ± 0.0518,0.5869 ± 0.0377,0.6297 ± 0.0343,0.5833 ± 0.0194,0.6549 ± 0.0226,0.5179 ± 0.0214,0.5784 ± 0.0209,0.6168 ± 0.0174
knn,0.5575 ± 0.0217,0.6092 ± 0.0180,0.5420 ± 0.0524,0.5727 ± 0.0340,0.5751 ± 0.0237,0.5376 ± 0.0180,0.5897 ± 0.0178,0.5342 ± 0.0293,0.5602 ± 0.0199,0.5575 ± 0.0220
gaussian_nb,0.5498 ± 0.0241,0.6584 ± 0.0451,0.3873 ± 0.0824,0.4817 ± 0.0571,0.6063 ± 0.0362,0.5436 ± 0.0155,0.6481 ± 0.0202,0.3855 ± 0.0904,0.4771 ± 0.0620,0.5832 ± 0.0161
