,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6391 ± 0.0405,0.7948 ± 0.0166,0.7405 ± 0.0505,0.7661 ± 0.0319,0.4852 ± 0.0380,0.6531 ± 0.0268,0.8042 ± 0.0118,0.7505 ± 0.0304,0.7763 ± 0.0204,0.5036 ± 0.0283
random_forest,0.7762 ± 0.0225,0.7985 ± 0.0060,0.9636 ± 0.0265,0.8733 ± 0.0142,0.4996 ± 0.0274,0.7877 ± 0.0094,0.8025 ± 0.0032,0.9758 ± 0.0118,0.8807 ± 0.0059,0.4975 ± 0.0494
extra_trees,0.7768 ± 0.0205,0.7995 ± 0.0066,0.9628 ± 0.0244,0.8735 ± 0.0131,0.4741 ± 0.0267,0.7834 ± 0.0108,0.8037 ± 0.0054,0.9662 ± 0.0105,0.8775 ± 0.0063,0.4848 ± 0.0692
xgboost,0.7397 ± 0.0182,0.7959 ± 0.0069,0.9083 ± 0.0290,0.8481 ± 0.0128,0.5061 ± 0.0332,0.7357 ± 0.0109,0.7976 ± 0.0064,0.8989 ± 0.0097,0.8452 ± 0.0066,0.4837 ± 0.0426
adaboost,0.7987 ± 0.0084,0.8008 ± 0.0017,0.9967 ± 0.0105,0.8880 ± 0.0052,0.5017 ± 0.0279,0.8003 ± 0.0028,0.8025 ± 0.0008,0.9964 ± 0.0038,0.8890 ± 0.0018,0.4962 ± 0.0358
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5959 ± 0.0408,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.5907 ± 0.0442
logistic_regression,0.5060 ± 0.0391,0.7939 ± 0.0190,0.5174 ± 0.0526,0.6254 ± 0.0414,0.4771 ± 0.0357,0.5080 ± 0.0444,0.8010 ± 0.0314,0.5139 ± 0.0439,0.6257 ± 0.0420,0.4892 ± 0.0582
knn,0.7530 ± 0.0248,0.8057 ± 0.0068,0.9116 ± 0.0340,0.8551 ± 0.0169,0.5300 ± 0.0303,0.7466 ± 0.0149,0.8009 ± 0.0055,0.9107 ± 0.0176,0.8522 ± 0.0097,0.4931 ± 0.0281
gaussian_nb,0.5192 ± 0.0406,0.8324 ± 0.0166,0.5008 ± 0.0587,0.6236 ± 0.0484,0.5629 ± 0.0301,0.5197 ± 0.0258,0.8417 ± 0.0112,0.4950 ± 0.0395,0.6225 ± 0.0318,0.5785 ± 0.0230
