,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.8846 ± 0.0108,0.8986 ± 0.0183,0.8913 ± 0.0281,0.8945 ± 0.0110,0.8839 ± 0.0104,0.8604 ± 0.0083,0.8718 ± 0.0121,0.8761 ± 0.0150,0.8738 ± 0.0077,0.8586 ± 0.0085
random_forest,0.9319 ± 0.0153,0.9528 ± 0.0187,0.9220 ± 0.0220,0.9369 ± 0.0144,0.9780 ± 0.0062,0.9220 ± 0.0062,0.9510 ± 0.0074,0.9054 ± 0.0064,0.9276 ± 0.0057,0.9690 ± 0.0029
extra_trees,0.9337 ± 0.0139,0.9531 ± 0.0198,0.9253 ± 0.0220,0.9388 ± 0.0129,0.9784 ± 0.0058,0.9179 ± 0.0068,0.9420 ± 0.0063,0.9071 ± 0.0081,0.9242 ± 0.0064,0.9692 ± 0.0025
xgboost,0.9344 ± 0.0126,0.9531 ± 0.0177,0.9267 ± 0.0227,0.9394 ± 0.0120,0.9765 ± 0.0053,0.9162 ± 0.0070,0.9403 ± 0.0093,0.9057 ± 0.0061,0.9227 ± 0.0063,0.9675 ± 0.0035
adaboost,0.9201 ± 0.0137,0.9372 ± 0.0215,0.9167 ± 0.0202,0.9266 ± 0.0126,0.9716 ± 0.0064,0.9121 ± 0.0049,0.9339 ± 0.0076,0.9048 ± 0.0038,0.9191 ± 0.0043,0.9637 ± 0.0044
svm,0.9319 ± 0.0138,0.9590 ± 0.0118,0.9153 ± 0.0248,0.9364 ± 0.0139,0.9742 ± 0.0060,0.9164 ± 0.0073,0.9422 ± 0.0088,0.9040 ± 0.0076,0.9227 ± 0.0067,0.9636 ± 0.0036
logistic_regression,0.9095 ± 0.0145,0.9241 ± 0.0200,0.9107 ± 0.0236,0.9170 ± 0.0134,0.9525 ± 0.0100,0.8882 ± 0.0125,0.9040 ± 0.0154,0.8923 ± 0.0084,0.8981 ± 0.0109,0.9439 ± 0.0090
knn,0.8630 ± 0.0185,0.9915 ± 0.0080,0.7573 ± 0.0364,0.8582 ± 0.0223,0.9331 ± 0.0146,0.8596 ± 0.0070,0.9914 ± 0.0035,0.7521 ± 0.0135,0.8553 ± 0.0084,0.9258 ± 0.0064
gaussian_nb,0.9231 ± 0.0108,0.9482 ± 0.0144,0.9100 ± 0.0211,0.9285 ± 0.0107,0.9490 ± 0.0103,0.9104 ± 0.0060,0.9337 ± 0.0069,0.9017 ± 0.0107,0.9174 ± 0.0058,0.9332 ± 0.0049
