,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6748 ± 0.0474,0.8218 ± 0.0252,0.7587 ± 0.0528,0.7883 ± 0.0356,0.5455 ± 0.0498,0.6914 ± 0.0289,0.8243 ± 0.0141,0.7822 ± 0.0269,0.8026 ± 0.0202,0.5442 ± 0.0336
random_forest,0.7934 ± 0.0321,0.8230 ± 0.0137,0.9455 ± 0.0340,0.8798 ± 0.0202,0.6383 ± 0.0463,0.8020 ± 0.0087,0.8266 ± 0.0046,0.9534 ± 0.0103,0.8855 ± 0.0054,0.6222 ± 0.0465
extra_trees,0.8033 ± 0.0177,0.8254 ± 0.0091,0.9570 ± 0.0178,0.8863 ± 0.0107,0.6132 ± 0.0342,0.8034 ± 0.0102,0.8279 ± 0.0066,0.9534 ± 0.0081,0.8862 ± 0.0059,0.5942 ± 0.0426
xgboost,0.7768 ± 0.0190,0.8257 ± 0.0123,0.9149 ± 0.0240,0.8678 ± 0.0122,0.6249 ± 0.0513,0.7643 ± 0.0090,0.8226 ± 0.0063,0.9007 ± 0.0097,0.8599 ± 0.0055,0.6040 ± 0.0441
adaboost,0.7987 ± 0.0056,0.8016 ± 0.0023,0.9950 ± 0.0070,0.8879 ± 0.0034,0.6583 ± 0.0353,0.7957 ± 0.0049,0.8027 ± 0.0022,0.9886 ± 0.0090,0.8860 ± 0.0033,0.6381 ± 0.0279
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.5150 ± 0.0712,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.4929 ± 0.0489
logistic_regression,0.6079 ± 0.0398,0.8589 ± 0.0307,0.6116 ± 0.0463,0.7135 ± 0.0356,0.6527 ± 0.0365,0.5989 ± 0.0192,0.8419 ± 0.0124,0.6160 ± 0.0195,0.7113 ± 0.0160,0.6165 ± 0.0234
knn,0.7358 ± 0.0325,0.8229 ± 0.0181,0.8545 ± 0.0401,0.8379 ± 0.0223,0.6106 ± 0.0356,0.7466 ± 0.0164,0.8259 ± 0.0134,0.8676 ± 0.0221,0.8460 ± 0.0108,0.5936 ± 0.0322
gaussian_nb,0.5960 ± 0.0413,0.8752 ± 0.0215,0.5785 ± 0.0534,0.6954 ± 0.0391,0.6443 ± 0.0381,0.5957 ± 0.0203,0.8709 ± 0.0123,0.5829 ± 0.0251,0.6981 ± 0.0192,0.6440 ± 0.0220
