,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
decision_tree,0.6391 ± 0.0405,0.7948 ± 0.0166,0.7405 ± 0.0505,0.7661 ± 0.0319,0.4852 ± 0.0380,0.6529 ± 0.0262,0.8046 ± 0.0119,0.7495 ± 0.0296,0.7759 ± 0.0199,0.5045 ± 0.0284
random_forest,0.7762 ± 0.0220,0.7985 ± 0.0058,0.9636 ± 0.0262,0.8733 ± 0.0139,0.4994 ± 0.0279,0.7880 ± 0.0089,0.8025 ± 0.0032,0.9762 ± 0.0110,0.8808 ± 0.0055,0.4980 ± 0.0506
extra_trees,0.7768 ± 0.0205,0.7995 ± 0.0066,0.9628 ± 0.0244,0.8735 ± 0.0131,0.4741 ± 0.0267,0.7834 ± 0.0108,0.8037 ± 0.0054,0.9662 ± 0.0105,0.8775 ± 0.0063,0.4848 ± 0.0692
xgboost,0.7397 ± 0.0182,0.7959 ± 0.0069,0.9083 ± 0.0290,0.8481 ± 0.0128,0.5061 ± 0.0332,0.7357 ± 0.0109,0.7976 ± 0.0064,0.8989 ± 0.0097,0.8452 ± 0.0066,0.4837 ± 0.0426
adaboost,0.7987 ± 0.0084,0.8008 ± 0.0017,0.9967 ± 0.0105,0.8880 ± 0.0052,0.5017 ± 0.0279,0.8003 ± 0.0028,0.8025 ± 0.0008,0.9964 ± 0.0038,0.8890 ± 0.0018,0.4962 ± 0.0358
svm,0.8013 ± 0.0000,0.8013 ± 0.0000,1.0000 ± 0.0000,0.8897 ± 0.0000,0.6142 ± 0.0334,0.8029 ± 0.0000,0.8029 ± 0.0000,1.0000 ± 0.0000,0.8906 ± 0.0000,0.5890 ± 0.0510
logistic_regression,0.5000 ± 0.0381,0.7822 ± 0.0225,0.5207 ± 0.0474,0.6243 ± 0.0385,0.4456 ± 0.0332,0.5063 ± 0.0355,0.7890 ± 0.0239,0.5249 ± 0.0370,0.6301 ± 0.0335,0.4545 ± 0.0649
knn,0.7391 ± 0.0126,0.8011 ± 0.0103,0.8975 ± 0.0214,0.8464 ± 0.0085,0.5007 ± 0.0475,0.7366 ± 0.0297,0.7959 ± 0.0079,0.9032 ± 0.0362,0.8460 ± 0.0200,0.4772 ± 0.0248
gaussian_nb,0.5192 ± 0.0406,0.8324 ± 0.0166,0.5008 ± 0.0587,0.6236 ± 0.0484,0.5626 ± 0.0300,0.5200 ± 0.0254,0.8423 ± 0.0121,0.4950 ± 0.0395,0.6226 ± 0.0316,0.5781 ± 0.0236
