Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,spearman_corr,0.4312 ± 0.0165,0.4215 ± 0.0243,0.5868 ± 0.0189,0.4376 ± 0.0563,0.4537 ± 0.0216,0.7118 ± 0.0196,0.5204 ± 0.0362,0.5868 ± 0.0189,0.5370 ± 0.0196,0.7340 ± 0.0207,0.5814 ± 0.0119,0.4639 ± 0.0321,0.4536 ± 0.0154,0.7055 ± 0.0111,0.5321 ± 0.0229,0.5814 ± 0.0119,0.5387 ± 0.0135,0.7251 ± 0.0114
extra_trees,spearman_sulov,0.4260 ± 0.0154,0.4146 ± 0.0214,0.5758 ± 0.0149,0.4353 ± 0.0543,0.4419 ± 0.0172,0.7092 ± 0.0134,0.5122 ± 0.0328,0.5758 ± 0.0149,0.5272 ± 0.0159,0.7306 ± 0.0149,0.5786 ± 0.0097,0.4566 ± 0.0287,0.4489 ± 0.0104,0.7087 ± 0.0075,0.5266 ± 0.0176,0.5786 ± 0.0097,0.5349 ± 0.0117,0.7270 ± 0.0088
extra_trees,mutual_info,0.4395 ± 0.0139,0.4373 ± 0.0361,0.5850 ± 0.0242,0.4700 ± 0.0639,0.4594 ± 0.0294,0.7142 ± 0.0188,0.5408 ± 0.0436,0.5850 ± 0.0242,0.5452 ± 0.0278,0.7352 ± 0.0197,0.5780 ± 0.0114,0.4664 ± 0.0250,0.4581 ± 0.0128,0.7046 ± 0.0131,0.5369 ± 0.0174,0.5780 ± 0.0114,0.5430 ± 0.0121,0.7232 ± 0.0132
extra_trees,chi2,0.4333 ± 0.0263,0.4308 ± 0.0391,0.5692 ± 0.0250,0.4394 ± 0.0507,0.4484 ± 0.0323,0.6973 ± 0.0170,0.5205 ± 0.0361,0.5692 ± 0.0250,0.5358 ± 0.0288,0.7192 ± 0.0187,0.5632 ± 0.0197,0.4487 ± 0.0370,0.4474 ± 0.0230,0.6919 ± 0.0111,0.5248 ± 0.0267,0.5632 ± 0.0197,0.5345 ± 0.0212,0.7116 ± 0.0116
extra_trees,chi2_mi_union_topk,0.4365 ± 0.0240,0.4294 ± 0.0293,0.5678 ± 0.0252,0.4412 ± 0.0386,0.4464 ± 0.0281,0.6961 ± 0.0166,0.5200 ± 0.0288,0.5678 ± 0.0252,0.5338 ± 0.0236,0.7182 ± 0.0164,0.5670 ± 0.0179,0.4497 ± 0.0354,0.4514 ± 0.0208,0.6934 ± 0.0127,0.5273 ± 0.0229,0.5670 ± 0.0179,0.5380 ± 0.0180,0.7138 ± 0.0130
xgboost,spearman_corr,0.4300 ± 0.0119,0.4343 ± 0.0250,0.5667 ± 0.0201,0.4454 ± 0.0293,0.4449 ± 0.0224,0.6996 ± 0.0151,0.5232 ± 0.0236,0.5667 ± 0.0201,0.5368 ± 0.0207,0.7223 ± 0.0175,0.5536 ± 0.0135,0.4388 ± 0.0137,0.4380 ± 0.0133,0.6870 ± 0.0099,0.5155 ± 0.0121,0.5536 ± 0.0135,0.5284 ± 0.0125,0.7064 ± 0.0104
xgboost,spearman_sulov,0.4337 ± 0.0136,0.4330 ± 0.0325,0.5667 ± 0.0226,0.4422 ± 0.0442,0.4437 ± 0.0267,0.6971 ± 0.0167,0.5220 ± 0.0326,0.5667 ± 0.0226,0.5365 ± 0.0260,0.7203 ± 0.0185,0.5568 ± 0.0117,0.4424 ± 0.0161,0.4408 ± 0.0126,0.6862 ± 0.0108,0.5198 ± 0.0122,0.5568 ± 0.0117,0.5325 ± 0.0116,0.7070 ± 0.0099
xgboost,mutual_info,0.4237 ± 0.0325,0.4256 ± 0.0271,0.5564 ± 0.0209,0.4338 ± 0.0312,0.4356 ± 0.0236,0.6924 ± 0.0171,0.5147 ± 0.0242,0.5564 ± 0.0209,0.5286 ± 0.0223,0.7167 ± 0.0157,0.5425 ± 0.0207,0.4299 ± 0.0370,0.4298 ± 0.0284,0.6801 ± 0.0143,0.5077 ± 0.0288,0.5425 ± 0.0207,0.5204 ± 0.0250,0.7008 ± 0.0148
xgboost,chi2,0.4199 ± 0.0145,0.4367 ± 0.0246,0.5531 ± 0.0180,0.4429 ± 0.0262,0.4424 ± 0.0211,0.6725 ± 0.0167,0.5187 ± 0.0228,0.5531 ± 0.0180,0.5313 ± 0.0207,0.6936 ± 0.0159,0.5291 ± 0.0114,0.4231 ± 0.0147,0.4239 ± 0.0135,0.6646 ± 0.0123,0.5021 ± 0.0132,0.5291 ± 0.0114,0.5129 ± 0.0125,0.6830 ± 0.0125
xgboost,chi2_mi_union_topk,0.4295 ± 0.0197,0.4190 ± 0.0167,0.5396 ± 0.0234,0.4229 ± 0.0159,0.4266 ± 0.0170,0.6714 ± 0.0203,0.5035 ± 0.0187,0.5396 ± 0.0234,0.5171 ± 0.0197,0.6927 ± 0.0221,0.5373 ± 0.0173,0.4329 ± 0.0229,0.4336 ± 0.0184,0.6670 ± 0.0115,0.5116 ± 0.0172,0.5373 ± 0.0173,0.5217 ± 0.0162,0.6858 ± 0.0112
adaboost,spearman_corr,0.4451 ± 0.0121,0.4370 ± 0.0232,0.5648 ± 0.0190,0.4464 ± 0.0258,0.4478 ± 0.0187,0.6788 ± 0.0233,0.5268 ± 0.0199,0.5648 ± 0.0190,0.5386 ± 0.0193,0.7049 ± 0.0225,0.5604 ± 0.0129,0.4562 ± 0.0157,0.4496 ± 0.0113,0.6702 ± 0.0182,0.5291 ± 0.0119,0.5604 ± 0.0129,0.5392 ± 0.0118,0.6930 ± 0.0149
adaboost,spearman_sulov,0.4431 ± 0.0153,0.4297 ± 0.0351,0.5597 ± 0.0262,0.4379 ± 0.0492,0.4420 ± 0.0303,0.6757 ± 0.0271,0.5190 ± 0.0361,0.5597 ± 0.0262,0.5319 ± 0.0287,0.7022 ± 0.0251,0.5549 ± 0.0126,0.4523 ± 0.0184,0.4467 ± 0.0140,0.6692 ± 0.0140,0.5257 ± 0.0134,0.5549 ± 0.0126,0.5356 ± 0.0124,0.6925 ± 0.0115
adaboost,mutual_info,0.4415 ± 0.0243,0.4446 ± 0.0264,0.5678 ± 0.0236,0.4574 ± 0.0296,0.4528 ± 0.0232,0.6882 ± 0.0274,0.5335 ± 0.0217,0.5678 ± 0.0236,0.5430 ± 0.0209,0.7127 ± 0.0245,0.5566 ± 0.0201,0.4513 ± 0.0273,0.4460 ± 0.0219,0.6679 ± 0.0157,0.5252 ± 0.0214,0.5566 ± 0.0201,0.5357 ± 0.0206,0.6902 ± 0.0137
adaboost,chi2,0.4400 ± 0.0202,0.4452 ± 0.0187,0.5692 ± 0.0188,0.4688 ± 0.0488,0.4564 ± 0.0217,0.6931 ± 0.0227,0.5412 ± 0.0306,0.5692 ± 0.0188,0.5439 ± 0.0162,0.7158 ± 0.0204,0.5547 ± 0.0164,0.4486 ± 0.0244,0.4449 ± 0.0186,0.6776 ± 0.0104,0.5238 ± 0.0177,0.5547 ± 0.0164,0.5344 ± 0.0162,0.6988 ± 0.0108
adaboost,chi2_mi_union_topk,0.4369 ± 0.0162,0.4481 ± 0.0290,0.5689 ± 0.0263,0.4711 ± 0.0398,0.4565 ± 0.0250,0.6932 ± 0.0243,0.5398 ± 0.0258,0.5689 ± 0.0263,0.5436 ± 0.0232,0.7128 ± 0.0226,0.5557 ± 0.0108,0.4448 ± 0.0191,0.4453 ± 0.0132,0.6836 ± 0.0130,0.5233 ± 0.0136,0.5557 ± 0.0108,0.5340 ± 0.0116,0.7021 ± 0.0109
svm,spearman_corr,0.3908 ± 0.0100,0.3976 ± 0.0198,0.5883 ± 0.0170,0.3826 ± 0.0594,0.4399 ± 0.0200,0.7155 ± 0.0192,0.4787 ± 0.0376,0.5883 ± 0.0170,0.5198 ± 0.0184,0.7377 ± 0.0201,0.5807 ± 0.0081,0.4091 ± 0.1052,0.4313 ± 0.0100,0.6970 ± 0.0104,0.4911 ± 0.0593,0.5807 ± 0.0081,0.5136 ± 0.0094,0.7167 ± 0.0109
svm,spearman_sulov,0.3939 ± 0.0091,0.3998 ± 0.0202,0.5886 ± 0.0216,0.3832 ± 0.0617,0.4424 ± 0.0199,0.7184 ± 0.0187,0.4809 ± 0.0392,0.5886 ± 0.0216,0.5220 ± 0.0199,0.7397 ± 0.0194,0.5830 ± 0.0085,0.3803 ± 0.0440,0.4354 ± 0.0092,0.6987 ± 0.0113,0.4775 ± 0.0269,0.5830 ± 0.0085,0.5173 ± 0.0087,0.7186 ± 0.0119
svm,mutual_info,0.4030 ± 0.0128,0.4160 ± 0.0175,0.5960 ± 0.0149,0.4357 ± 0.1171,0.4596 ± 0.0158,0.7127 ± 0.0160,0.5192 ± 0.0671,0.5960 ± 0.0149,0.5362 ± 0.0149,0.7348 ± 0.0176,0.5860 ± 0.0143,0.3834 ± 0.0526,0.4466 ± 0.0146,0.7006 ± 0.0103,0.4858 ± 0.0308,0.5860 ± 0.0143,0.5257 ± 0.0136,0.7212 ± 0.0114
svm,chi2,0.4107 ± 0.0171,0.4138 ± 0.0246,0.5780 ± 0.0184,0.4450 ± 0.0543,0.4436 ± 0.0203,0.6958 ± 0.0238,0.5189 ± 0.0345,0.5780 ± 0.0184,0.5279 ± 0.0214,0.7186 ± 0.0241,0.5725 ± 0.0128,0.4310 ± 0.0443,0.4399 ± 0.0147,0.6885 ± 0.0100,0.5096 ± 0.0283,0.5725 ± 0.0128,0.5243 ± 0.0148,0.7088 ± 0.0109
svm,chi2_mi_union_topk,0.4178 ± 0.0138,0.4140 ± 0.0256,0.5853 ± 0.0204,0.4139 ± 0.0743,0.4517 ± 0.0221,0.6981 ± 0.0217,0.5051 ± 0.0476,0.5853 ± 0.0204,0.5315 ± 0.0211,0.7196 ± 0.0213,0.5825 ± 0.0083,0.4400 ± 0.0410,0.4511 ± 0.0103,0.6902 ± 0.0124,0.5195 ± 0.0249,0.5825 ± 0.0083,0.5328 ± 0.0096,0.7103 ± 0.0127
logistic_regression,spearman_corr,0.4211 ± 0.0237,0.4422 ± 0.0184,0.5176 ± 0.0204,0.4438 ± 0.0190,0.4435 ± 0.0183,0.6361 ± 0.0165,0.5278 ± 0.0235,0.5176 ± 0.0204,0.5214 ± 0.0209,0.6642 ± 0.0201,0.4884 ± 0.0248,0.4226 ± 0.0236,0.4218 ± 0.0240,0.6094 ± 0.0174,0.5075 ± 0.0250,0.4884 ± 0.0248,0.4968 ± 0.0248,0.6355 ± 0.0188
logistic_regression,spearman_sulov,0.4200 ± 0.0189,0.4395 ± 0.0220,0.5190 ± 0.0180,0.4418 ± 0.0243,0.4410 ± 0.0222,0.6397 ± 0.0165,0.5313 ± 0.0251,0.5190 ± 0.0180,0.5234 ± 0.0185,0.6685 ± 0.0170,0.4887 ± 0.0188,0.4216 ± 0.0183,0.4208 ± 0.0197,0.6080 ± 0.0188,0.5080 ± 0.0181,0.4887 ± 0.0188,0.4971 ± 0.0182,0.6335 ± 0.0186
logistic_regression,mutual_info,0.4229 ± 0.0107,0.4324 ± 0.0228,0.5103 ± 0.0183,0.4352 ± 0.0236,0.4334 ± 0.0225,0.6262 ± 0.0113,0.5259 ± 0.0207,0.5103 ± 0.0183,0.5164 ± 0.0176,0.6574 ± 0.0123,0.4907 ± 0.0107,0.4250 ± 0.0105,0.4236 ± 0.0112,0.6103 ± 0.0127,0.5124 ± 0.0115,0.4907 ± 0.0107,0.5002 ± 0.0106,0.6384 ± 0.0131
logistic_regression,chi2,0.4295 ± 0.0201,0.4311 ± 0.0270,0.5062 ± 0.0250,0.4344 ± 0.0273,0.4314 ± 0.0280,0.6165 ± 0.0246,0.5245 ± 0.0293,0.5062 ± 0.0250,0.5137 ± 0.0254,0.6509 ± 0.0241,0.4962 ± 0.0175,0.4337 ± 0.0205,0.4299 ± 0.0210,0.6146 ± 0.0126,0.5263 ± 0.0214,0.4962 ± 0.0175,0.5091 ± 0.0187,0.6476 ± 0.0134
logistic_regression,chi2_mi_union_topk,0.4495 ± 0.0215,0.4362 ± 0.0305,0.5161 ± 0.0305,0.4387 ± 0.0306,0.4360 ± 0.0309,0.6510 ± 0.0248,0.5306 ± 0.0316,0.5161 ± 0.0305,0.5224 ± 0.0304,0.6825 ± 0.0253,0.5173 ± 0.0196,0.4523 ± 0.0205,0.4508 ± 0.0223,0.6476 ± 0.0112,0.5414 ± 0.0162,0.5173 ± 0.0196,0.5277 ± 0.0180,0.6771 ± 0.0112
knn,spearman_corr,0.4013 ± 0.0178,0.3893 ± 0.0314,0.5568 ± 0.0155,0.4466 ± 0.0482,0.4058 ± 0.0223,0.6266 ± 0.0220,0.5078 ± 0.0369,0.5568 ± 0.0155,0.4958 ± 0.0229,0.6553 ± 0.0213,0.5572 ± 0.0127,0.4633 ± 0.0289,0.4136 ± 0.0146,0.6230 ± 0.0158,0.5149 ± 0.0218,0.5572 ± 0.0127,0.4999 ± 0.0137,0.6450 ± 0.0141
knn,spearman_sulov,0.3982 ± 0.0127,0.3938 ± 0.0316,0.5593 ± 0.0167,0.4403 ± 0.0385,0.4099 ± 0.0240,0.6302 ± 0.0266,0.5051 ± 0.0301,0.5593 ± 0.0167,0.5009 ± 0.0241,0.6593 ± 0.0241,0.5552 ± 0.0121,0.4550 ± 0.0193,0.4105 ± 0.0111,0.6203 ± 0.0084,0.5110 ± 0.0144,0.5552 ± 0.0121,0.4992 ± 0.0113,0.6423 ± 0.0081
knn,mutual_info,0.4192 ± 0.0159,0.4114 ± 0.0237,0.5568 ± 0.0170,0.4487 ± 0.0352,0.4213 ± 0.0193,0.6412 ± 0.0183,0.5133 ± 0.0305,0.5568 ± 0.0170,0.5112 ± 0.0201,0.6705 ± 0.0185,0.5591 ± 0.0098,0.4545 ± 0.0186,0.4270 ± 0.0133,0.6383 ± 0.0161,0.5153 ± 0.0150,0.5591 ± 0.0098,0.5154 ± 0.0120,0.6641 ± 0.0159
knn,chi2,0.4000 ± 0.0125,0.4035 ± 0.0274,0.5495 ± 0.0179,0.4296 ± 0.0319,0.4144 ± 0.0238,0.6417 ± 0.0259,0.5008 ± 0.0247,0.5495 ± 0.0179,0.5059 ± 0.0208,0.6706 ± 0.0256,0.5409 ± 0.0105,0.4330 ± 0.0154,0.4118 ± 0.0102,0.6397 ± 0.0128,0.4982 ± 0.0138,0.5409 ± 0.0105,0.4969 ± 0.0125,0.6628 ± 0.0099
knn,chi2_mi_union_topk,0.4080 ± 0.0215,0.4059 ± 0.0234,0.5447 ± 0.0244,0.4250 ± 0.0278,0.4143 ± 0.0211,0.6576 ± 0.0219,0.4967 ± 0.0253,0.5447 ± 0.0244,0.5066 ± 0.0240,0.6832 ± 0.0231,0.5406 ± 0.0142,0.4285 ± 0.0252,0.4141 ± 0.0177,0.6472 ± 0.0144,0.4983 ± 0.0207,0.5406 ± 0.0142,0.5056 ± 0.0174,0.6737 ± 0.0129
gaussian_nb,spearman_corr,0.4298 ± 0.0350,0.4416 ± 0.0434,0.5029 ± 0.0443,0.4670 ± 0.0308,0.4641 ± 0.0326,0.6670 ± 0.0288,0.5664 ± 0.0241,0.5029 ± 0.0443,0.5125 ± 0.0446,0.6956 ± 0.0238,0.4778 ± 0.0464,0.4642 ± 0.0187,0.4534 ± 0.0228,0.6457 ± 0.0154,0.5636 ± 0.0188,0.4778 ± 0.0464,0.4923 ± 0.0467,0.6742 ± 0.0124
gaussian_nb,spearman_sulov,0.4237 ± 0.0370,0.4437 ± 0.0540,0.5066 ± 0.0509,0.4682 ± 0.0407,0.4664 ± 0.0398,0.6684 ± 0.0328,0.5675 ± 0.0313,0.5066 ± 0.0509,0.5148 ± 0.0559,0.6972 ± 0.0272,0.4742 ± 0.0458,0.4598 ± 0.0212,0.4481 ± 0.0243,0.6442 ± 0.0129,0.5619 ± 0.0209,0.4742 ± 0.0458,0.4887 ± 0.0468,0.6729 ± 0.0111
gaussian_nb,mutual_info,0.4581 ± 0.0237,0.4558 ± 0.0490,0.5366 ± 0.0525,0.4982 ± 0.0332,0.4833 ± 0.0342,0.6989 ± 0.0241,0.5848 ± 0.0341,0.5366 ± 0.0525,0.5334 ± 0.0509,0.7179 ± 0.0221,0.5228 ± 0.0196,0.4766 ± 0.0136,0.4724 ± 0.0175,0.6720 ± 0.0097,0.5650 ± 0.0138,0.5228 ± 0.0196,0.5320 ± 0.0218,0.6932 ± 0.0092
gaussian_nb,chi2,0.4442 ± 0.0187,0.4342 ± 0.0259,0.5462 ± 0.0257,0.4787 ± 0.0376,0.4691 ± 0.0206,0.6979 ± 0.0228,0.5628 ± 0.0340,0.5462 ± 0.0257,0.5247 ± 0.0271,0.7146 ± 0.0235,0.5341 ± 0.0179,0.4617 ± 0.0143,0.4642 ± 0.0136,0.6798 ± 0.0088,0.5462 ± 0.0114,0.5341 ± 0.0179,0.5267 ± 0.0193,0.6959 ± 0.0081
gaussian_nb,chi2_mi_union_topk,0.4770 ± 0.0148,0.4596 ± 0.0438,0.5681 ± 0.0290,0.4884 ± 0.0362,0.4951 ± 0.0217,0.7206 ± 0.0213,0.5730 ± 0.0287,0.5681 ± 0.0290,0.5472 ± 0.0400,0.7352 ± 0.0214,0.5585 ± 0.0128,0.4873 ± 0.0126,0.4871 ± 0.0137,0.7029 ± 0.0090,0.5676 ± 0.0124,0.5585 ± 0.0128,0.5558 ± 0.0142,0.7176 ± 0.0081
