,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.3973 ± 0.0278,0.4060 ± 0.0133,0.4769 ± 0.0273,0.3998 ± 0.0297,0.3966 ± 0.0270,0.5549 ± 0.0213,0.4739 ± 0.0275,0.4769 ± 0.0273,0.4748 ± 0.0266,0.5698 ± 0.0238,0.4761 ± 0.0128,0.4060 ± 0.0129,0.4071 ± 0.0144,0.5628 ± 0.0094,0.4829 ± 0.0103,0.4761 ± 0.0128,0.4791 ± 0.0110,0.5779 ± 0.0094
1,random_forest,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4067 ± 0.0175,0.4132 ± 0.0282,0.5729 ± 0.0188,0.4360 ± 0.0481,0.4316 ± 0.0154,0.7129 ± 0.0182,0.5068 ± 0.0311,0.5729 ± 0.0188,0.5194 ± 0.0152,0.7341 ± 0.0214,0.5682 ± 0.0217,0.4465 ± 0.0307,0.4341 ± 0.0276,0.7031 ± 0.0092,0.5124 ± 0.0281,0.5682 ± 0.0217,0.5211 ± 0.0255,0.7209 ± 0.0092
2,extra_trees,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4232 ± 0.0175,0.4368 ± 0.0105,0.5744 ± 0.0191,0.4549 ± 0.0507,0.4460 ± 0.0128,0.7144 ± 0.0231,0.5257 ± 0.0300,0.5744 ± 0.0191,0.5320 ± 0.0161,0.7360 ± 0.0254,0.5789 ± 0.0095,0.4695 ± 0.0187,0.4552 ± 0.0121,0.7057 ± 0.0130,0.5350 ± 0.0121,0.5789 ± 0.0095,0.5404 ± 0.0105,0.7233 ± 0.0129
3,xgboost,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4145 ± 0.0517,0.4300 ± 0.0130,0.5612 ± 0.0385,0.4204 ± 0.0718,0.4307 ± 0.0443,0.6983 ± 0.0195,0.5069 ± 0.0503,0.5612 ± 0.0385,0.5251 ± 0.0405,0.7222 ± 0.0252,0.5541 ± 0.0084,0.4375 ± 0.0166,0.4367 ± 0.0105,0.6879 ± 0.0130,0.5151 ± 0.0118,0.5541 ± 0.0084,0.5289 ± 0.0101,0.7069 ± 0.0106
4,adaboost,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4415 ± 0.0287,0.4462 ± 0.0323,0.5744 ± 0.0206,0.4629 ± 0.0621,0.4545 ± 0.0240,0.6773 ± 0.0310,0.5351 ± 0.0364,0.5744 ± 0.0206,0.5430 ± 0.0193,0.7044 ± 0.0306,0.5550 ± 0.0169,0.4579 ± 0.0396,0.4487 ± 0.0274,0.6607 ± 0.0178,0.5265 ± 0.0261,0.5550 ± 0.0169,0.5355 ± 0.0211,0.6851 ± 0.0140
5,svm,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4080 ± 0.0108,0.4077 ± 0.0066,0.5846 ± 0.0167,0.4801 ± 0.1349,0.4443 ± 0.0082,0.7191 ± 0.0272,0.5373 ± 0.0761,0.5846 ± 0.0167,0.5262 ± 0.0110,0.7416 ± 0.0287,0.5783 ± 0.0061,0.4287 ± 0.0399,0.4406 ± 0.0043,0.6972 ± 0.0129,0.5067 ± 0.0213,0.5783 ± 0.0061,0.5237 ± 0.0030,0.7170 ± 0.0149
6,logistic_regression,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4366 ± 0.0434,0.4279 ± 0.0211,0.5194 ± 0.0454,0.4389 ± 0.0422,0.4370 ± 0.0437,0.6336 ± 0.0283,0.5329 ± 0.0368,0.5194 ± 0.0454,0.5248 ± 0.0411,0.6691 ± 0.0311,0.4906 ± 0.0193,0.4305 ± 0.0201,0.4295 ± 0.0223,0.6111 ± 0.0186,0.5173 ± 0.0198,0.4906 ± 0.0193,0.5018 ± 0.0192,0.6389 ± 0.0174
7,knn,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4022 ± 0.0180,0.3949 ± 0.0137,0.5634 ± 0.0128,0.4468 ± 0.0210,0.4167 ± 0.0147,0.6358 ± 0.0131,0.5100 ± 0.0159,0.5634 ± 0.0128,0.5074 ± 0.0129,0.6702 ± 0.0177,0.5503 ± 0.0168,0.4394 ± 0.0197,0.4070 ± 0.0127,0.6223 ± 0.0129,0.5009 ± 0.0165,0.5503 ± 0.0168,0.4976 ± 0.0144,0.6477 ± 0.0136
8,gaussian_nb,SULOV + ExtraTrees,259.6400 ± 0.2608,NA,261,0.4712 ± 0.0288,0.4918 ± 0.0132,0.5744 ± 0.0304,0.4783 ± 0.0292,0.4733 ± 0.0265,0.7086 ± 0.0260,0.5590 ± 0.0223,0.5744 ± 0.0304,0.5633 ± 0.0252,0.7247 ± 0.0259,0.5720 ± 0.0145,0.4936 ± 0.0148,0.4918 ± 0.0128,0.6982 ± 0.0114,0.5685 ± 0.0127,0.5720 ± 0.0145,0.5697 ± 0.0131,0.7138 ± 0.0103
