,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV,518.6800 ± 0.6261,NA,522,0.4065 ± 0.0319,0.3992 ± 0.0192,0.4806 ± 0.0336,0.4081 ± 0.0308,0.4065 ± 0.0330,0.5632 ± 0.0268,0.4854 ± 0.0338,0.4806 ± 0.0336,0.4822 ± 0.0331,0.5799 ± 0.0317,0.4704 ± 0.0188,0.3993 ± 0.0189,0.3994 ± 0.0193,0.5573 ± 0.0132,0.4770 ± 0.0151,0.4704 ± 0.0188,0.4735 ± 0.0171,0.5728 ± 0.0126
1,random_forest,SULOV,518.6800 ± 0.6261,NA,522,0.4079 ± 0.0103,0.4188 ± 0.0160,0.5714 ± 0.0113,0.4413 ± 0.0342,0.4316 ± 0.0060,0.7198 ± 0.0191,0.5110 ± 0.0185,0.5714 ± 0.0113,0.5205 ± 0.0081,0.7409 ± 0.0224,0.5708 ± 0.0092,0.4641 ± 0.0224,0.4368 ± 0.0131,0.7048 ± 0.0066,0.5212 ± 0.0143,0.5708 ± 0.0092,0.5237 ± 0.0135,0.7223 ± 0.0076
2,extra_trees,SULOV,518.6800 ± 0.6261,NA,522,0.4161 ± 0.0141,0.4338 ± 0.0243,0.5802 ± 0.0139,0.4234 ± 0.0480,0.4446 ± 0.0071,0.7055 ± 0.0166,0.5077 ± 0.0253,0.5802 ± 0.0139,0.5305 ± 0.0100,0.7272 ± 0.0206,0.5777 ± 0.0190,0.4716 ± 0.0309,0.4526 ± 0.0232,0.7061 ± 0.0105,0.5344 ± 0.0247,0.5777 ± 0.0190,0.5376 ± 0.0198,0.7245 ± 0.0125
3,xgboost,SULOV,518.6800 ± 0.6261,NA,522,0.4271 ± 0.0458,0.4314 ± 0.0176,0.5648 ± 0.0318,0.4376 ± 0.0645,0.4410 ± 0.0369,0.6948 ± 0.0178,0.5171 ± 0.0461,0.5648 ± 0.0318,0.5318 ± 0.0359,0.7188 ± 0.0223,0.5522 ± 0.0121,0.4409 ± 0.0294,0.4373 ± 0.0157,0.6826 ± 0.0087,0.5172 ± 0.0155,0.5522 ± 0.0121,0.5290 ± 0.0107,0.7030 ± 0.0085
4,adaboost,SULOV,518.6800 ± 0.6261,NA,522,0.4266 ± 0.0367,0.4434 ± 0.0301,0.5582 ± 0.0258,0.4391 ± 0.0616,0.4399 ± 0.0295,0.6729 ± 0.0338,0.5176 ± 0.0399,0.5582 ± 0.0258,0.5290 ± 0.0277,0.7002 ± 0.0325,0.5579 ± 0.0187,0.4576 ± 0.0328,0.4468 ± 0.0260,0.6628 ± 0.0162,0.5243 ± 0.0257,0.5579 ± 0.0187,0.5343 ± 0.0230,0.6860 ± 0.0118
5,svm,SULOV,518.6800 ± 0.6261,NA,522,0.3870 ± 0.0122,0.3915 ± 0.0102,0.5766 ± 0.0188,0.3575 ± 0.0147,0.4292 ± 0.0117,0.7230 ± 0.0226,0.4608 ± 0.0143,0.5766 ± 0.0188,0.5092 ± 0.0144,0.7430 ± 0.0246,0.5811 ± 0.0082,0.3929 ± 0.0733,0.4328 ± 0.0114,0.6950 ± 0.0137,0.4823 ± 0.0409,0.5811 ± 0.0082,0.5142 ± 0.0096,0.7148 ± 0.0148
6,logistic_regression,SULOV,518.6800 ± 0.6261,NA,522,0.4355 ± 0.0168,0.4172 ± 0.0170,0.5216 ± 0.0210,0.4375 ± 0.0197,0.4362 ± 0.0150,0.6392 ± 0.0203,0.5257 ± 0.0221,0.5216 ± 0.0210,0.5224 ± 0.0189,0.6683 ± 0.0178,0.4858 ± 0.0170,0.4183 ± 0.0163,0.4178 ± 0.0178,0.6036 ± 0.0132,0.5016 ± 0.0156,0.4858 ± 0.0170,0.4930 ± 0.0164,0.6292 ± 0.0175
7,knn,SULOV,518.6800 ± 0.6261,NA,522,0.3895 ± 0.0215,0.3899 ± 0.0208,0.5590 ± 0.0159,0.4332 ± 0.0272,0.4071 ± 0.0178,0.6317 ± 0.0131,0.5018 ± 0.0218,0.5590 ± 0.0159,0.4994 ± 0.0181,0.6620 ± 0.0123,0.5494 ± 0.0192,0.4462 ± 0.0310,0.4032 ± 0.0184,0.6141 ± 0.0112,0.5014 ± 0.0233,0.5494 ± 0.0192,0.4915 ± 0.0182,0.6344 ± 0.0138
8,gaussian_nb,SULOV,518.6800 ± 0.6261,NA,522,0.4408 ± 0.0275,0.4230 ± 0.0321,0.5114 ± 0.0408,0.4598 ± 0.0394,0.4648 ± 0.0261,0.6642 ± 0.0355,0.5612 ± 0.0326,0.5114 ± 0.0408,0.5177 ± 0.0255,0.6909 ± 0.0315,0.4651 ± 0.0646,0.4580 ± 0.0103,0.4437 ± 0.0165,0.6434 ± 0.0064,0.5552 ± 0.0148,0.4651 ± 0.0646,0.4821 ± 0.0568,0.6719 ± 0.0055
