epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.5763557835205181,0.4056329662735398,0.8851351351351351,0.8903225806451613,0.888612493090105
2,0.27355571292542125,0.2863886275806943,0.9054054054054054,0.9066666666666666,0.9122903998525889
3,0.15758232037360603,0.30455446230700695,0.8986486486486487,0.9019607843137255,0.9035378662244333
4,0.10117132745280459,0.3377321124504748,0.8783783783783784,0.8831168831168831,0.8824396535839322
5,0.07110639346914517,0.3758711574372609,0.8716216216216216,0.8789808917197452,0.8736871199557767
6,0.04631944156780436,0.41743169396461266,0.8783783783783784,0.8860759493670886,0.8798599594619495
7,0.029006697275247927,0.45862877701497257,0.8783783783783784,0.8860759493670886,0.8798599594619495
8,0.018552438431494945,0.5087527281925636,0.8716216216216216,0.8819875776397516,0.871107425833794
9,0.015865399376363366,0.5540420389954454,0.8648648648648649,0.8765432098765432,0.8636447392666298
10,0.008486878227543187,0.593329452531966,0.8648648648648649,0.8765432098765432,0.8636447392666298
11,0.007346438133862574,0.6201524121263631,0.8783783783783784,0.8902439024390244,0.8759904182789755
12,0.006533947092090809,0.6428293477947591,0.8716216216216216,0.8834355828220859,0.8698175787728026
13,0.003829862559025453,0.6809893901862214,0.8716216216216216,0.8834355828220859,0.8698175787728026
14,0.002768607238288717,0.7076706282158911,0.8716216216216216,0.8834355828220859,0.8698175787728026
15,0.003358033794840496,0.7379619164273971,0.8716216216216216,0.8834355828220859,0.8698175787728026
16,0.00304257329608427,0.7625157462373593,0.8716216216216216,0.8834355828220859,0.8698175787728026
17,0.0027257697979252583,0.7761227256055832,0.8648648648648649,0.8765432098765432,0.8636447392666298
