Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4850 ± 0.0345,0.4121 ± 0.0307,0.4124 ± 0.0298,0.4111 ± 0.0301,0.5677 ± 0.0226,0.4893 ± 0.0289,0.4850 ± 0.0345,0.4861 ± 0.0313,0.5846 ± 0.0239,0.4874 ± 0.0230,0.4134 ± 0.0254,0.4133 ± 0.0252,0.4130 ± 0.0250,0.5685 ± 0.0183,0.4912 ± 0.0216,0.4874 ± 0.0230,0.4890 ± 0.0219,0.5857 ± 0.0174
0.5714 ± 0.0085,0.4396 ± 0.0351,0.4328 ± 0.0068,0.4090 ± 0.0118,0.7161 ± 0.0161,0.5105 ± 0.0175,0.5714 ± 0.0085,0.5211 ± 0.0073,0.7365 ± 0.0156,0.5651 ± 0.0140,0.4297 ± 0.0372,0.4253 ± 0.0166,0.4023 ± 0.0206,0.7067 ± 0.0090,0.5008 ± 0.0245,0.5651 ± 0.0140,0.5141 ± 0.0173,0.7253 ± 0.0094
0.5861 ± 0.0170,0.4510 ± 0.0404,0.4550 ± 0.0214,0.4278 ± 0.0233,0.7102 ± 0.0147,0.5266 ± 0.0272,0.5861 ± 0.0170,0.5391 ± 0.0181,0.7329 ± 0.0152,0.5755 ± 0.0170,0.4561 ± 0.0355,0.4508 ± 0.0193,0.4274 ± 0.0217,0.7054 ± 0.0125,0.5274 ± 0.0261,0.5755 ± 0.0170,0.5347 ± 0.0189,0.7237 ± 0.0119
0.5659 ± 0.0175,0.4484 ± 0.0382,0.4468 ± 0.0267,0.4377 ± 0.0302,0.7028 ± 0.0174,0.5255 ± 0.0284,0.5659 ± 0.0175,0.5381 ± 0.0225,0.7248 ± 0.0182,0.5575 ± 0.0069,0.4485 ± 0.0175,0.4423 ± 0.0101,0.4364 ± 0.0126,0.6881 ± 0.0064,0.5208 ± 0.0103,0.5575 ± 0.0069,0.5325 ± 0.0082,0.7072 ± 0.0059
0.5692 ± 0.0317,0.4524 ± 0.0459,0.4489 ± 0.0300,0.4390 ± 0.0334,0.6761 ± 0.0205,0.5288 ± 0.0339,0.5692 ± 0.0317,0.5401 ± 0.0283,0.7024 ± 0.0201,0.5597 ± 0.0104,0.4567 ± 0.0121,0.4506 ± 0.0073,0.4460 ± 0.0081,0.6653 ± 0.0169,0.5287 ± 0.0062,0.5597 ± 0.0104,0.5388 ± 0.0067,0.6887 ± 0.0138
0.5897 ± 0.0158,0.4129 ± 0.0806,0.4469 ± 0.0180,0.4062 ± 0.0215,0.7149 ± 0.0183,0.5004 ± 0.0482,0.5897 ± 0.0158,0.5270 ± 0.0175,0.7367 ± 0.0198,0.5766 ± 0.0120,0.3813 ± 0.0421,0.4346 ± 0.0123,0.3938 ± 0.0115,0.6994 ± 0.0107,0.4778 ± 0.0259,0.5766 ± 0.0120,0.5150 ± 0.0124,0.7182 ± 0.0116
0.5121 ± 0.0239,0.4301 ± 0.0261,0.4299 ± 0.0251,0.4288 ± 0.0255,0.6200 ± 0.0249,0.5147 ± 0.0249,0.5121 ± 0.0239,0.5123 ± 0.0234,0.6470 ± 0.0228,0.4759 ± 0.0208,0.4070 ± 0.0194,0.4063 ± 0.0201,0.4062 ± 0.0199,0.5876 ± 0.0216,0.4871 ± 0.0187,0.4759 ± 0.0208,0.4810 ± 0.0196,0.6112 ± 0.0204
0.5487 ± 0.0198,0.4439 ± 0.0398,0.4062 ± 0.0219,0.3881 ± 0.0264,0.6373 ± 0.0256,0.5012 ± 0.0333,0.5487 ± 0.0198,0.4885 ± 0.0213,0.6628 ± 0.0263,0.5522 ± 0.0095,0.4455 ± 0.0181,0.4099 ± 0.0110,0.3952 ± 0.0143,0.6324 ± 0.0106,0.5017 ± 0.0117,0.5522 ± 0.0095,0.4946 ± 0.0112,0.6571 ± 0.0116
0.4828 ± 0.0433,0.4794 ± 0.0288,0.4594 ± 0.0270,0.4297 ± 0.0251,0.6627 ± 0.0292,0.5793 ± 0.0249,0.4828 ± 0.0433,0.4975 ± 0.0330,0.6926 ± 0.0240,0.4525 ± 0.0426,0.4630 ± 0.0142,0.4445 ± 0.0155,0.4118 ± 0.0316,0.6370 ± 0.0142,0.5659 ± 0.0162,0.4525 ± 0.0426,0.4703 ± 0.0419,0.6672 ± 0.0118
