Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4850 ± 0.0297,0.4073 ± 0.0299,0.4083 ± 0.0326,0.4060 ± 0.0311,0.5658 ± 0.0228,0.4879 ± 0.0245,0.4850 ± 0.0297,0.4849 ± 0.0264,0.5849 ± 0.0205,0.4909 ± 0.0169,0.4145 ± 0.0207,0.4135 ± 0.0201,0.4137 ± 0.0205,0.5676 ± 0.0149,0.4882 ± 0.0182,0.4909 ± 0.0169,0.4893 ± 0.0177,0.5826 ± 0.0161
0.5780 ± 0.0127,0.4332 ± 0.0408,0.4492 ± 0.0195,0.4260 ± 0.0246,0.7043 ± 0.0146,0.5180 ± 0.0255,0.5780 ± 0.0127,0.5371 ± 0.0165,0.7286 ± 0.0163,0.5662 ± 0.0106,0.4532 ± 0.0274,0.4392 ± 0.0139,0.4237 ± 0.0157,0.6977 ± 0.0106,0.5205 ± 0.0172,0.5662 ± 0.0106,0.5281 ± 0.0116,0.7183 ± 0.0096
0.5773 ± 0.0213,0.4589 ± 0.0346,0.4572 ± 0.0243,0.4405 ± 0.0274,0.6962 ± 0.0168,0.5335 ± 0.0236,0.5773 ± 0.0213,0.5437 ± 0.0201,0.7190 ± 0.0173,0.5638 ± 0.0171,0.4569 ± 0.0356,0.4477 ± 0.0222,0.4324 ± 0.0226,0.6950 ± 0.0096,0.5288 ± 0.0266,0.5638 ± 0.0171,0.5338 ± 0.0185,0.7140 ± 0.0102
0.5308 ± 0.0260,0.4190 ± 0.0305,0.4201 ± 0.0244,0.4137 ± 0.0264,0.6675 ± 0.0204,0.4980 ± 0.0262,0.5308 ± 0.0260,0.5097 ± 0.0244,0.6893 ± 0.0207,0.5374 ± 0.0124,0.4278 ± 0.0200,0.4281 ± 0.0165,0.4225 ± 0.0181,0.6749 ± 0.0108,0.5059 ± 0.0149,0.5374 ± 0.0124,0.5176 ± 0.0137,0.6951 ± 0.0114
0.5645 ± 0.0187,0.4599 ± 0.0438,0.4524 ± 0.0253,0.4431 ± 0.0319,0.6922 ± 0.0215,0.5333 ± 0.0270,0.5645 ± 0.0187,0.5400 ± 0.0210,0.7144 ± 0.0208,0.5536 ± 0.0128,0.4462 ± 0.0266,0.4437 ± 0.0170,0.4378 ± 0.0195,0.6780 ± 0.0139,0.5242 ± 0.0175,0.5536 ± 0.0128,0.5340 ± 0.0138,0.6980 ± 0.0124
0.5842 ± 0.0172,0.4281 ± 0.1215,0.4521 ± 0.0212,0.4087 ± 0.0215,0.7013 ± 0.0199,0.5132 ± 0.0733,0.5842 ± 0.0172,0.5282 ± 0.0179,0.7226 ± 0.0206,0.5786 ± 0.0109,0.4147 ± 0.0484,0.4485 ± 0.0133,0.4084 ± 0.0153,0.6933 ± 0.0112,0.5052 ± 0.0311,0.5786 ± 0.0109,0.5264 ± 0.0130,0.7126 ± 0.0118
0.5238 ± 0.0285,0.4494 ± 0.0285,0.4478 ± 0.0289,0.4473 ± 0.0284,0.6371 ± 0.0240,0.5382 ± 0.0282,0.5238 ± 0.0285,0.5299 ± 0.0275,0.6703 ± 0.0234,0.5134 ± 0.0163,0.4466 ± 0.0185,0.4447 ± 0.0190,0.4440 ± 0.0183,0.6314 ± 0.0153,0.5358 ± 0.0177,0.5134 ± 0.0163,0.5231 ± 0.0166,0.6616 ± 0.0155
0.5538 ± 0.0168,0.4485 ± 0.0317,0.4269 ± 0.0195,0.4195 ± 0.0228,0.6627 ± 0.0251,0.5132 ± 0.0249,0.5538 ± 0.0168,0.5149 ± 0.0175,0.6902 ± 0.0247,0.5436 ± 0.0083,0.4375 ± 0.0173,0.4198 ± 0.0128,0.4111 ± 0.0147,0.6595 ± 0.0086,0.5031 ± 0.0136,0.5436 ± 0.0083,0.5054 ± 0.0107,0.6825 ± 0.0088
0.5546 ± 0.0256,0.4688 ± 0.0348,0.4699 ± 0.0265,0.4575 ± 0.0288,0.7049 ± 0.0189,0.5553 ± 0.0262,0.5546 ± 0.0256,0.5460 ± 0.0228,0.7201 ± 0.0186,0.5429 ± 0.0168,0.4728 ± 0.0163,0.4708 ± 0.0162,0.4605 ± 0.0159,0.6832 ± 0.0072,0.5569 ± 0.0149,0.5429 ± 0.0168,0.5420 ± 0.0138,0.6998 ± 0.0072
