Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4099 ± 0.0328,0.3439 ± 0.0310,0.3447 ± 0.0318,0.3437 ± 0.0313,0.5090 ± 0.0235,0.4093 ± 0.0274,0.4099 ± 0.0328,0.4091 ± 0.0298,0.5099 ± 0.0232,0.4186 ± 0.0154,0.3556 ± 0.0177,0.3556 ± 0.0181,0.3552 ± 0.0178,0.5189 ± 0.0139,0.4248 ± 0.0173,0.4186 ± 0.0154,0.4213 ± 0.0159,0.5234 ± 0.0152
0.5388 ± 0.0129,0.3698 ± 0.1143,0.3535 ± 0.0106,0.2896 ± 0.0153,0.5789 ± 0.0211,0.4399 ± 0.0714,0.5388 ± 0.0129,0.4196 ± 0.0139,0.5898 ± 0.0224,0.5322 ± 0.0101,0.3419 ± 0.1248,0.3442 ± 0.0119,0.2751 ± 0.0205,0.5749 ± 0.0118,0.4136 ± 0.0765,0.5322 ± 0.0101,0.4080 ± 0.0182,0.5891 ± 0.0142
0.5286 ± 0.0203,0.3663 ± 0.1102,0.3562 ± 0.0168,0.3064 ± 0.0236,0.5749 ± 0.0180,0.4323 ± 0.0666,0.5286 ± 0.0203,0.4305 ± 0.0213,0.5883 ± 0.0201,0.5269 ± 0.0126,0.3398 ± 0.0563,0.3571 ± 0.0148,0.3106 ± 0.0200,0.5735 ± 0.0095,0.4177 ± 0.0360,0.5269 ± 0.0126,0.4349 ± 0.0181,0.5860 ± 0.0135
0.5154 ± 0.0192,0.3782 ± 0.0473,0.3763 ± 0.0208,0.3557 ± 0.0287,0.5739 ± 0.0146,0.4472 ± 0.0329,0.5154 ± 0.0192,0.4619 ± 0.0222,0.5894 ± 0.0171,0.5014 ± 0.0171,0.3752 ± 0.0271,0.3694 ± 0.0204,0.3545 ± 0.0235,0.5680 ± 0.0162,0.4418 ± 0.0236,0.5014 ± 0.0171,0.4560 ± 0.0213,0.5775 ± 0.0204
0.5201 ± 0.0270,0.3562 ± 0.0369,0.3672 ± 0.0170,0.3343 ± 0.0183,0.5516 ± 0.0154,0.4316 ± 0.0267,0.5201 ± 0.0270,0.4496 ± 0.0183,0.5681 ± 0.0214,0.5184 ± 0.0136,0.3719 ± 0.0374,0.3677 ± 0.0166,0.3388 ± 0.0217,0.5422 ± 0.0216,0.4397 ± 0.0258,0.5184 ± 0.0136,0.4519 ± 0.0183,0.5580 ± 0.0238
0.5396 ± 0.0096,0.3422 ± 0.0559,0.3487 ± 0.0114,0.2747 ± 0.0236,0.6075 ± 0.0204,0.4250 ± 0.0476,0.5396 ± 0.0096,0.4078 ± 0.0200,0.6223 ± 0.0232,0.5376 ± 0.0059,0.3128 ± 0.0332,0.3462 ± 0.0093,0.2728 ± 0.0204,0.5930 ± 0.0167,0.4016 ± 0.0286,0.5376 ± 0.0059,0.4073 ± 0.0174,0.6053 ± 0.0173
0.4311 ± 0.0262,0.3781 ± 0.0334,0.3793 ± 0.0353,0.3767 ± 0.0335,0.5620 ± 0.0224,0.4498 ± 0.0310,0.4311 ± 0.0262,0.4385 ± 0.0275,0.5715 ± 0.0238,0.4214 ± 0.0136,0.3687 ± 0.0149,0.3689 ± 0.0165,0.3674 ± 0.0157,0.5374 ± 0.0203,0.4407 ± 0.0121,0.4214 ± 0.0136,0.4295 ± 0.0129,0.5489 ± 0.0190
0.5103 ± 0.0288,0.3733 ± 0.0544,0.3569 ± 0.0256,0.3282 ± 0.0313,0.5645 ± 0.0295,0.4384 ± 0.0411,0.5103 ± 0.0288,0.4376 ± 0.0275,0.5719 ± 0.0310,0.5110 ± 0.0120,0.3880 ± 0.0215,0.3662 ± 0.0132,0.3445 ± 0.0163,0.5513 ± 0.0154,0.4473 ± 0.0175,0.5110 ± 0.0120,0.4467 ± 0.0135,0.5578 ± 0.0143
0.2590 ± 0.0535,0.4194 ± 0.0383,0.3453 ± 0.0294,0.2382 ± 0.0477,0.5619 ± 0.0242,0.5177 ± 0.0472,0.2590 ± 0.0535,0.2177 ± 0.0820,0.5827 ± 0.0182,0.2662 ± 0.0518,0.3872 ± 0.0245,0.3494 ± 0.0218,0.2534 ± 0.0529,0.5439 ± 0.0137,0.4727 ± 0.0360,0.2662 ± 0.0518,0.2351 ± 0.0782,0.5653 ± 0.0135
